date,estimated_ecpm
2021-07-01,1.246
2021-07-02,1.119
2021-07-03,1.025
2021-07-04,0.981
2021-07-05,1.133
2021-07-06,1.13
2021-07-07,1.136
2021-07-08,1.132
2021-07-09,1.172
2021-07-10,1.17
2021-07-11,1.151
2021-07-12,1.093
2021-07-13,1.123
2021-07-14,1.093
2021-07-15,1.113
2021-07-16,1.102
2021-07-17,1.098
2021-07-18,1.07
2021-07-19,0.97
2021-07-20,1.032
2021-07-21,1.083
2021-07-22,1.185
2021-07-23,0.951
2021-07-24,1.067
2021-07-25,1.04
2021-07-26,1.03
2021-07-27,1.057
2021-07-28,1.126
2021-07-29,1.072
2021-07-30,1.144
2021-07-31,1.119
2021-08-01,1.073
2021-08-02,1.034
2021-08-03,1.024
2021-08-04,1.09
2021-08-05,1.152
2021-08-06,1.246
2021-08-07,1.312
