date,country,network,market_volume
2021-04-26,AR,AdMob,111089.0
2021-04-27,AR,AdMob,141386.0
2021-04-28,AR,AdMob,127628.0
2021-04-29,AR,AdMob,178570.0
2021-04-30,AR,AdMob,186532.0
2021-05-01,AR,AdMob,175950.0
2021-05-02,AR,AdMob,159278.0
2021-05-03,AR,AdMob,158974.0
2021-05-04,AR,AdMob,228645.0
2021-05-05,AR,AdMob,304353.0
2021-05-06,AR,AdMob,83896.0
2021-05-07,AR,AdMob,105089.0
2021-05-08,AR,AdMob,87714.0
2021-05-09,AR,AdMob,94127.0
2021-05-10,AR,AdMob,118804.0
2021-05-11,AR,AdMob,74304.0
2021-05-12,AR,AdMob,66509.0
2021-05-13,AR,AdMob,122818.0
2021-05-14,AR,AdMob,164728.0
2021-05-15,AR,AdMob,185132.0
2021-05-16,AR,AdMob,158292.0
2021-05-17,AR,AdMob,99525.0
2021-05-18,AR,AdMob,101041.0
2021-05-19,AR,AdMob,44705.0
2021-05-20,AR,AdMob,181110.0
2021-05-21,AR,AdMob,259065.0
2021-05-22,AR,AdMob,127305.0
2021-05-23,AR,AdMob,141432.0
2021-05-24,AR,AdMob,162890.0
2021-05-25,AR,AdMob,65995.0
2021-05-26,AR,AdMob,45265.0
2021-05-27,AR,AdMob,44793.0
2021-05-28,AR,AdMob,108882.0
2021-05-29,AR,AdMob,148244.0
2021-05-30,AR,AdMob,114055.0
2021-05-31,AR,AdMob,45384.0
2021-06-01,AR,AdMob,42054.0
2021-06-02,AR,AdMob,43556.0
2021-06-03,AR,AdMob,39349.0
2021-06-04,AR,AdMob,45337.0
2021-06-05,AR,AdMob,51275.0
2021-06-06,AR,AdMob,52451.0
2021-06-07,AR,AdMob,44206.0
2021-06-08,AR,AdMob,41467.0
2021-06-09,AR,AdMob,37903.0
2021-06-10,AR,AdMob,39229.0
2021-06-11,AR,AdMob,38398.0
2021-06-12,AR,AdMob,49605.0
2021-06-13,AR,AdMob,44577.0
2021-06-14,AR,AdMob,42668.0
2021-06-15,AR,AdMob,40958.0
2021-06-16,AR,AdMob,42106.0
2021-06-17,AR,AdMob,55835.0
2021-06-18,AR,AdMob,58347.0
2021-06-19,AR,AdMob,63949.0
2021-06-20,AR,AdMob,58005.0
2021-06-21,AR,AdMob,51266.0
2021-06-22,AR,AdMob,43990.0
2021-06-23,AR,AdMob,42095.0
2021-06-24,AR,AdMob,44904.0
2021-06-25,AR,AdMob,69391.0
2021-06-26,AR,AdMob,96414.0
2021-06-27,AR,AdMob,114625.0
2021-06-28,AR,AdMob,106682.0
2021-06-29,AR,AdMob,96997.0
2021-06-30,AR,AdMob,116514.0
