,date,country,market_volume
0,2021-04-26,AR,784846.8762826736
1,2021-04-27,AR,746482.2569912429
2,2021-04-28,AR,714864.3783021923
3,2021-04-29,AR,804172.761499563
4,2021-04-30,AR,796829.1878667816
5,2021-05-01,AR,802805.7474499192
6,2021-05-02,AR,941791.4299830256
7,2021-05-03,AR,767114.6018030179
8,2021-05-04,AR,806538.0389585027
9,2021-05-05,AR,1018691.655147356
10,2021-05-06,AR,774866.5016348095
11,2021-05-07,AR,640931.3547771507
12,2021-05-08,AR,938822.0225583407
13,2021-05-09,AR,877841.5817535815
14,2021-05-10,AR,674442.4914399346
15,2021-05-11,AR,592751.1689144812
16,2021-05-12,AR,593746.5761067326
17,2021-05-13,AR,693809.0665349726
18,2021-05-14,AR,716491.6205019056
19,2021-05-15,AR,785312.5884997607
20,2021-05-16,AR,934072.7780616778
21,2021-05-17,AR,586001.3688689998
22,2021-05-18,AR,601075.2114694691
23,2021-05-19,AR,582741.9376466643
24,2021-05-20,AR,657739.3048321687
25,2021-05-21,AR,891019.0742701277
26,2021-05-22,AR,597143.3657009151
27,2021-05-23,AR,798219.1847256557
28,2021-05-24,AR,799523.901729675
29,2021-05-25,AR,654776.3968881256
30,2021-05-26,AR,577475.0551468884
31,2021-05-27,AR,642692.6408392184
32,2021-05-28,AR,716561.9230222304
33,2021-05-29,AR,841514.8412880143
34,2021-05-30,AR,831151.2138165794
35,2021-05-31,AR,595951.1119507381
36,2021-06-01,AR,594986.9332289755
37,2021-06-02,AR,531077.4157712864
38,2021-06-03,AR,543088.500379575
39,2021-06-04,AR,609409.1610641677
40,2021-06-05,AR,689624.4608962327
41,2021-06-06,AR,822053.2423681831
42,2021-06-07,AR,775089.3438009787
43,2021-06-08,AR,636809.7086599724
44,2021-06-09,AR,708079.2528948977
45,2021-06-10,AR,728464.3812596772
46,2021-06-11,AR,694475.9251200208
47,2021-06-12,AR,1192675.5142220126
48,2021-06-13,AR,931310.285315003
49,2021-06-14,AR,643323.0791168537
50,2021-06-15,AR,571556.3581965261
51,2021-06-16,AR,657100.4227896001
52,2021-06-17,AR,653646.857791955
53,2021-06-18,AR,595619.5968431191
54,2021-06-19,AR,682395.0573980367
55,2021-06-20,AR,788891.8559625531
56,2021-06-21,AR,610082.8371379717
57,2021-06-22,AR,553389.0761123163
58,2021-06-23,AR,603761.1600219529
59,2021-06-24,AR,580474.8359612457
60,2021-06-25,AR,489824.8799374623
61,2021-06-26,AR,496593.3552072266
62,2021-06-27,AR,688128.795745313
63,2021-06-28,AR,600673.9050099441
64,2021-06-29,AR,575636.4705395927
65,2021-06-30,AR,702642.8151769234
66,2021-07-01,AR,680616.2164551709
67,2021-07-02,AR,6906755.79236631
68,2021-07-03,AR,7656193.701586558
69,2021-07-04,AR,7484154.281650775
70,2021-07-05,AR,752478.4817861302
71,2021-07-06,AR,817479.9150475864
72,2021-07-07,AR,702360.9256071795
73,2021-07-08,AR,595285.5076163607
74,2021-07-09,AR,468953.3258039148
75,2021-07-10,AR,546874.0679463196
76,2021-07-11,AR,588845.9433106118
77,2021-07-12,AR,559800.4873554425
78,2021-07-13,AR,544157.7329701305
79,2021-07-14,AR,560590.5212628559
80,2021-07-15,AR,583180.6684141655
81,2021-07-16,AR,510033.30686442985
82,2021-07-17,AR,590516.3971011527
83,2021-07-18,AR,684389.7533679729
84,2021-07-19,AR,555072.7166569858
85,2021-07-20,AR,526783.7205241241
86,2021-07-21,AR,549820.8949975794
87,2021-07-22,AR,547108.6386223565
88,2021-07-23,AR,418300.553066345
89,2021-07-24,AR,532878.6966391949
90,2021-07-25,AR,593305.3009864895
91,2021-07-26,AR,471181.8947195858
92,2021-07-27,AR,451414.06928994146
93,2021-07-28,AR,415226.99575292686
94,2021-07-29,AR,394201.6518537315
95,2021-07-30,AR,484549.5597353178
96,2021-07-31,AR,475557.370447378
97,2021-08-01,AR,501618.01953816967
98,2021-08-02,AR,481342.19059395336
99,2021-08-03,AR,381570.19237397326
100,2021-08-04,AR,405404.44113766635
101,2021-08-05,AR,365416.07478302787
102,2021-08-06,AR,404446.58973603597
103,2021-08-07,AR,695892.40713501
104,2021-08-08,AR,528706.7267805814
105,2021-08-09,AR,401238.349103645
106,2021-08-10,AR,351721.556762641
107,2021-08-11,AR,405792.30613454944
108,2021-08-12,AR,350497.5703781613
109,2021-08-13,AR,403839.3336111078
110,2021-08-14,AR,471376.63182495435
111,2021-08-15,AR,562790.0769508587
112,2021-08-16,AR,451290.9892397889
113,2021-08-17,AR,422659.2800983893
114,2021-08-18,AR,495434.7454168806
115,2021-08-19,AR,382843.5107995188
116,2021-08-20,AR,460643.52202545945
117,2021-08-21,AR,557194.2257462628
118,2021-08-22,AR,491726.5283679384
119,2021-08-23,AR,475584.73493906355
120,2021-08-24,AR,392108.91682337003
121,2021-08-25,AR,509447.6675503663
122,2021-08-26,AR,380023.71418826014
123,2021-08-27,AR,486759.3196800715
124,2021-08-28,AR,481439.1896419225
125,2021-08-29,AR,485151.69508308737
126,2021-08-30,AR,378525.7932285419
127,2021-08-31,AR,370382.0232258948
128,2021-09-01,AR,481558.8675003716
129,2021-09-02,AR,477306.0379911854
130,2021-09-03,AR,422513.86771852453
131,2021-09-04,AR,450514.750997846
132,2021-09-05,AR,498898.3659828503
133,2021-09-06,AR,436486.2392691222
134,2021-09-07,AR,482968.11826617294
135,2021-09-08,AR,418989.7092419743
136,2021-09-09,AR,399580.33093618846
137,2021-09-10,AR,414788.84543735714
138,2021-09-11,AR,572733.1921164441
139,2021-09-12,AR,475065.30065302283
140,2021-09-13,AR,386112.43526723905
141,2021-09-14,AR,359801.5788819299
142,2021-09-15,AR,337872.79022177344
143,2021-09-16,AR,333200.6487508395
144,2021-09-17,AR,375553.37731521315
145,2021-09-18,AR,477023.33477237093
