date,country,networks,market_volume
2021-04-26,AR,Amazon,208599.0
2021-04-27,AR,Amazon,159202.0
2021-04-28,AR,Amazon,147014.0
2021-04-29,AR,Amazon,199444.0
2021-04-30,AR,Amazon,139627.0
2021-05-01,AR,Amazon,104768.0
2021-05-02,AR,Amazon,184345.0
2021-05-03,AR,Amazon,49219.0
2021-05-04,AR,Amazon,64681.0
2021-05-05,AR,Amazon,226709.0
2021-05-06,AR,Amazon,50384.0
2021-05-07,AR,Amazon,65865.0
2021-05-08,AR,Amazon,72405.0
2021-05-09,AR,Amazon,98204.0
2021-05-10,AR,Amazon,40518.0
2021-05-11,AR,Amazon,75282.0
2021-05-12,AR,Amazon,41679.0
2021-05-13,AR,Amazon,35945.0
2021-05-14,AR,Amazon,71757.0
2021-05-15,AR,Amazon,89388.0
2021-05-16,AR,Amazon,215978.0
2021-05-17,AR,Amazon,47307.0
2021-05-18,AR,Amazon,44222.0
2021-05-19,AR,Amazon,49325.0
2021-05-20,AR,Amazon,48334.0
2021-05-21,AR,Amazon,62525.0
2021-05-22,AR,Amazon,63953.0
2021-05-23,AR,Amazon,92857.0
2021-05-24,AR,Amazon,80923.0
2021-05-25,AR,Amazon,86989.0
2021-05-26,AR,Amazon,65925.0
2021-05-27,AR,Amazon,92874.0
2021-05-28,AR,Amazon,65737.0
2021-05-29,AR,Amazon,97668.0
2021-05-30,AR,Amazon,149254.0
2021-05-31,AR,Amazon,89929.0
2021-06-01,AR,Amazon,95853.0
2021-06-02,AR,Amazon,58143.0
2021-06-03,AR,Amazon,63250.0
2021-06-04,AR,Amazon,79137.0
2021-06-05,AR,Amazon,87746.0
2021-06-06,AR,Amazon,229619.0
2021-06-07,AR,Amazon,177094.0
2021-06-08,AR,Amazon,194294.0
2021-06-09,AR,Amazon,251852.0
2021-06-10,AR,Amazon,280173.0
2021-06-11,AR,Amazon,186766.0
2021-06-12,AR,Amazon,598707.0
2021-06-13,AR,Amazon,299712.0
