date,country,networks,market_volume
2021-04-26,AR,AppLovin,169738.0
2021-04-27,AR,AppLovin,133441.0
2021-04-28,AR,AppLovin,130175.0
2021-04-29,AR,AppLovin,139389.0
2021-04-30,AR,AppLovin,183658.0
2021-05-01,AR,AppLovin,167627.0
2021-05-02,AR,AppLovin,143763.0
2021-05-03,AR,AppLovin,199153.0
2021-05-04,AR,AppLovin,132292.0
2021-05-05,AR,AppLovin,114193.0
2021-05-06,AR,AppLovin,164032.0
2021-05-07,AR,AppLovin,155307.0
2021-05-08,AR,AppLovin,324781.0
2021-05-09,AR,AppLovin,258319.0
2021-05-10,AR,AppLovin,166260.0
2021-05-11,AR,AppLovin,120244.0
2021-05-12,AR,AppLovin,145653.0
2021-05-13,AR,AppLovin,170008.0
2021-05-14,AR,AppLovin,186264.0
2021-05-15,AR,AppLovin,180076.0
2021-05-16,AR,AppLovin,164911.0
2021-05-17,AR,AppLovin,158054.0
2021-05-18,AR,AppLovin,190666.0
2021-05-19,AR,AppLovin,250682.0
2021-05-20,AR,AppLovin,196595.0
2021-05-21,AR,AppLovin,192057.0
2021-05-22,AR,AppLovin,129548.0
2021-05-23,AR,AppLovin,180257.0
2021-05-24,AR,AppLovin,205932.0
2021-05-25,AR,AppLovin,170720.0
2021-05-26,AR,AppLovin,173941.0
2021-05-27,AR,AppLovin,197219.0
2021-05-28,AR,AppLovin,228412.0
2021-05-29,AR,AppLovin,211172.0
2021-05-30,AR,AppLovin,217246.0
2021-05-31,AR,AppLovin,169285.0
2021-06-01,AR,AppLovin,178552.0
2021-06-02,AR,AppLovin,161431.0
2021-06-03,AR,AppLovin,144127.0
2021-06-04,AR,AppLovin,162708.0
2021-06-05,AR,AppLovin,185250.0
2021-06-06,AR,AppLovin,185463.0
2021-06-07,AR,AppLovin,169004.0
2021-06-08,AR,AppLovin,136264.0
2021-06-09,AR,AppLovin,164158.0
2021-06-10,AR,AppLovin,147018.0
2021-06-11,AR,AppLovin,188773.0
2021-06-12,AR,AppLovin,162220.0
2021-06-13,AR,AppLovin,204204.0
2021-06-14,AR,AppLovin,189338.0
2021-06-15,AR,AppLovin,166687.0
2021-06-16,AR,AppLovin,170123.0
2021-06-17,AR,AppLovin,135690.0
2021-06-18,AR,AppLovin,160624.0
2021-06-19,AR,AppLovin,189500.0
2021-06-20,AR,AppLovin,175078.0
2021-06-21,AR,AppLovin,158310.0
2021-06-22,AR,AppLovin,147136.0
2021-06-23,AR,AppLovin,114482.0
2021-06-24,AR,AppLovin,126464.0
2021-06-25,AR,AppLovin,110805.0
2021-06-26,AR,AppLovin,117570.0
2021-06-27,AR,AppLovin,145639.0
2021-06-28,AR,AppLovin,116203.0
2021-06-29,AR,AppLovin,107365.0
2021-06-30,AR,AppLovin,117592.0
2021-07-01,AR,AppLovin,158589.0
2021-07-02,AR,AppLovin,231101.0
2021-07-03,AR,AppLovin,394513.0
2021-07-04,AR,AppLovin,296556.0
2021-07-05,AR,AppLovin,194569.0
2021-07-06,AR,AppLovin,216788.0
2021-07-07,AR,AppLovin,192424.0
2021-07-08,AR,AppLovin,138485.0
2021-07-09,AR,AppLovin,137286.0
2021-07-10,AR,AppLovin,138309.0
2021-07-11,AR,AppLovin,164647.0
2021-07-12,AR,AppLovin,175816.0
2021-07-13,AR,AppLovin,154686.0
2021-07-14,AR,AppLovin,186982.0
2021-07-15,AR,AppLovin,158566.0
2021-07-16,AR,AppLovin,136122.0
2021-07-17,AR,AppLovin,181275.0
2021-07-18,AR,AppLovin,194042.0
2021-07-19,AR,AppLovin,163516.0
2021-07-20,AR,AppLovin,186325.0
2021-07-21,AR,AppLovin,152732.0
2021-07-22,AR,AppLovin,141879.0
2021-07-23,AR,AppLovin,117889.0
2021-07-24,AR,AppLovin,155810.0
2021-07-25,AR,AppLovin,187096.0
2021-07-26,AR,AppLovin,134508.0
2021-07-27,AR,AppLovin,149269.0
2021-07-28,AR,AppLovin,115845.0
2021-07-29,AR,AppLovin,137833.0
2021-07-30,AR,AppLovin,142097.0
2021-07-31,AR,AppLovin,147831.0
2021-08-01,AR,AppLovin,178231.0
2021-08-02,AR,AppLovin,121377.0
2021-08-03,AR,AppLovin,122963.0
2021-08-04,AR,AppLovin,145826.0
2021-08-05,AR,AppLovin,115666.0
2021-08-06,AR,AppLovin,105572.0
2021-08-07,AR,AppLovin,119414.0
2021-08-08,AR,AppLovin,141158.0
2021-08-09,AR,AppLovin,112593.0
2021-08-10,AR,AppLovin,101905.0
2021-08-11,AR,AppLovin,99310.0
2021-08-12,AR,AppLovin,98324.0
2021-08-13,AR,AppLovin,118961.0
2021-08-14,AR,AppLovin,101540.0
2021-08-15,AR,AppLovin,130331.0
2021-08-16,AR,AppLovin,110405.0
2021-08-17,AR,AppLovin,101208.0
2021-08-18,AR,AppLovin,93567.0
2021-08-19,AR,AppLovin,79863.0
2021-08-20,AR,AppLovin,88309.0
2021-08-21,AR,AppLovin,103306.0
2021-08-22,AR,AppLovin,113113.0
2021-08-23,AR,AppLovin,75631.0
2021-08-24,AR,AppLovin,82046.0
2021-08-25,AR,AppLovin,117849.0
2021-08-26,AR,AppLovin,89837.0
2021-08-27,AR,AppLovin,145423.0
2021-08-28,AR,AppLovin,101995.0
2021-08-29,AR,AppLovin,142145.0
2021-08-30,AR,AppLovin,87863.0
2021-08-31,AR,AppLovin,99746.0
2021-09-01,AR,AppLovin,130802.0
2021-09-02,AR,AppLovin,132985.0
2021-09-03,AR,AppLovin,95602.0
2021-09-04,AR,AppLovin,141159.0
2021-09-05,AR,AppLovin,136941.0
2021-09-06,AR,AppLovin,151356.0
2021-09-07,AR,AppLovin,112993.0
2021-09-08,AR,AppLovin,110716.0
2021-09-09,AR,AppLovin,103067.0
2021-09-10,AR,AppLovin,110611.0
2021-09-11,AR,AppLovin,158497.0
2021-09-12,AR,AppLovin,116522.0
2021-09-13,AR,AppLovin,96540.0
2021-09-14,AR,AppLovin,100842.0
2021-09-15,AR,AppLovin,79667.0
2021-09-16,AR,AppLovin,87908.0
2021-09-17,AR,AppLovin,92971.0
2021-09-18,AR,AppLovin,108784.0
2021-09-19,AR,AppLovin,126030.0
2021-09-20,AR,AppLovin,95714.0
2021-09-21,AR,AppLovin,91684.0
2021-09-22,AR,AppLovin,59698.0
