date,country,network,market_volume
2021-04-26,AR,IronSource,1079.0
2021-04-27,AR,IronSource,2156.0
2021-04-28,AR,IronSource,1535.0
2021-04-29,AR,IronSource,1649.0
2021-04-30,AR,IronSource,1980.0
2021-05-01,AR,IronSource,1497.0
2021-05-02,AR,IronSource,1559.0
2021-05-03,AR,IronSource,1006.0
2021-05-04,AR,IronSource,1074.0
2021-05-05,AR,IronSource,851.0
2021-05-06,AR,IronSource,817.0
2021-05-07,AR,IronSource,817.0
2021-05-08,AR,IronSource,1175.0
2021-05-09,AR,IronSource,1358.0
2021-05-10,AR,IronSource,1222.0
2021-05-11,AR,IronSource,1038.0
2021-05-12,AR,IronSource,1267.0
2021-05-13,AR,IronSource,1505.0
2021-05-14,AR,IronSource,1346.0
2021-05-15,AR,IronSource,1442.0
2021-05-16,AR,IronSource,1747.0
2021-05-17,AR,IronSource,640.0
2021-05-18,AR,IronSource,902.0
2021-05-19,AR,IronSource,1035.0
2021-05-20,AR,IronSource,1315.0
2021-05-21,AR,IronSource,2660.0
2021-05-22,AR,IronSource,3052.0
2021-05-23,AR,IronSource,4556.0
2021-05-24,AR,IronSource,3129.0
2021-05-25,AR,IronSource,3215.0
2021-05-26,AR,IronSource,2635.0
2021-05-27,AR,IronSource,4644.0
2021-05-28,AR,IronSource,4382.0
2021-05-29,AR,IronSource,3536.0
2021-05-30,AR,IronSource,4521.0
2021-05-31,AR,IronSource,3499.0
2021-06-01,AR,IronSource,3827.0
2021-06-02,AR,IronSource,2889.0
2021-06-03,AR,IronSource,4066.0
2021-06-04,AR,IronSource,6031.0
2021-06-05,AR,IronSource,5407.0
2021-06-06,AR,IronSource,4056.0
2021-06-07,AR,IronSource,4110.0
2021-06-08,AR,IronSource,3573.0
2021-06-09,AR,IronSource,3400.0
2021-06-10,AR,IronSource,3164.0
2021-06-11,AR,IronSource,2278.0
2021-06-12,AR,IronSource,3437.0
2021-06-13,AR,IronSource,2798.0
2021-06-14,AR,IronSource,2686.0
2021-06-15,AR,IronSource,3016.0
2021-06-16,AR,IronSource,2351.0
2021-06-17,AR,IronSource,2854.0
2021-06-18,AR,IronSource,5267.0
2021-06-19,AR,IronSource,8899.0
2021-06-20,AR,IronSource,12200.0
2021-06-21,AR,IronSource,2134.0
2021-06-22,AR,IronSource,1908.0
2021-06-23,AR,IronSource,2118.0
2021-06-24,AR,IronSource,1621.0
2021-06-25,AR,IronSource,1108.0
2021-06-26,AR,IronSource,999.0
2021-06-27,AR,IronSource,1382.0
2021-06-28,AR,IronSource,552.0
2021-06-29,AR,IronSource,771.0
2021-06-30,AR,IronSource,656.0
2021-07-01,AR,IronSource,1187.0
2021-07-02,AR,IronSource,1581.0
2021-07-03,AR,IronSource,1928.0
2021-07-04,AR,IronSource,2861.0
2021-07-05,AR,IronSource,2877.0
2021-07-06,AR,IronSource,2685.0
2021-07-07,AR,IronSource,1461.0
2021-07-08,AR,IronSource,1336.0
2021-07-09,AR,IronSource,1291.0
2021-07-10,AR,IronSource,1313.0
2021-07-11,AR,IronSource,1058.0
2021-07-12,AR,IronSource,1048.0
2021-07-13,AR,IronSource,1353.0
2021-07-14,AR,IronSource,1237.0
2021-07-15,AR,IronSource,1062.0
