date,country,networks,market_volume
2021-04-26,AR,AdMob,94770.0
2021-04-27,AR,AdMob,118858.0
2021-04-28,AR,AdMob,110656.0
2021-04-29,AR,AdMob,120630.0
2021-04-30,AR,AdMob,128284.0
2021-05-01,AR,AdMob,92091.0
2021-05-02,AR,AdMob,112653.0
2021-05-03,AR,AdMob,95897.0
2021-05-04,AR,AdMob,83388.0
2021-05-05,AR,AdMob,86942.0
2021-05-06,AR,AdMob,75713.0
2021-05-07,AR,AdMob,64212.0
2021-05-08,AR,AdMob,85471.0
2021-05-09,AR,AdMob,84859.0
2021-05-10,AR,AdMob,63413.0
2021-05-11,AR,AdMob,63040.0
2021-05-12,AR,AdMob,60336.0
2021-05-13,AR,AdMob,88676.0
2021-05-14,AR,AdMob,147234.0
2021-05-15,AR,AdMob,159602.0
2021-05-16,AR,AdMob,132597.0
2021-05-17,AR,AdMob,81819.0
2021-05-18,AR,AdMob,88380.0
2021-05-19,AR,AdMob,38742.0
2021-05-20,AR,AdMob,101889.0
2021-05-21,AR,AdMob,179113.0
2021-05-22,AR,AdMob,37276.0
2021-05-23,AR,AdMob,49223.0
2021-05-24,AR,AdMob,43366.0
2021-05-25,AR,AdMob,44077.0
2021-05-26,AR,AdMob,38733.0
2021-05-27,AR,AdMob,39264.0
2021-05-28,AR,AdMob,42920.0
2021-05-29,AR,AdMob,46904.0
2021-05-30,AR,AdMob,45261.0
2021-05-31,AR,AdMob,38041.0
2021-06-01,AR,AdMob,37548.0
2021-06-02,AR,AdMob,37641.0
2021-06-03,AR,AdMob,35555.0
2021-06-04,AR,AdMob,41208.0
2021-06-05,AR,AdMob,50337.0
2021-06-06,AR,AdMob,49626.0
2021-06-07,AR,AdMob,39631.0
2021-06-08,AR,AdMob,36954.0
2021-06-09,AR,AdMob,36295.0
2021-06-10,AR,AdMob,36217.0
2021-06-11,AR,AdMob,36362.0
2021-06-12,AR,AdMob,45334.0
2021-06-13,AR,AdMob,43861.0
2021-06-14,AR,AdMob,37982.0
2021-06-15,AR,AdMob,37642.0
2021-06-16,AR,AdMob,37433.0
2021-06-17,AR,AdMob,36247.0
2021-06-18,AR,AdMob,39823.0
2021-06-19,AR,AdMob,43060.0
2021-06-20,AR,AdMob,52534.0
2021-06-21,AR,AdMob,45839.0
2021-06-22,AR,AdMob,37509.0
2021-06-23,AR,AdMob,38754.0
2021-06-24,AR,AdMob,36393.0
2021-06-25,AR,AdMob,41379.0
2021-06-26,AR,AdMob,72853.0
2021-06-27,AR,AdMob,102333.0
2021-06-28,AR,AdMob,87917.0
2021-06-29,AR,AdMob,88677.0
2021-06-30,AR,AdMob,79190.0
2021-07-01,AR,AdMob,82131.0
2021-07-02,AR,AdMob,6043736.0
2021-07-03,AR,AdMob,6550044.0
2021-07-04,AR,AdMob,6298941.0
2021-07-05,AR,AdMob,63504.0
2021-07-06,AR,AdMob,60996.0
2021-07-07,AR,AdMob,59886.0
2021-07-08,AR,AdMob,48477.0
2021-07-09,AR,AdMob,41295.0
2021-07-10,AR,AdMob,42974.0
2021-07-11,AR,AdMob,45397.0
2021-07-12,AR,AdMob,43305.0
2021-07-13,AR,AdMob,15198.0
2021-07-14,AR,AdMob,15262.0
2021-07-15,AR,AdMob,14466.0
2021-07-16,AR,AdMob,14586.0
2021-07-17,AR,AdMob,16887.0
2021-07-18,AR,AdMob,19112.0
2021-07-19,AR,AdMob,16477.0
2021-07-20,AR,AdMob,15815.0
2021-07-21,AR,AdMob,14022.0
2021-07-22,AR,AdMob,14718.0
2021-07-23,AR,AdMob,14237.0
2021-07-24,AR,AdMob,16972.0
2021-07-25,AR,AdMob,17840.0
2021-07-26,AR,AdMob,15275.0
2021-07-27,AR,AdMob,15448.0
2021-07-28,AR,AdMob,13511.0
2021-07-29,AR,AdMob,13315.0
2021-07-30,AR,AdMob,13407.0
2021-07-31,AR,AdMob,15994.0
2021-08-01,AR,AdMob,16471.0
2021-08-02,AR,AdMob,15123.0
2021-08-03,AR,AdMob,13598.0
2021-08-04,AR,AdMob,15125.0
2021-08-05,AR,AdMob,13948.0
2021-08-06,AR,AdMob,15663.0
2021-08-07,AR,AdMob,16405.0
2021-08-08,AR,AdMob,19473.0
2021-08-09,AR,AdMob,12201.0
2021-08-10,AR,AdMob,14164.0
2021-08-11,AR,AdMob,80838.0
2021-08-12,AR,AdMob,10677.0
2021-08-13,AR,AdMob,76887.0
2021-08-14,AR,AdMob,92280.0
2021-08-15,AR,AdMob,96618.0
2021-08-16,AR,AdMob,87467.0
2021-08-17,AR,AdMob,80749.0
2021-08-18,AR,AdMob,74420.0
2021-08-19,AR,AdMob,78987.0
2021-08-20,AR,AdMob,70603.0
2021-08-21,AR,AdMob,92704.0
2021-08-22,AR,AdMob,96461.0
2021-08-23,AR,AdMob,80731.0
2021-08-24,AR,AdMob,68255.0
2021-08-25,AR,AdMob,70749.0
2021-08-26,AR,AdMob,71936.0
