,date,country,platform,market_volume
0,2021-04-21,AR,Android,43139.65402060819
1,2021-04-22,AR,Android,47974.952534444456
2,2021-04-23,AR,Android,50273.608002011606
3,2021-04-24,AR,Android,59030.03591039826
4,2021-04-25,AR,Android,55197.82960841128
5,2021-04-26,AR,Android,47598.23304508265
6,2021-04-27,AR,Android,47196.97412963479
7,2021-04-28,AR,Android,49769.0289729405
8,2021-04-29,AR,Android,48987.2301004
9,2021-04-30,AR,Android,51686.765951640264
10,2021-05-01,AR,Android,67215.61881839017
11,2021-05-02,AR,Android,62589.23334419551
12,2021-05-03,AR,Android,49102.08758427193
13,2021-05-04,AR,Android,45029.97815177527
14,2021-05-05,AR,Android,55874.87272405805
15,2021-05-06,AR,Android,46972.638265378446
16,2021-05-07,AR,Android,56479.884023410086
17,2021-05-08,AR,Android,67935.5824038503
18,2021-05-09,AR,Android,69119.75126106304
19,2021-05-10,AR,Android,53841.57179405591
20,2021-05-11,AR,Android,67360.03442594159
21,2021-05-12,AR,Android,56481.44110512883
22,2021-05-13,AR,Android,61044.66293543926
23,2021-05-14,AR,Android,54034.93689743925
24,2021-05-15,AR,Android,61123.91484576828
25,2021-05-16,AR,Android,50745.1920256219
26,2021-05-17,AR,Android,41653.56564685254
27,2021-05-18,AR,Android,57106.199664272724
28,2021-05-19,AR,Android,66680.4917309313
29,2021-05-20,AR,Android,52257.90456010315
30,2021-05-21,AR,Android,67389.27647359051
31,2021-05-22,AR,Android,49640.867860473794
32,2021-05-23,AR,Android,59790.653941960976
33,2021-05-24,AR,Android,53728.280872
34,2021-05-25,AR,Android,56361.96799479466
35,2021-05-26,AR,Android,45451.27740685202
36,2021-05-27,AR,Android,40988.178333725205
37,2021-05-28,AR,Android,39355.716684440406
38,2021-05-29,AR,Android,42002.920860330625
39,2021-05-30,AR,Android,43577.51700557924
40,2021-05-31,AR,Android,32317.458748566976
41,2021-06-01,AR,Android,40258.64290894648
42,2021-06-02,AR,Android,39206.97372052632
43,2021-06-03,AR,Android,37625.23465245506
44,2021-06-04,AR,Android,41565.18046856377
45,2021-06-05,AR,Android,52406.76736501396
46,2021-06-06,AR,Android,42427.037359949674
47,2021-06-07,AR,Android,48938.56292162638
48,2021-06-08,AR,Android,44010.33278835063
49,2021-06-09,AR,Android,41333.00718832143
50,2021-06-10,AR,Android,37977.91578276814
51,2021-06-11,AR,Android,46605.74788569628
52,2021-06-12,AR,Android,53524.562291096554
53,2021-06-13,AR,Android,44362.60187588249
54,2021-06-14,AR,Android,44173.05871103375
55,2021-06-15,AR,Android,40400.99747235024
56,2021-06-16,AR,Android,39835.45511369791
57,2021-06-17,AR,Android,41934.34848833402
58,2021-06-18,AR,Android,23118.752540948124
59,2021-06-19,AR,Android,19303.02787631661
60,2021-06-20,AR,Android,21421.235395777137
61,2021-06-21,AR,Android,60996.32410442013
62,2021-06-22,AR,Android,44416.85445645798
63,2021-06-23,AR,Android,46087.15677178845
64,2021-06-24,AR,Android,41946.99069584906
65,2021-06-25,AR,Android,48068.780942009435
66,2021-06-26,AR,Android,44613.22395183387
67,2021-06-27,AR,Android,43869.52133700483
68,2021-06-28,AR,Android,61706.71487752126
69,2021-06-29,AR,Android,63079.78730050577
70,2021-06-30,AR,Android,68962.35531865979
71,2021-07-01,AR,Android,38931.462688965505
72,2021-07-02,AR,Android,68465.37211070524
73,2021-07-03,AR,Android,78235.72041139394
74,2021-07-04,AR,Android,74957.6522321705
75,2021-07-05,AR,Android,32488.79336615512
76,2021-07-06,AR,Android,36891.72777695579
77,2021-07-07,AR,Android,45882.38729865241
78,2021-07-08,AR,Android,37769.886204681476
79,2021-07-09,AR,Android,38217.184975213204
80,2021-07-10,AR,Android,44301.19516556868
81,2021-07-11,AR,Android,57182.48345229224
82,2021-07-12,AR,Android,48957.686230543775
83,2021-07-13,AR,Android,60192.10811388524
84,2021-07-14,AR,Android,61447.014663113136
85,2021-07-15,AR,Android,61884.02844471429
86,2021-07-16,AR,Android,65046.702749858814
87,2021-07-17,AR,Android,71222.26871082277
88,2021-07-18,AR,Android,73093.00808138661
89,2021-07-19,AR,Android,58474.59475672544
90,2021-07-20,AR,Android,59021.08820462932
91,2021-07-21,AR,Android,80036.45243174557
92,2021-07-22,AR,Android,63636.5104183086
93,2021-07-23,AR,Android,63145.77572967522
94,2021-07-24,AR,Android,84698.52497361215
95,2021-07-25,AR,Android,81243.37624082208
96,2021-07-26,AR,Android,70187.07152264647
97,2021-07-27,AR,Android,70390.33095152529
98,2021-07-28,AR,Android,71185.32330611414
99,2021-07-29,AR,Android,64496.2362678584
100,2021-07-30,AR,Android,62645.313184737315
101,2021-07-31,AR,Android,78483.38569364705
102,2021-08-01,AR,Android,74122.41130230337
103,2021-08-02,AR,Android,87780.72605640002
104,2021-08-03,AR,Android,97970.72095716215
105,2021-08-04,AR,Android,99569.22327645689
106,2021-08-05,AR,Android,95307.594819202
107,2021-08-06,AR,Android,96226.15153036363
108,2021-08-07,AR,Android,105806.41271387819
109,2021-08-08,AR,Android,115561.95641522658
110,2021-08-09,AR,Android,67933.41848892241
111,2021-08-10,AR,Android,56115.582373199046
112,2021-08-11,AR,Android,67002.90500327508
113,2021-08-12,AR,Android,58813.51894976332
114,2021-08-13,AR,Android,52884.98972806101
115,2021-08-14,AR,Android,72650.7548448843
116,2021-08-15,AR,Android,53336.64060906923
