date,country,network,market_volume
2021-04-26,AR,Amazon,207489.0
2021-04-27,AR,Amazon,159202.0
2021-04-28,AR,Amazon,143816.0
2021-04-29,AR,Amazon,198477.0
2021-04-30,AR,Amazon,136267.0
2021-05-01,AR,Amazon,104108.0
2021-05-02,AR,Amazon,181725.0
2021-05-03,AR,Amazon,48610.0
2021-05-04,AR,Amazon,62558.0
2021-05-05,AR,Amazon,226709.0
2021-05-06,AR,Amazon,50384.0
2021-05-07,AR,Amazon,62677.0
2021-05-08,AR,Amazon,71156.0
2021-05-09,AR,Amazon,95551.0
2021-05-10,AR,Amazon,40518.0
2021-05-11,AR,Amazon,75282.0
2021-05-12,AR,Amazon,41679.0
2021-05-13,AR,Amazon,35014.0
2021-05-14,AR,Amazon,71757.0
2021-05-15,AR,Amazon,89388.0
2021-05-16,AR,Amazon,212096.0
2021-05-17,AR,Amazon,46268.0
2021-05-18,AR,Amazon,43815.0
2021-05-19,AR,Amazon,49325.0
2021-05-20,AR,Amazon,47562.0
2021-05-21,AR,Amazon,62525.0
2021-05-22,AR,Amazon,60640.0
2021-05-23,AR,Amazon,92857.0
2021-05-24,AR,Amazon,80923.0
2021-05-25,AR,Amazon,85834.0
2021-05-26,AR,Amazon,65925.0
2021-05-27,AR,Amazon,92874.0
2021-05-28,AR,Amazon,63481.0
2021-05-29,AR,Amazon,97668.0
2021-05-30,AR,Amazon,145449.0
2021-05-31,AR,Amazon,86456.0
2021-06-01,AR,Amazon,95853.0
2021-06-02,AR,Amazon,58143.0
2021-06-03,AR,Amazon,63250.0
2021-06-04,AR,Amazon,77041.0
2021-06-05,AR,Amazon,87746.0
2021-06-06,AR,Amazon,225746.0
2021-06-07,AR,Amazon,177094.0
2021-06-08,AR,Amazon,194294.0
2021-06-09,AR,Amazon,245500.0
2021-06-10,AR,Amazon,262382.0
2021-06-11,AR,Amazon,186766.0
2021-06-12,AR,Amazon,596295.0
2021-06-13,AR,Amazon,291706.0
2021-06-14,AR,Amazon,93694.0
2021-06-15,AR,Amazon,56094.0
2021-06-16,AR,Amazon,123827.0
2021-06-17,AR,Amazon,183853.0
2021-06-18,AR,Amazon,78658.0
2021-06-19,AR,Amazon,92817.0
2021-06-20,AR,Amazon,106859.0
2021-06-21,AR,Amazon,76766.0
2021-06-22,AR,Amazon,54116.0
2021-06-23,AR,Amazon,144836.0
2021-06-24,AR,Amazon,139904.0
2021-06-25,AR,Amazon,50925.0
2021-06-27,AR,Amazon,45239.0
2021-06-30,AR,Amazon,37502.0
2021-07-01,AR,Amazon,29062.0
2021-07-02,AR,Amazon,115216.0
2021-07-03,AR,Amazon,84390.0
