date,country,networks,market_volume
2021-04-26,AR,AppLovin,166089.0
2021-04-27,AR,AppLovin,130125.0
2021-04-28,AR,AppLovin,128845.0
2021-04-29,AR,AppLovin,137993.0
2021-04-30,AR,AppLovin,182466.0
2021-05-01,AR,AppLovin,159765.0
2021-05-02,AR,AppLovin,131971.0
2021-05-03,AR,AppLovin,195857.0
2021-05-04,AR,AppLovin,129437.0
2021-05-05,AR,AppLovin,110482.0
2021-05-06,AR,AppLovin,150551.0
2021-05-07,AR,AppLovin,145195.0
2021-05-08,AR,AppLovin,321677.0
2021-05-09,AR,AppLovin,255604.0
2021-05-10,AR,AppLovin,163919.0
2021-05-11,AR,AppLovin,118206.0
2021-05-12,AR,AppLovin,139729.0
2021-05-13,AR,AppLovin,166953.0
2021-05-14,AR,AppLovin,179230.0
2021-05-15,AR,AppLovin,178420.0
2021-05-16,AR,AppLovin,159784.0
2021-05-17,AR,AppLovin,151382.0
2021-05-18,AR,AppLovin,186559.0
2021-05-19,AR,AppLovin,238137.0
2021-05-20,AR,AppLovin,195459.0
2021-05-21,AR,AppLovin,186930.0
2021-05-22,AR,AppLovin,125288.0
2021-05-23,AR,AppLovin,176394.0
2021-05-24,AR,AppLovin,202485.0
2021-05-25,AR,AppLovin,167771.0
2021-05-26,AR,AppLovin,172576.0
2021-05-27,AR,AppLovin,193359.0
2021-05-28,AR,AppLovin,226568.0
2021-05-29,AR,AppLovin,204927.0
2021-05-30,AR,AppLovin,215443.0
2021-05-31,AR,AppLovin,167765.0
2021-06-01,AR,AppLovin,176154.0
2021-06-02,AR,AppLovin,159542.0
2021-06-03,AR,AppLovin,141557.0
2021-06-04,AR,AppLovin,159646.0
2021-06-05,AR,AppLovin,181800.0
2021-06-06,AR,AppLovin,182960.0
2021-06-07,AR,AppLovin,165800.0
2021-06-08,AR,AppLovin,134363.0
2021-06-09,AR,AppLovin,161025.0
2021-06-10,AR,AppLovin,142909.0
2021-06-11,AR,AppLovin,185257.0
2021-06-12,AR,AppLovin,157231.0
2021-06-13,AR,AppLovin,197368.0
2021-06-14,AR,AppLovin,184226.0
2021-06-15,AR,AppLovin,164180.0
2021-06-16,AR,AppLovin,167513.0
2021-06-17,AR,AppLovin,123822.0
2021-06-18,AR,AppLovin,158466.0
2021-06-19,AR,AppLovin,187933.0
2021-06-20,AR,AppLovin,171799.0
2021-06-21,AR,AppLovin,154942.0
2021-06-22,AR,AppLovin,141209.0
2021-06-23,AR,AppLovin,112391.0
2021-06-24,AR,AppLovin,122516.0
2021-06-25,AR,AppLovin,109571.0
2021-06-26,AR,AppLovin,115340.0
2021-06-27,AR,AppLovin,143940.0
2021-06-28,AR,AppLovin,110514.0
2021-06-29,AR,AppLovin,106235.0
2021-06-30,AR,AppLovin,115241.0
2021-07-01,AR,AppLovin,156891.0
2021-07-02,AR,AppLovin,229661.0
2021-07-03,AR,AppLovin,392324.0
2021-07-04,AR,AppLovin,294702.0
2021-07-05,AR,AppLovin,193130.0
