date,country,network,market_volume
2021-04-28,AR,AdMob,43176.0
2021-04-29,AR,AdMob,29006.0
2021-04-30,AR,AdMob,36283.0
2021-05-01,AR,AdMob,17523.0
2021-05-02,AR,AdMob,40025.0
2021-05-03,AR,AdMob,43972.0
2021-05-04,AR,AdMob,132783.0
2021-05-05,AR,AdMob,199606.0
2021-05-06,AR,AdMob,161769.0
2021-05-07,AR,AdMob,29357.0
2021-05-10,AR,AdMob,23379.0
2021-05-13,AR,AdMob,26526.0
2021-05-20,AR,AdMob,65409.0
2021-05-21,AR,AdMob,116856.0
2021-05-22,AR,AdMob,60057.0
2021-05-23,AR,AdMob,85862.0
2021-05-24,AR,AdMob,86322.0
2021-05-25,AR,AdMob,14250.0
2021-05-26,AR,AdMob,1021.0
2021-05-27,AR,AdMob,740.0
2021-05-28,AR,AdMob,52465.0
2021-05-29,AR,AdMob,105717.0
2021-05-30,AR,AdMob,67931.0
2021-05-31,AR,AdMob,1035.0
2021-06-01,AR,AdMob,1170.0
2021-06-02,AR,AdMob,811.0
2021-06-03,AR,AdMob,771.0
2021-06-04,AR,AdMob,1032.0
2021-06-05,AR,AdMob,1084.0
2021-06-06,AR,AdMob,1535.0
2021-06-07,AR,AdMob,1506.0
2021-06-08,AR,AdMob,782.0
2021-06-09,AR,AdMob,778.0
2021-06-10,AR,AdMob,873.0
2021-06-11,AR,AdMob,774.0
2021-06-12,AR,AdMob,867.0
2021-06-13,AR,AdMob,1597.0
2021-06-14,AR,AdMob,805.0
2021-06-15,AR,AdMob,1633.0
2021-06-16,AR,AdMob,843.0
2021-06-17,AR,AdMob,15694.0
2021-06-18,AR,AdMob,14371.0
2021-06-19,AR,AdMob,20450.0
2021-06-20,AR,AdMob,1681.0
2021-06-21,AR,AdMob,1510.0
2021-06-22,AR,AdMob,808.0
2021-06-23,AR,AdMob,1146.0
2021-06-24,AR,AdMob,1904.0
2021-06-25,AR,AdMob,31861.0
2021-06-26,AR,AdMob,955.0
2021-06-27,AR,AdMob,1153.0
2021-06-28,AR,AdMob,2080.0
2021-06-29,AR,AdMob,1407.0
2021-06-30,AR,AdMob,19939.0
2021-07-01,AR,AdMob,1198.0
2021-07-02,AR,AdMob,1447.0
2021-07-03,AR,AdMob,1197.0
2021-07-04,AR,AdMob,1813.0
2021-07-05,AR,AdMob,857.0
2021-07-06,AR,AdMob,1367.0
2021-07-07,AR,AdMob,1009.0
2021-07-08,AR,AdMob,1337.0
2021-07-09,AR,AdMob,1528.0
2021-07-10,AR,AdMob,1726.0
2021-07-11,AR,AdMob,1727.0
2021-07-12,AR,AdMob,1258.0
2021-07-13,AR,AdMob,1435.0
2021-07-14,AR,AdMob,960.0
2021-07-15,AR,AdMob,803.0
2021-07-16,AR,AdMob,760.0
2021-07-17,AR,AdMob,1644.0
2021-07-18,AR,AdMob,994.0
2021-07-19,AR,AdMob,1285.0
2021-07-20,AR,AdMob,1043.0
2021-07-26,AR,AdMob,12293.0
2021-07-28,AR,AdMob,17232.0
2021-07-29,AR,AdMob,17456.0
2021-07-30,AR,AdMob,80178.0
2021-08-02,AR,AdMob,38384.0
2021-08-04,AR,AdMob,3928.0
2021-08-05,AR,AdMob,9928.0
2021-08-06,AR,AdMob,37320.0
2021-08-07,AR,AdMob,278683.0
2021-08-10,AR,AdMob,5057.0
2021-08-12,AR,AdMob,5513.0
2021-08-15,AR,AdMob,17289.0
2021-08-16,AR,AdMob,7070.0
2021-08-20,AR,AdMob,25499.0
2021-08-21,AR,AdMob,23770.0
2021-08-22,AR,AdMob,30230.0
2021-08-23,AR,AdMob,121952.0
2021-08-25,AR,AdMob,38865.0
2021-09-02,AR,AdMob,21538.0
2021-09-05,AR,AdMob,10433.0
2021-09-11,AR,AdMob,36883.0
2021-09-18,AR,AdMob,12329.0
2021-09-21,AR,AdMob,6012.0
2021-09-23,AR,AdMob,5279.0
2021-09-30,AR,AdMob,42958.0
2021-10-01,AR,AdMob,1533.0
2021-10-11,AR,AdMob,156604.0
2021-10-14,AR,AdMob,1131.0
