,date,country,platform,market_volume
0,2021-05-03,AR,iOS,4880.575862068967
1,2021-05-04,AR,iOS,7977.964305154639
2,2021-05-05,AR,iOS,5360.659960714286
3,2021-05-06,AR,iOS,7715.561004566211
4,2021-05-07,AR,iOS,4585.642071195652
5,2021-05-08,AR,iOS,4652.259026315791
6,2021-05-09,AR,iOS,5577.6375135
7,2021-05-10,AR,iOS,5956.161425581396
8,2021-05-11,AR,iOS,4606.876088888888
9,2021-05-12,AR,iOS,3991.5216765957457
10,2021-05-13,AR,iOS,4565.764087336244
11,2021-05-14,AR,iOS,3247.6220942084938
12,2021-05-15,AR,iOS,3626.4773183431953
13,2021-05-16,AR,iOS,6015.931104716981
14,2021-05-17,AR,iOS,4918.932533333334
15,2021-05-18,AR,iOS,5051.100294791666
16,2021-05-19,AR,iOS,4668.1376040000005
17,2021-05-20,AR,iOS,12500.423419354838
18,2021-05-21,AR,iOS,15378.536304700854
19,2021-05-22,AR,iOS,19360.253816666664
20,2021-05-23,AR,iOS,22280.93598440367
21,2021-05-24,AR,iOS,18990.92857309942
22,2021-05-25,AR,iOS,7421.666927790973
23,2021-05-26,AR,iOS,2961.483902578797
24,2021-05-27,AR,iOS,3193.2348430107522
25,2021-05-28,AR,iOS,14980.097667222222
26,2021-05-29,AR,iOS,21348.446606940062
27,2021-05-30,AR,iOS,15260.435080080486
28,2021-05-31,AR,iOS,3425.3908646017703
29,2021-06-01,AR,iOS,3602.9113399239545
30,2021-06-02,AR,iOS,3792.1260324324326
31,2021-06-03,AR,iOS,3583.7658155901995
32,2021-06-04,AR,iOS,4389.965625
33,2021-06-05,AR,iOS,5796.567122505801
34,2021-06-06,AR,iOS,5202.432449530957
35,2021-06-07,AR,iOS,5706.257070544553
36,2021-06-08,AR,iOS,3336.0388749473695
37,2021-06-09,AR,iOS,3776.5261794871794
38,2021-06-10,AR,iOS,4025.8327581280782
39,2021-06-11,AR,iOS,3573.9000317610057
40,2021-06-12,AR,iOS,4171.150149077491
41,2021-06-13,AR,iOS,5185.415849802371
42,2021-06-14,AR,iOS,3648.1078267515923
43,2021-06-15,AR,iOS,4680.226484488449
44,2021-06-16,AR,iOS,4194.955040282685
45,2021-06-17,AR,iOS,5700.9490396363635
46,2021-06-18,AR,iOS,4998.717661320755
47,2021-06-19,AR,iOS,6830.233634131737
48,2021-06-20,AR,iOS,7431.905250000002
49,2021-06-21,AR,iOS,4540.4345567010305
50,2021-06-22,AR,iOS,4118.300390243902
51,2021-06-23,AR,iOS,4484.470262621358
52,2021-06-24,AR,iOS,3625.715032218845
53,2021-06-25,AR,iOS,5501.46409090909
54,2021-06-26,AR,iOS,3256.355209169055
55,2021-06-27,AR,iOS,4769.090702777776
56,2021-06-28,AR,iOS,4323.154419402986
57,2021-06-29,AR,iOS,3632.1710973293766
58,2021-06-30,AR,iOS,8072.009931740615
59,2021-07-01,AR,iOS,4134.8537951219505
60,2021-07-02,AR,iOS,4108.578442222222
61,2021-07-03,AR,iOS,4182.293241457287
62,2021-07-04,AR,iOS,5216.288169444443
63,2021-07-05,AR,iOS,2949.3874307692304
64,2021-07-06,AR,iOS,3058.570471794871
65,2021-07-07,AR,iOS,2816.152161818183
66,2021-07-08,AR,iOS,3010.7970860377354
67,2021-07-09,AR,iOS,3537.525779122542
68,2021-07-10,AR,iOS,3956.4705593927897
69,2021-07-11,AR,iOS,4189.610345189505
70,2021-07-12,AR,iOS,3186.697628648649
71,2021-07-13,AR,iOS,3391.154521172638
72,2021-07-14,AR,iOS,3845.1790394039735
73,2021-07-15,AR,iOS,3322.5964361185984
74,2021-07-16,AR,iOS,4077.501287866108
75,2021-07-17,AR,iOS,4440.638841823055
76,2021-07-18,AR,iOS,4380.707850343249
77,2021-07-19,AR,iOS,4124.37912643979
78,2021-07-20,AR,iOS,5237.107361194029
79,2021-07-21,AR,iOS,5198.00485
80,2021-07-22,AR,iOS,2857.715161538462
81,2021-07-23,AR,iOS,3878.436275149106
82,2021-07-24,AR,iOS,4019.0342445923466
83,2021-07-25,AR,iOS,5653.53442616408
84,2021-07-26,AR,iOS,3583.7932050264544
85,2021-07-27,AR,iOS,3821.0972613861377
86,2021-07-28,AR,iOS,3495.932598022249
87,2021-07-29,AR,iOS,3230.58778212479
88,2021-07-30,AR,iOS,3796.3871693877554
89,2021-07-31,AR,iOS,3159.2470840000005
90,2021-08-01,AR,iOS,4582.657576445396
91,2021-08-02,AR,iOS,3910.3508820689644
92,2021-08-03,AR,iOS,2991.7990068027225
93,2021-08-04,AR,iOS,3164.3362831460668
94,2021-08-05,AR,iOS,2785.296958907363
95,2021-08-06,AR,iOS,3548.9899365750534
96,2021-08-07,AR,iOS,3588.065213068182
97,2021-08-08,AR,iOS,6145.792721867321
98,2021-08-09,AR,iOS,4745.345695781637
99,2021-08-10,AR,iOS,3219.3841902343747
100,2021-08-11,AR,iOS,2478.4548459340654
101,2021-08-12,AR,iOS,2610.92356491228
102,2021-08-13,AR,iOS,2410.817333333334
103,2021-08-14,AR,iOS,3295.5678712328768
104,2021-08-15,AR,iOS,5607.009059420288
