date,country,network,market_volume
2021-04-26,AR,Amazon,1111.0
2021-04-28,AR,Amazon,3198.0
2021-04-29,AR,Amazon,967.0
2021-04-30,AR,Amazon,3360.0
2021-05-01,AR,Amazon,660.0
2021-05-02,AR,Amazon,2620.0
2021-05-03,AR,Amazon,609.0
2021-05-04,AR,Amazon,2124.0
2021-05-07,AR,Amazon,3188.0
2021-05-08,AR,Amazon,1249.0
2021-05-09,AR,Amazon,2652.0
2021-05-13,AR,Amazon,931.0
2021-05-16,AR,Amazon,3883.0
2021-05-17,AR,Amazon,1038.0
2021-05-18,AR,Amazon,408.0
2021-05-20,AR,Amazon,772.0
2021-05-22,AR,Amazon,3313.0
2021-05-25,AR,Amazon,1154.0
2021-05-28,AR,Amazon,2256.0
2021-05-30,AR,Amazon,3805.0
2021-05-31,AR,Amazon,3473.0
2021-06-04,AR,Amazon,2096.0
2021-06-06,AR,Amazon,3873.0
2021-06-09,AR,Amazon,6352.0
2021-06-10,AR,Amazon,17791.0
2021-06-12,AR,Amazon,2412.0
2021-06-13,AR,Amazon,8006.0
2021-06-14,AR,Amazon,6672.0
2021-06-15,AR,Amazon,2297.0
2021-06-19,AR,Amazon,953.0
2021-06-20,AR,Amazon,5019.0
2021-06-21,AR,Amazon,6819.0
2021-06-24,AR,Amazon,1229.0
2021-06-25,AR,Amazon,1770.0
2021-06-26,AR,Amazon,786.0
2021-06-29,AR,Amazon,1857.0
2021-06-30,AR,Amazon,2694.0
2021-07-01,AR,Amazon,2781.0
2021-07-03,AR,Amazon,4210.0
2021-07-05,AR,Amazon,3411.0
2021-07-07,AR,Amazon,2929.0
2021-07-08,AR,Amazon,7180.0
2021-07-09,AR,Amazon,1857.0
2021-07-10,AR,Amazon,3256.0
2021-07-11,AR,Amazon,5364.0
2021-07-12,AR,Amazon,3072.0
2021-07-13,AR,Amazon,3849.0
2021-07-14,AR,Amazon,1879.0
2021-07-15,AR,Amazon,3483.0
2021-07-17,AR,Amazon,7356.0
2021-07-18,AR,Amazon,2939.0
2021-07-19,AR,Amazon,12139.0
2021-07-20,AR,Amazon,14377.0
2021-07-21,AR,Amazon,14269.0
2021-07-22,AR,Amazon,4689.0
2021-07-23,AR,Amazon,3610.0
2021-07-24,AR,Amazon,8108.0
2021-07-25,AR,Amazon,3944.0
2021-07-26,AR,Amazon,3980.0
2021-07-27,AR,Amazon,3929.0
2021-07-28,AR,Amazon,6885.0
2021-07-29,AR,Amazon,3256.0
2021-07-30,AR,Amazon,2316.0
2021-07-31,AR,Amazon,2980.0
2021-08-01,AR,Amazon,4873.0
2021-08-02,AR,Amazon,10389.0
2021-08-03,AR,Amazon,5577.0
2021-08-04,AR,Amazon,2550.0
2021-08-05,AR,Amazon,8570.0
2021-08-06,AR,Amazon,4665.0
2021-08-07,AR,Amazon,7526.0
2021-08-08,AR,Amazon,4745.0
2021-08-09,AR,Amazon,1962.0
2021-08-11,AR,Amazon,1179.0
2021-08-12,AR,Amazon,1804.0
2021-08-13,AR,Amazon,1690.0
2021-08-14,AR,Amazon,4766.0
2021-08-15,AR,Amazon,12407.0
2021-08-16,AR,Amazon,1916.0
2021-08-17,AR,Amazon,3548.0
2021-08-18,AR,Amazon,1459.0
2021-08-19,AR,Amazon,4139.0
2021-08-20,AR,Amazon,2179.0
2021-08-21,AR,Amazon,2234.0
2021-08-22,AR,Amazon,1979.0
2021-08-23,AR,Amazon,2439.0
2021-08-24,AR,Amazon,1079.0
2021-08-25,AR,Amazon,3805.0
2021-08-26,AR,Amazon,1502.0
2021-08-27,AR,Amazon,1220.0
2021-08-28,AR,Amazon,986.0
2021-08-29,AR,Amazon,1926.0
2021-08-30,AR,Amazon,3631.0
2021-08-31,AR,Amazon,2420.0
2021-09-01,AR,Amazon,3610.0
2021-09-05,AR,Amazon,3514.0
2021-09-07,AR,Amazon,1836.0
2021-09-08,AR,Amazon,1019.0
2021-09-09,AR,Amazon,1130.0
2021-09-10,AR,Amazon,2096.0
2021-09-12,AR,Amazon,1404.0
2021-09-13,AR,Amazon,902.0
2021-09-15,AR,Amazon,1156.0
2021-09-16,AR,Amazon,2588.0
2021-09-18,AR,Amazon,1725.0
2021-09-19,AR,Amazon,821.0
2021-09-21,AR,Amazon,2429.0
2021-09-22,AR,Amazon,1333.0
2021-09-23,AR,Amazon,2086.0
2021-09-26,AR,Amazon,2502.0
2021-09-28,AR,Amazon,1525.0
2021-09-30,AR,Amazon,1061.0
2021-10-01,AR,Amazon,3907.0
2021-10-03,AR,Amazon,2665.0
