date,country,network,market_volume
2021-04-26,AR,AppLovin,301.0
2021-04-27,AR,AppLovin,227.0
2021-04-28,AR,AppLovin,76.0
2021-04-29,AR,AppLovin,60.0
2021-04-30,AR,AppLovin,53.0
2021-05-01,AR,AppLovin,439.0
2021-05-02,AR,AppLovin,1322.0
2021-05-03,AR,AppLovin,214.0
2021-05-04,AR,AppLovin,128.0
2021-05-05,AR,AppLovin,305.0
2021-05-06,AR,AppLovin,300.0
2021-05-07,AR,AppLovin,229.0
2021-05-08,AR,AppLovin,123.0
2021-05-09,AR,AppLovin,135.0
2021-05-10,AR,AppLovin,113.0
2021-05-11,AR,AppLovin,125.0
2021-05-12,AR,AppLovin,376.0
2021-05-13,AR,AppLovin,161.0
2021-05-14,AR,AppLovin,395.0
2021-05-15,AR,AppLovin,41.0
2021-05-16,AR,AppLovin,286.0
2021-05-17,AR,AppLovin,235.0
2021-05-18,AR,AppLovin,168.0
2021-05-19,AR,AppLovin,536.0
2021-05-20,AR,AppLovin,40.0
2021-05-21,AR,AppLovin,178.0
2021-05-22,AR,AppLovin,210.0
2021-05-23,AR,AppLovin,195.0
2021-05-24,AR,AppLovin,223.0
2021-05-25,AR,AppLovin,143.0
2021-05-26,AR,AppLovin,55.0
2021-05-27,AR,AppLovin,219.0
2021-05-28,AR,AppLovin,98.0
2021-05-29,AR,AppLovin,209.0
2021-05-30,AR,AppLovin,69.0
2021-05-31,AR,AppLovin,67.0
2021-06-01,AR,AppLovin,90.0
2021-06-02,AR,AppLovin,64.0
2021-06-03,AR,AppLovin,82.0
2021-06-04,AR,AppLovin,123.0
2021-06-05,AR,AppLovin,125.0
2021-06-06,AR,AppLovin,116.0
2021-06-07,AR,AppLovin,108.0
2021-06-08,AR,AppLovin,109.0
2021-06-09,AR,AppLovin,142.0
2021-06-10,AR,AppLovin,205.0
2021-06-11,AR,AppLovin,71.0
2021-06-12,AR,AppLovin,157.0
2021-06-13,AR,AppLovin,265.0
2021-06-14,AR,AppLovin,217.0
2021-06-15,AR,AppLovin,110.0
2021-06-16,AR,AppLovin,45.0
2021-06-17,AR,AppLovin,262.0
2021-06-18,AR,AppLovin,72.0
2021-06-19,AR,AppLovin,80.0
2021-06-20,AR,AppLovin,193.0
2021-06-21,AR,AppLovin,128.0
2021-06-22,AR,AppLovin,205.0
2021-06-23,AR,AppLovin,87.0
2021-06-24,AR,AppLovin,169.0
2021-06-25,AR,AppLovin,45.0
2021-06-26,AR,AppLovin,163.0
2021-06-27,AR,AppLovin,45.0
2021-06-28,AR,AppLovin,85.0
2021-06-29,AR,AppLovin,21.0
2021-06-30,AR,AppLovin,62.0
2021-07-01,AR,AppLovin,66.0
2021-07-02,AR,AppLovin,52.0
2021-07-03,AR,AppLovin,58.0
2021-07-04,AR,AppLovin,40.0
2021-07-05,AR,AppLovin,40.0
2021-07-06,AR,AppLovin,56.0
2021-07-07,AR,AppLovin,267.0
2021-07-08,AR,AppLovin,481.0
2021-07-09,AR,AppLovin,589.0
2021-07-10,AR,AppLovin,581.0
2021-07-11,AR,AppLovin,546.0
2021-07-12,AR,AppLovin,141.0
2021-07-13,AR,AppLovin,57.0
2021-07-14,AR,AppLovin,59.0
2021-07-15,AR,AppLovin,17.0
2021-07-16,AR,AppLovin,38.0
2021-07-17,AR,AppLovin,62.0
2021-07-18,AR,AppLovin,83.0
2021-07-19,AR,AppLovin,245.0
2021-07-20,AR,AppLovin,277.0
2021-07-21,AR,AppLovin,1038.0
2021-07-22,AR,AppLovin,290.0
2021-07-23,AR,AppLovin,382.0
2021-07-24,AR,AppLovin,659.0
2021-07-25,AR,AppLovin,821.0
2021-07-26,AR,AppLovin,417.0
2021-07-27,AR,AppLovin,677.0
2021-07-28,AR,AppLovin,577.0
2021-07-29,AR,AppLovin,532.0
2021-07-30,AR,AppLovin,667.0
2021-07-31,AR,AppLovin,979.0
2021-08-01,AR,AppLovin,1031.0
2021-08-02,AR,AppLovin,1246.0
2021-08-03,AR,AppLovin,807.0
2021-08-04,AR,AppLovin,879.0
2021-08-05,AR,AppLovin,740.0
2021-08-06,AR,AppLovin,947.0
2021-08-07,AR,AppLovin,730.0
2021-08-08,AR,AppLovin,1505.0
2021-08-09,AR,AppLovin,849.0
2021-08-10,AR,AppLovin,543.0
2021-08-11,AR,AppLovin,592.0
2021-08-12,AR,AppLovin,643.0
2021-08-13,AR,AppLovin,582.0
2021-08-14,AR,AppLovin,498.0
2021-08-15,AR,AppLovin,829.0
2021-08-16,AR,AppLovin,620.0
2021-08-17,AR,AppLovin,430.0
2021-08-18,AR,AppLovin,602.0
2021-08-19,AR,AppLovin,484.0
2021-08-20,AR,AppLovin,480.0
2021-08-21,AR,AppLovin,650.0
2021-08-22,AR,AppLovin,527.0
2021-08-23,AR,AppLovin,498.0
2021-08-24,AR,AppLovin,371.0
2021-08-25,AR,AppLovin,504.0
2021-08-26,AR,AppLovin,535.0
2021-08-27,AR,AppLovin,333.0
2021-08-28,AR,AppLovin,376.0
2021-08-29,AR,AppLovin,591.0
2021-08-30,AR,AppLovin,298.0
2021-08-31,AR,AppLovin,190.0
2021-09-01,AR,AppLovin,216.0
2021-09-02,AR,AppLovin,195.0
2021-09-03,AR,AppLovin,213.0
2021-09-04,AR,AppLovin,321.0
2021-09-05,AR,AppLovin,350.0
2021-09-06,AR,AppLovin,255.0
2021-09-07,AR,AppLovin,161.0
2021-09-08,AR,AppLovin,289.0
2021-09-09,AR,AppLovin,174.0
2021-09-10,AR,AppLovin,175.0
2021-09-11,AR,AppLovin,308.0
2021-09-12,AR,AppLovin,256.0
2021-09-13,AR,AppLovin,257.0
2021-09-14,AR,AppLovin,229.0
2021-09-15,AR,AppLovin,300.0
2021-09-16,AR,AppLovin,192.0
2021-09-17,AR,AppLovin,305.0
2021-09-18,AR,AppLovin,235.0
2021-09-19,AR,AppLovin,673.0
2021-09-20,AR,AppLovin,182.0
2021-09-21,AR,AppLovin,256.0
2021-09-22,AR,AppLovin,244.0
2021-09-23,AR,AppLovin,112.0
2021-09-24,AR,AppLovin,144.0
2021-09-25,AR,AppLovin,412.0
2021-09-26,AR,AppLovin,143.0
2021-09-27,AR,AppLovin,189.0
2021-09-28,AR,AppLovin,210.0
2021-09-29,AR,AppLovin,285.0
2021-09-30,AR,AppLovin,160.0
2021-10-01,AR,AppLovin,183.0
2021-10-02,AR,AppLovin,281.0
2021-10-03,AR,AppLovin,114.0
2021-10-04,AR,AppLovin,198.0
2021-10-05,AR,AppLovin,143.0
2021-10-06,AR,AppLovin,150.0
2021-10-07,AR,AppLovin,270.0
2021-10-08,AR,AppLovin,294.0
2021-10-09,AR,AppLovin,208.0
2021-10-10,AR,AppLovin,197.0
2021-10-11,AR,AppLovin,280.0
2021-10-12,AR,AppLovin,112.0
2021-10-13,AR,AppLovin,225.0
2021-10-14,AR,AppLovin,169.0
2021-10-15,AR,AppLovin,81.0
2021-10-16,AR,AppLovin,171.0
2021-10-17,AR,AppLovin,226.0
2021-10-18,AR,AppLovin,192.0
2021-10-19,AR,AppLovin,156.0
2021-10-20,AR,AppLovin,177.0
2021-10-21,AR,AppLovin,234.0
2021-10-22,AR,AppLovin,315.0
2021-10-23,AR,AppLovin,193.0
2021-10-24,AR,AppLovin,260.0
