date,country,networks,market_volume
2021-04-26,AR,Facebook,4672.0
2021-04-27,AR,Facebook,3056.0
2021-04-28,AR,Facebook,2892.0
2021-04-29,AR,Facebook,2785.0
2021-04-30,AR,Facebook,3953.0
2021-05-01,AR,Facebook,3199.0
2021-05-02,AR,Facebook,4438.0
2021-05-03,AR,Facebook,2966.0
2021-05-04,AR,Facebook,4421.0
2021-05-05,AR,Facebook,2323.0
2021-05-06,AR,Facebook,3265.0
2021-05-07,AR,Facebook,4135.0
2021-05-08,AR,Facebook,4994.0
2021-05-09,AR,Facebook,7794.0
2021-05-10,AR,Facebook,5536.0
2021-05-11,AR,Facebook,5278.0
2021-05-12,AR,Facebook,3585.0
2021-05-13,AR,Facebook,3528.0
2021-05-14,AR,Facebook,2749.0
2021-05-15,AR,Facebook,3554.0
2021-05-16,AR,Facebook,4546.0
2021-05-17,AR,Facebook,4415.0
2021-05-18,AR,Facebook,5323.0
2021-05-19,AR,Facebook,4379.0
2021-05-20,AR,Facebook,3204.0
2021-05-21,AR,Facebook,3635.0
2021-05-22,AR,Facebook,4178.0
2021-05-23,AR,Facebook,5916.0
2021-05-24,AR,Facebook,4903.0
2021-05-25,AR,Facebook,4274.0
2021-05-26,AR,Facebook,2799.0
2021-05-27,AR,Facebook,2540.0
2021-05-28,AR,Facebook,3624.0
2021-05-29,AR,Facebook,3739.0
2021-05-30,AR,Facebook,4404.0
2021-05-31,AR,Facebook,2562.0
2021-06-01,AR,Facebook,2743.0
2021-06-02,AR,Facebook,2723.0
2021-06-03,AR,Facebook,3361.0
2021-06-04,AR,Facebook,3196.0
2021-06-05,AR,Facebook,3186.0
2021-06-06,AR,Facebook,4338.0
2021-06-07,AR,Facebook,4525.0
2021-06-08,AR,Facebook,2424.0
2021-06-09,AR,Facebook,1921.0
2021-06-10,AR,Facebook,2298.0
2021-06-11,AR,Facebook,2987.0
2021-06-12,AR,Facebook,3577.0
2021-06-13,AR,Facebook,3396.0
2021-06-14,AR,Facebook,2456.0
2021-06-15,AR,Facebook,3357.0
2021-06-16,AR,Facebook,3260.0
2021-06-17,AR,Facebook,1991.0
2021-06-18,AR,Facebook,2385.0
2021-06-19,AR,Facebook,2727.0
2021-06-20,AR,Facebook,3210.0
2021-06-21,AR,Facebook,3333.0
2021-06-22,AR,Facebook,2737.0
2021-06-23,AR,Facebook,2629.0
2021-06-24,AR,Facebook,1935.0
2021-06-25,AR,Facebook,2285.0
2021-06-26,AR,Facebook,4442.0
2021-06-27,AR,Facebook,6146.0
2021-06-28,AR,Facebook,3207.0
2021-06-29,AR,Facebook,2524.0
2021-06-30,AR,Facebook,2970.0
2021-07-01,AR,Facebook,2806.0
2021-07-02,AR,Facebook,3049.0
2021-07-03,AR,Facebook,2817.0
2021-07-04,AR,Facebook,2976.0
2021-07-05,AR,Facebook,1875.0
2021-07-06,AR,Facebook,2328.0
2021-07-07,AR,Facebook,2341.0
2021-07-08,AR,Facebook,2983.0
2021-07-09,AR,Facebook,3456.0
2021-07-10,AR,Facebook,3788.0
2021-07-11,AR,Facebook,4224.0
2021-07-12,AR,Facebook,3967.0
2021-07-13,AR,Facebook,2664.0
2021-07-14,AR,Facebook,3572.0
2021-07-15,AR,Facebook,3246.0
2021-07-16,AR,Facebook,4524.0
2021-07-17,AR,Facebook,4457.0
2021-07-18,AR,Facebook,4896.0
2021-07-19,AR,Facebook,3002.0
2021-07-20,AR,Facebook,5742.0
2021-07-21,AR,Facebook,3432.0
2021-07-22,AR,Facebook,2069.0
2021-07-23,AR,Facebook,3079.0
2021-07-24,AR,Facebook,2840.0
2021-07-25,AR,Facebook,4344.0
2021-07-26,AR,Facebook,4416.0
2021-07-27,AR,Facebook,3286.0
2021-07-28,AR,Facebook,2586.0
2021-07-29,AR,Facebook,3730.0
2021-07-30,AR,Facebook,4522.0
2021-07-31,AR,Facebook,2532.0
2021-08-01,AR,Facebook,5058.0
2021-08-02,AR,Facebook,3238.0
2021-08-03,AR,Facebook,3563.0
2021-08-04,AR,Facebook,1884.0
2021-08-05,AR,Facebook,1160.0
2021-08-06,AR,Facebook,3183.0
2021-08-07,AR,Facebook,2825.0
2021-08-08,AR,Facebook,4877.0
2021-08-09,AR,Facebook,2777.0
2021-08-10,AR,Facebook,1644.0
2021-08-11,AR,Facebook,1762.0
2021-08-12,AR,Facebook,1312.0
2021-08-13,AR,Facebook,2015.0
2021-08-14,AR,Facebook,1842.0
2021-08-15,AR,Facebook,6532.0
2021-08-16,AR,Facebook,802.0
2021-08-17,AR,Facebook,3930.0
2021-08-18,AR,Facebook,1166.0
2021-08-19,AR,Facebook,2875.0
2021-08-20,AR,Facebook,2649.0
2021-08-21,AR,Facebook,1607.0
2021-08-22,AR,Facebook,2792.0
2021-08-23,AR,Facebook,2267.0
2021-08-24,AR,Facebook,4919.0
2021-08-25,AR,Facebook,2429.0
2021-08-26,AR,Facebook,2396.0
2021-08-27,AR,Facebook,2054.0
2021-08-28,AR,Facebook,2317.0
2021-08-29,AR,Facebook,3023.0
2021-08-30,AR,Facebook,2617.0
2021-08-31,AR,Facebook,2857.0
2021-09-01,AR,Facebook,759.0
2021-09-02,AR,Facebook,3401.0
2021-09-03,AR,Facebook,1203.0
2021-09-04,AR,Facebook,2736.0
2021-09-05,AR,Facebook,548.0
2021-09-06,AR,Facebook,3028.0
2021-09-07,AR,Facebook,2348.0
2021-09-08,AR,Facebook,3158.0
2021-09-09,AR,Facebook,1464.0
2021-09-10,AR,Facebook,1636.0
2021-09-11,AR,Facebook,1811.0
2021-09-12,AR,Facebook,782.0
2021-09-13,AR,Facebook,1531.0
2021-09-14,AR,Facebook,1057.0
2021-09-15,AR,Facebook,1942.0
2021-09-16,AR,Facebook,882.0
2021-09-17,AR,Facebook,942.0
2021-09-18,AR,Facebook,2121.0
2021-09-19,AR,Facebook,11265.0
2021-09-20,AR,Facebook,2056.0
2021-09-21,AR,Facebook,2293.0
2021-09-22,AR,Facebook,939.0
2021-09-24,AR,Facebook,2680.0
2021-09-25,AR,Facebook,3707.0
2021-09-26,AR,Facebook,586.0
2021-09-27,AR,Facebook,1269.0
2021-09-28,AR,Facebook,1829.0
2021-09-29,AR,Facebook,328.0
2021-09-30,AR,Facebook,4152.0
2021-10-02,AR,Facebook,1558.0
2021-10-03,AR,Facebook,1536.0
2021-10-04,AR,Facebook,2352.0
2021-10-05,AR,Facebook,3885.0
2021-10-07,AR,Facebook,297.0
2021-10-09,AR,Facebook,775.0
2021-10-10,AR,Facebook,1741.0
2021-10-16,AR,Facebook,312.0
2021-10-17,AR,Facebook,898.0
2021-10-22,AR,Facebook,596.0
2021-10-26,AR,Facebook,361.0
2021-11-05,AR,Facebook,63.0
2021-11-06,AR,Facebook,148.0
2021-11-16,AR,Facebook,3611.0
2021-11-20,AR,Facebook,3317.0
2021-11-26,AR,Facebook,174.0
2021-12-12,AR,Facebook,9443.0
