date,country,network,market_volume
2021-05-03,BR,AdMob,1745725.0
2021-05-04,BR,AdMob,1890644.0
2021-05-05,BR,AdMob,1646219.0
2021-05-06,BR,AdMob,1489589.0
2021-05-07,BR,AdMob,1327990.0
2021-05-08,BR,AdMob,1647981.0
2021-05-09,BR,AdMob,1946537.0
2021-05-10,BR,AdMob,1535598.0
2021-05-11,BR,AdMob,1538044.0
2021-05-12,BR,AdMob,1731130.0
2021-05-13,BR,AdMob,1328173.0
2021-05-14,BR,AdMob,1465093.0
2021-05-15,BR,AdMob,1966021.0
2021-05-16,BR,AdMob,2474883.0
2021-05-17,BR,AdMob,1432048.0
2021-05-18,BR,AdMob,2002174.0
2021-05-19,BR,AdMob,1307908.0
2021-05-20,BR,AdMob,922343.0
2021-05-21,BR,AdMob,851961.0
2021-05-22,BR,AdMob,1255879.0
2021-05-23,BR,AdMob,1295257.0
2021-05-24,BR,AdMob,1013017.0
2021-05-25,BR,AdMob,911395.0
2021-05-26,BR,AdMob,741973.0
2021-05-27,BR,AdMob,932881.0
2021-05-28,BR,AdMob,964124.0
2021-05-29,BR,AdMob,1160711.0
2021-05-30,BR,AdMob,1059771.0
2021-05-31,BR,AdMob,885789.0
2021-06-01,BR,AdMob,942826.0
2021-06-02,BR,AdMob,831482.0
2021-06-03,BR,AdMob,1100285.0
2021-06-04,BR,AdMob,613108.0
2021-06-05,BR,AdMob,660821.0
2021-06-06,BR,AdMob,817370.0
2021-06-07,BR,AdMob,697343.0
2021-06-08,BR,AdMob,532377.0
2021-06-09,BR,AdMob,691021.0
2021-06-10,BR,AdMob,690439.0
2021-06-11,BR,AdMob,748165.0
2021-06-12,BR,AdMob,891650.0
2021-06-13,BR,AdMob,895341.0
2021-06-14,BR,AdMob,350941.0
2021-06-15,BR,AdMob,343702.0
2021-06-16,BR,AdMob,457849.0
2021-06-17,BR,AdMob,455336.0
2021-06-18,BR,AdMob,449800.0
2021-06-19,BR,AdMob,523801.0
2021-06-20,BR,AdMob,589796.0
2021-06-21,BR,AdMob,504006.0
2021-06-22,BR,AdMob,687149.0
2021-06-23,BR,AdMob,576176.0
2021-06-24,BR,AdMob,751715.0
2021-06-25,BR,AdMob,742833.0
2021-06-26,BR,AdMob,839023.0
2021-06-27,BR,AdMob,833891.0
2021-06-28,BR,AdMob,711007.0
2021-06-29,BR,AdMob,964000.0
2021-06-30,BR,AdMob,941779.0
2021-07-01,BR,AdMob,1101110.0
2021-07-02,BR,AdMob,822780.0
2021-07-03,BR,AdMob,805433.0
2021-07-04,BR,AdMob,668098.0
2021-07-05,BR,AdMob,521002.0
2021-07-06,BR,AdMob,500582.0
2021-07-07,BR,AdMob,478006.0
2021-07-08,BR,AdMob,666804.0
2021-07-09,BR,AdMob,717361.0
2021-07-10,BR,AdMob,832228.0
2021-07-11,BR,AdMob,991143.0
2021-07-12,BR,AdMob,788247.0
2021-07-13,BR,AdMob,845639.0
2021-07-14,BR,AdMob,818236.0
2021-07-15,BR,AdMob,735916.0
2021-07-16,BR,AdMob,579618.0
2021-07-17,BR,AdMob,616337.0
2021-07-18,BR,AdMob,1019471.0
2021-07-19,BR,AdMob,813491.0
2021-07-20,BR,AdMob,890433.0
2021-07-21,BR,AdMob,800429.0
2021-07-22,BR,AdMob,915564.0
2021-07-23,BR,AdMob,834828.0
2021-07-24,BR,AdMob,933499.0
2021-07-25,BR,AdMob,965484.0
2021-07-26,BR,AdMob,888544.0
2021-07-27,BR,AdMob,872152.0
2021-07-28,BR,AdMob,879108.0
2021-07-29,BR,AdMob,740947.0
2021-07-30,BR,AdMob,880348.0
2021-07-31,BR,AdMob,1159669.0
2021-08-01,BR,AdMob,1553102.0
2021-08-02,BR,AdMob,1183142.0
2021-08-03,BR,AdMob,1048815.0
2021-08-04,BR,AdMob,1247426.0
2021-08-05,BR,AdMob,1190764.0
2021-08-06,BR,AdMob,1540603.0
2021-08-07,BR,AdMob,1935684.0
2021-08-08,BR,AdMob,2344508.0
2021-08-09,BR,AdMob,1671228.0
2021-08-10,BR,AdMob,1298441.0
2021-08-11,BR,AdMob,1090378.0
2021-08-12,BR,AdMob,1181995.0
2021-08-13,BR,AdMob,1817550.0
2021-08-14,BR,AdMob,1357019.0
2021-08-15,BR,AdMob,1354510.0
