,date,country,market_volume
0,2021-05-03,BR,5315873.532358412
1,2021-05-04,BR,5611746.292605408
2,2021-05-05,BR,5108421.273113358
3,2021-05-06,BR,4486109.887172685
4,2021-05-07,BR,4716847.245896159
5,2021-05-08,BR,6278124.356068932
6,2021-05-09,BR,6987230.037426777
7,2021-05-10,BR,5409987.412709016
8,2021-05-11,BR,5207714.683307575
9,2021-05-12,BR,5453362.57119242
10,2021-05-13,BR,5320982.207038713
11,2021-05-14,BR,6020041.110849359
12,2021-05-15,BR,7561597.863798384
13,2021-05-16,BR,9231087.240677733
14,2021-05-17,BR,5720687.118476048
15,2021-05-18,BR,6808074.781723571
16,2021-05-19,BR,5189054.250536616
17,2021-05-20,BR,5061290.0939818565
18,2021-05-21,BR,5693492.144556639
19,2021-05-22,BR,6400931.4135822635
20,2021-05-23,BR,7600082.543779171
21,2021-05-24,BR,5540360.2472217055
22,2021-05-25,BR,5565982.150532013
23,2021-05-26,BR,5303940.864033314
24,2021-05-27,BR,5104852.978137164
25,2021-05-28,BR,6517352.978896919
26,2021-05-29,BR,7766035.072413749
27,2021-05-30,BR,8082837.795748228
28,2021-05-31,BR,6543279.206795078
29,2021-06-01,BR,6310246.69438294
30,2021-06-02,BR,5878909.690515517
31,2021-06-03,BR,6602396.309997135
32,2021-06-04,BR,5723268.119533059
33,2021-06-05,BR,6957074.748754679
34,2021-06-06,BR,7836010.566052483
35,2021-06-07,BR,5882135.612882614
36,2021-06-08,BR,5122857.832688006
37,2021-06-09,BR,5331921.179366172
38,2021-06-10,BR,6336055.48366294
39,2021-06-11,BR,6678065.732808532
40,2021-06-12,BR,7418446.031891085
41,2021-06-13,BR,6786246.887684604
42,2021-06-14,BR,4978277.687352649
43,2021-06-15,BR,4695158.570062887
44,2021-06-16,BR,4615653.299826557
45,2021-06-17,BR,4747853.355681378
46,2021-06-18,BR,4752597.611888695
47,2021-06-19,BR,6645618.090787246
48,2021-06-20,BR,7300682.377874623
49,2021-06-21,BR,5924722.122619739
50,2021-06-22,BR,5548204.271832486
51,2021-06-23,BR,4786917.14331695
52,2021-06-24,BR,4773366.457937382
53,2021-06-25,BR,6037203.413672934
54,2021-06-26,BR,6298558.625104062
55,2021-06-27,BR,8807184.589385837
56,2021-06-28,BR,5194023.502981588
57,2021-06-29,BR,5656018.554557156
58,2021-06-30,BR,4959418.390545449
59,2021-07-01,BR,5886097.692985682
60,2021-07-02,BR,5770667.1173532605
61,2021-07-03,BR,6497438.841221117
62,2021-07-04,BR,6368064.747975075
63,2021-07-05,BR,4873532.337787274
64,2021-07-06,BR,5254077.373373408
65,2021-07-07,BR,5714172.504431503
66,2021-07-08,BR,5957734.515420974
67,2021-07-09,BR,6068952.761623332
68,2021-07-10,BR,7055047.880396791
69,2021-07-11,BR,6931267.09267288
70,2021-07-12,BR,5626906.172267117
71,2021-07-13,BR,4860244.634059449
72,2021-07-14,BR,4683751.998103733
73,2021-07-15,BR,4864052.86416437
74,2021-07-16,BR,5053790.361141342
75,2021-07-17,BR,5592253.389659797
76,2021-07-18,BR,6716215.1062644
77,2021-07-19,BR,5230938.219073316
78,2021-07-20,BR,5001528.117414316
79,2021-07-21,BR,4833565.37014714
80,2021-07-22,BR,4887520.343990752
81,2021-07-23,BR,5704468.771734178
82,2021-07-24,BR,6493341.119866052
83,2021-07-25,BR,6758332.68030183
84,2021-07-26,BR,5373112.792366042
85,2021-07-27,BR,5768237.779295936
86,2021-07-28,BR,5372548.355981535
87,2021-07-29,BR,5012136.048465959
88,2021-07-30,BR,5297158.686029287
89,2021-07-31,BR,5959750.891784564
90,2021-08-01,BR,6445422.328056332
91,2021-08-02,BR,4835622.373276273
92,2021-08-03,BR,4954016.541391669
93,2021-08-04,BR,5195594.409104529
94,2021-08-05,BR,5244687.976554736
95,2021-08-06,BR,5674412.22124476
96,2021-08-07,BR,6486954.609365051
97,2021-08-08,BR,8053308.560981706
98,2021-08-09,BR,5964899.933528197
99,2021-08-10,BR,5629006.763173659
100,2021-08-11,BR,4988839.117794404
101,2021-08-12,BR,5077079.678503914
102,2021-08-13,BR,6322057.338478479
103,2021-08-14,BR,6658468.588385221
104,2021-08-15,BR,7395434.323175082
