date,country,network,market_volume
2021-05-03,BR,AppLovin,39269.0
2021-05-04,BR,AppLovin,37507.0
2021-05-05,BR,AppLovin,58861.0
2021-05-06,BR,AppLovin,120552.0
2021-05-07,BR,AppLovin,58348.0
2021-05-08,BR,AppLovin,111790.0
2021-05-09,BR,AppLovin,84543.0
2021-05-10,BR,AppLovin,84241.0
2021-05-11,BR,AppLovin,86048.0
2021-05-12,BR,AppLovin,104576.0
2021-05-13,BR,AppLovin,118965.0
2021-05-14,BR,AppLovin,120904.0
2021-05-15,BR,AppLovin,147388.0
2021-05-16,BR,AppLovin,127576.0
2021-05-17,BR,AppLovin,84845.0
2021-05-18,BR,AppLovin,89990.0
2021-05-19,BR,AppLovin,88001.0
2021-05-20,BR,AppLovin,72672.0
2021-05-21,BR,AppLovin,67947.0
2021-05-22,BR,AppLovin,60811.0
2021-05-23,BR,AppLovin,78306.0
2021-05-24,BR,AppLovin,64716.0
2021-05-25,BR,AppLovin,56626.0
2021-05-26,BR,AppLovin,54909.0
2021-05-27,BR,AppLovin,56637.0
2021-05-28,BR,AppLovin,62190.0
2021-05-29,BR,AppLovin,73379.0
2021-05-30,BR,AppLovin,79934.0
2021-05-31,BR,AppLovin,54398.0
2021-06-01,BR,AppLovin,62054.0
2021-06-02,BR,AppLovin,52751.0
2021-06-03,BR,AppLovin,60877.0
2021-06-04,BR,AppLovin,52568.0
2021-06-05,BR,AppLovin,61858.0
2021-06-06,BR,AppLovin,70049.0
2021-06-07,BR,AppLovin,50826.0
2021-06-08,BR,AppLovin,47626.0
2021-06-09,BR,AppLovin,39814.0
2021-06-10,BR,AppLovin,42898.0
2021-06-11,BR,AppLovin,51587.0
2021-06-12,BR,AppLovin,66095.0
2021-06-13,BR,AppLovin,73597.0
2021-06-14,BR,AppLovin,61539.0
2021-06-15,BR,AppLovin,55722.0
2021-06-16,BR,AppLovin,54709.0
2021-06-17,BR,AppLovin,53333.0
2021-06-18,BR,AppLovin,46735.0
2021-06-19,BR,AppLovin,51418.0
2021-06-20,BR,AppLovin,57918.0
2021-06-21,BR,AppLovin,57885.0
2021-06-22,BR,AppLovin,53803.0
2021-06-23,BR,AppLovin,50764.0
2021-06-24,BR,AppLovin,52058.0
2021-06-25,BR,AppLovin,45850.0
2021-06-26,BR,AppLovin,51378.0
2021-06-27,BR,AppLovin,62182.0
2021-06-28,BR,AppLovin,46532.0
2021-06-29,BR,AppLovin,48874.0
2021-06-30,BR,AppLovin,40487.0
2021-07-01,BR,AppLovin,51556.0
2021-07-02,BR,AppLovin,51374.0
2021-07-03,BR,AppLovin,66633.0
2021-07-04,BR,AppLovin,73894.0
2021-07-05,BR,AppLovin,61193.0
2021-07-06,BR,AppLovin,61937.0
2021-07-07,BR,AppLovin,62688.0
2021-07-08,BR,AppLovin,62676.0
2021-07-09,BR,AppLovin,68266.0
2021-07-10,BR,AppLovin,75477.0
2021-07-11,BR,AppLovin,94555.0
2021-07-12,BR,AppLovin,63105.0
2021-07-13,BR,AppLovin,56683.0
2021-07-14,BR,AppLovin,54162.0
2021-07-15,BR,AppLovin,54475.0
2021-07-16,BR,AppLovin,57483.0
2021-07-17,BR,AppLovin,60647.0
2021-07-18,BR,AppLovin,69342.0
2021-07-19,BR,AppLovin,59046.0
2021-07-20,BR,AppLovin,57676.0
2021-07-21,BR,AppLovin,60344.0
2021-07-22,BR,AppLovin,60179.0
2021-07-23,BR,AppLovin,57701.0
2021-07-24,BR,AppLovin,61678.0
2021-07-25,BR,AppLovin,68875.0
2021-07-26,BR,AppLovin,53526.0
2021-07-27,BR,AppLovin,50964.0
2021-07-28,BR,AppLovin,59922.0
2021-07-29,BR,AppLovin,54941.0
2021-07-30,BR,AppLovin,54052.0
2021-07-31,BR,AppLovin,69019.0
2021-08-01,BR,AppLovin,76123.0
2021-08-02,BR,AppLovin,58236.0
2021-08-03,BR,AppLovin,51462.0
2021-08-04,BR,AppLovin,48165.0
2021-08-05,BR,AppLovin,44578.0
2021-08-06,BR,AppLovin,52432.0
2021-08-07,BR,AppLovin,57275.0
2021-08-08,BR,AppLovin,69938.0
2021-08-09,BR,AppLovin,55066.0
2021-08-10,BR,AppLovin,58528.0
2021-08-11,BR,AppLovin,54976.0
2021-08-12,BR,AppLovin,53757.0
2021-08-13,BR,AppLovin,57801.0
2021-08-14,BR,AppLovin,61790.0
2021-08-15,BR,AppLovin,56602.0
