date,country,network,market_volume
2021-04-21,BR,Chartboost,4820.0
2021-04-22,BR,Chartboost,8989.0
2021-04-23,BR,Chartboost,4568.0
2021-04-24,BR,Chartboost,12803.0
2021-04-25,BR,Chartboost,6111.0
2021-04-26,BR,Chartboost,3967.0
2021-04-27,BR,Chartboost,3468.0
2021-04-28,BR,Chartboost,4030.0
2021-04-29,BR,Chartboost,4328.0
2021-04-30,BR,Chartboost,5583.0
2021-05-01,BR,Chartboost,5532.0
2021-05-02,BR,Chartboost,5428.0
2021-05-03,BR,Chartboost,4093.0
2021-05-04,BR,Chartboost,4507.0
2021-05-05,BR,Chartboost,5762.0
2021-05-06,BR,Chartboost,3427.0
2021-05-07,BR,Chartboost,5731.0
2021-05-08,BR,Chartboost,5804.0
2021-05-09,BR,Chartboost,5394.0
2021-05-10,BR,Chartboost,4897.0
2021-05-11,BR,Chartboost,6425.0
2021-05-12,BR,Chartboost,5046.0
2021-05-13,BR,Chartboost,9562.0
2021-05-14,BR,Chartboost,3534.0
2021-05-15,BR,Chartboost,10437.0
2021-05-16,BR,Chartboost,11473.0
2021-05-17,BR,Chartboost,4426.0
2021-05-18,BR,Chartboost,13070.0
2021-05-19,BR,Chartboost,4918.0
2021-05-20,BR,Chartboost,3791.0
2021-05-21,BR,Chartboost,10753.0
2021-05-22,BR,Chartboost,11126.0
2021-05-23,BR,Chartboost,11429.0
2021-05-24,BR,Chartboost,3602.0
2021-05-25,BR,Chartboost,8085.0
2021-05-26,BR,Chartboost,8555.0
2021-05-27,BR,Chartboost,2917.0
2021-05-28,BR,Chartboost,7644.0
2021-05-29,BR,Chartboost,8250.0
2021-05-30,BR,Chartboost,3568.0
2021-05-31,BR,Chartboost,5168.0
2021-06-01,BR,Chartboost,4224.0
2021-06-02,BR,Chartboost,5386.0
2021-06-03,BR,Chartboost,6447.0
2021-06-04,BR,Chartboost,2610.0
2021-06-05,BR,Chartboost,6741.0
2021-06-06,BR,Chartboost,2517.0
2021-06-07,BR,Chartboost,2575.0
2021-06-08,BR,Chartboost,2209.0
2021-06-09,BR,Chartboost,5387.0
2021-06-10,BR,Chartboost,4990.0
2021-06-11,BR,Chartboost,6616.0
2021-06-12,BR,Chartboost,8873.0
2021-06-13,BR,Chartboost,7709.0
2021-06-14,BR,Chartboost,8508.0
2021-06-15,BR,Chartboost,8088.0
2021-06-16,BR,Chartboost,6891.0
2021-06-17,BR,Chartboost,8466.0
2021-06-18,BR,Chartboost,7838.0
2021-06-19,BR,Chartboost,7218.0
2021-06-20,BR,Chartboost,5387.0
2021-06-21,BR,Chartboost,9778.0
2021-06-22,BR,Chartboost,9383.0
2021-06-23,BR,Chartboost,9786.0
2021-06-24,BR,Chartboost,9315.0
2021-06-25,BR,Chartboost,15236.0
2021-06-26,BR,Chartboost,17917.0
2021-06-27,BR,Chartboost,16613.0
2021-06-28,BR,Chartboost,14220.0
2021-06-29,BR,Chartboost,17315.0
2021-06-30,BR,Chartboost,14912.0
2021-07-01,BR,Chartboost,10613.0
2021-07-02,BR,Chartboost,9543.0
2021-07-03,BR,Chartboost,10866.0
2021-07-04,BR,Chartboost,11637.0
2021-07-05,BR,Chartboost,8810.0
2021-07-06,BR,Chartboost,10619.0
2021-07-07,BR,Chartboost,9534.0
2021-07-08,BR,Chartboost,9096.0
2021-07-09,BR,Chartboost,12188.0
2021-07-10,BR,Chartboost,14540.0
2021-07-11,BR,Chartboost,14250.0
2021-07-12,BR,Chartboost,12123.0
2021-07-13,BR,Chartboost,6251.0
2021-07-14,BR,Chartboost,6110.0
2021-07-15,BR,Chartboost,15745.0
2021-07-16,BR,Chartboost,17384.0
2021-07-17,BR,Chartboost,16901.0
2021-07-18,BR,Chartboost,17426.0
2021-07-19,BR,Chartboost,5395.0
2021-07-20,BR,Chartboost,14860.0
2021-07-21,BR,Chartboost,8301.0
2021-07-22,BR,Chartboost,6980.0
2021-07-23,BR,Chartboost,5918.0
2021-07-24,BR,Chartboost,6614.0
2021-07-25,BR,Chartboost,7348.0
2021-07-26,BR,Chartboost,8772.0
2021-07-27,BR,Chartboost,37412.0
2021-07-28,BR,Chartboost,5642.0
2021-07-29,BR,Chartboost,5925.0
2021-07-30,BR,Chartboost,10355.0
2021-07-31,BR,Chartboost,8000.0
2021-08-01,BR,Chartboost,7554.0
2021-08-02,BR,Chartboost,7486.0
2021-08-03,BR,Chartboost,8536.0
2021-08-04,BR,Chartboost,9362.0
2021-08-05,BR,Chartboost,20306.0
2021-08-06,BR,Chartboost,18323.0
2021-08-07,BR,Chartboost,17860.0
2021-08-08,BR,Chartboost,16976.0
2021-08-09,BR,Chartboost,16312.0
2021-08-10,BR,Chartboost,15221.0
2021-08-11,BR,Chartboost,14878.0
2021-08-12,BR,Chartboost,15696.0
2021-08-13,BR,Chartboost,12169.0
2021-08-14,BR,Chartboost,12648.0
2021-08-15,BR,Chartboost,11146.0
