date,country,network,market_volume
2021-05-03,BR,Facebook,881264.0
2021-05-04,BR,Facebook,971733.0
2021-05-05,BR,Facebook,881477.0
2021-05-06,BR,Facebook,796905.0
2021-05-07,BR,Facebook,859733.0
2021-05-08,BR,Facebook,1106075.0
2021-05-09,BR,Facebook,1239800.0
2021-05-10,BR,Facebook,914899.0
2021-05-11,BR,Facebook,883141.0
2021-05-12,BR,Facebook,864909.0
2021-05-13,BR,Facebook,895594.0
2021-05-14,BR,Facebook,1218594.0
2021-05-15,BR,Facebook,1176181.0
2021-05-16,BR,Facebook,1521022.0
2021-05-17,BR,Facebook,1146504.0
2021-05-18,BR,Facebook,1099011.0
2021-05-19,BR,Facebook,400900.0
2021-05-20,BR,Facebook,386356.0
2021-05-21,BR,Facebook,427189.0
2021-05-22,BR,Facebook,485858.0
2021-05-23,BR,Facebook,596440.0
2021-05-24,BR,Facebook,472243.0
2021-05-25,BR,Facebook,427403.0
2021-05-26,BR,Facebook,409977.0
2021-05-27,BR,Facebook,514965.0
2021-05-28,BR,Facebook,530019.0
2021-05-29,BR,Facebook,658326.0
2021-05-30,BR,Facebook,588565.0
2021-05-31,BR,Facebook,434704.0
2021-06-01,BR,Facebook,417109.0
2021-06-02,BR,Facebook,394968.0
2021-06-03,BR,Facebook,435869.0
2021-06-04,BR,Facebook,462015.0
2021-06-05,BR,Facebook,484010.0
2021-06-06,BR,Facebook,571579.0
2021-06-07,BR,Facebook,465247.0
2021-06-08,BR,Facebook,414437.0
2021-06-09,BR,Facebook,391799.0
2021-06-10,BR,Facebook,1159463.0
2021-06-11,BR,Facebook,1218542.0
2021-06-12,BR,Facebook,1477618.0
2021-06-13,BR,Facebook,708534.0
2021-06-14,BR,Facebook,590183.0
2021-06-15,BR,Facebook,449611.0
2021-06-16,BR,Facebook,538862.0
2021-06-17,BR,Facebook,534384.0
2021-06-18,BR,Facebook,525763.0
2021-06-19,BR,Facebook,1480282.0
2021-06-20,BR,Facebook,1589451.0
2021-06-21,BR,Facebook,1340418.0
2021-06-22,BR,Facebook,1266896.0
2021-06-23,BR,Facebook,506341.0
2021-06-24,BR,Facebook,485469.0
2021-06-25,BR,Facebook,1218402.0
2021-06-26,BR,Facebook,1551359.0
2021-06-27,BR,Facebook,1652228.0
2021-06-28,BR,Facebook,1278172.0
2021-06-29,BR,Facebook,1243209.0
2021-06-30,BR,Facebook,1008104.0
2021-07-01,BR,Facebook,1322644.0
2021-07-02,BR,Facebook,1312418.0
2021-07-03,BR,Facebook,1435399.0
2021-07-04,BR,Facebook,694967.0
2021-07-05,BR,Facebook,457363.0
2021-07-06,BR,Facebook,577783.0
2021-07-07,BR,Facebook,1226480.0
2021-07-08,BR,Facebook,1309723.0
2021-07-09,BR,Facebook,1332939.0
2021-07-10,BR,Facebook,1569249.0
2021-07-11,BR,Facebook,614972.0
2021-07-12,BR,Facebook,500730.0
2021-07-13,BR,Facebook,441568.0
2021-07-14,BR,Facebook,534591.0
2021-07-15,BR,Facebook,520862.0
2021-07-16,BR,Facebook,540972.0
2021-07-17,BR,Facebook,592007.0
2021-07-18,BR,Facebook,721177.0
2021-07-19,BR,Facebook,526913.0
2021-07-20,BR,Facebook,450270.0
2021-07-21,BR,Facebook,560804.0
2021-07-22,BR,Facebook,551730.0
2021-07-23,BR,Facebook,974703.0
2021-07-24,BR,Facebook,1131439.0
2021-07-25,BR,Facebook,936892.0
2021-07-26,BR,Facebook,618340.0
2021-07-27,BR,Facebook,670997.0
2021-07-28,BR,Facebook,738445.0
2021-07-29,BR,Facebook,868475.0
2021-07-30,BR,Facebook,1103233.0
2021-07-31,BR,Facebook,948622.0
2021-08-01,BR,Facebook,686740.0
2021-08-02,BR,Facebook,514076.0
2021-08-03,BR,Facebook,436543.0
2021-08-04,BR,Facebook,444165.0
2021-08-05,BR,Facebook,617414.0
2021-08-06,BR,Facebook,695805.0
2021-08-07,BR,Facebook,762512.0
2021-08-08,BR,Facebook,890290.0
2021-08-09,BR,Facebook,698508.0
2021-08-10,BR,Facebook,675483.0
2021-08-11,BR,Facebook,619343.0
2021-08-12,BR,Facebook,615519.0
2021-08-13,BR,Facebook,690346.0
2021-08-14,BR,Facebook,832628.0
2021-08-15,BR,Facebook,856173.0
