date,country,network,market_volume
2021-04-21,BR,IronSource,15765.0
2021-04-22,BR,IronSource,10876.0
2021-04-23,BR,IronSource,10036.0
2021-04-24,BR,IronSource,10579.0
2021-04-25,BR,IronSource,11488.0
2021-04-26,BR,IronSource,15409.0
2021-04-27,BR,IronSource,11263.0
2021-04-28,BR,IronSource,12238.0
2021-04-29,BR,IronSource,9047.0
2021-04-30,BR,IronSource,9422.0
2021-05-01,BR,IronSource,11919.0
2021-05-02,BR,IronSource,12657.0
2021-05-03,BR,IronSource,10439.0
2021-05-04,BR,IronSource,8717.0
2021-05-05,BR,IronSource,6875.0
2021-05-06,BR,IronSource,6970.0
2021-05-07,BR,IronSource,6046.0
2021-05-08,BR,IronSource,8801.0
2021-05-09,BR,IronSource,10232.0
2021-05-10,BR,IronSource,8156.0
2021-05-11,BR,IronSource,6941.0
2021-05-12,BR,IronSource,6878.0
2021-05-13,BR,IronSource,8448.0
2021-05-14,BR,IronSource,6475.0
2021-05-15,BR,IronSource,6866.0
2021-05-16,BR,IronSource,7555.0
2021-05-17,BR,IronSource,6447.0
2021-05-18,BR,IronSource,6388.0
2021-05-19,BR,IronSource,6181.0
2021-05-20,BR,IronSource,5643.0
2021-05-21,BR,IronSource,10266.0
2021-05-22,BR,IronSource,16276.0
2021-05-23,BR,IronSource,10494.0
2021-05-24,BR,IronSource,7148.0
2021-05-25,BR,IronSource,4813.0
2021-05-26,BR,IronSource,4526.0
2021-05-27,BR,IronSource,6115.0
2021-05-28,BR,IronSource,5925.0
2021-05-29,BR,IronSource,6273.0
2021-05-30,BR,IronSource,8925.0
2021-05-31,BR,IronSource,6273.0
2021-06-01,BR,IronSource,6226.0
2021-06-02,BR,IronSource,5664.0
2021-06-03,BR,IronSource,5628.0
2021-06-04,BR,IronSource,6418.0
2021-06-05,BR,IronSource,6693.0
2021-06-06,BR,IronSource,8235.0
2021-06-07,BR,IronSource,8430.0
2021-06-08,BR,IronSource,7382.0
2021-06-09,BR,IronSource,7023.0
2021-06-10,BR,IronSource,11969.0
2021-06-11,BR,IronSource,13762.0
2021-06-12,BR,IronSource,9132.0
2021-06-13,BR,IronSource,9701.0
2021-06-14,BR,IronSource,6753.0
2021-06-15,BR,IronSource,8711.0
2021-06-16,BR,IronSource,8340.0
2021-06-17,BR,IronSource,8518.0
2021-06-18,BR,IronSource,5538.0
2021-06-19,BR,IronSource,7491.0
2021-06-20,BR,IronSource,6837.0
2021-06-21,BR,IronSource,6286.0
2021-06-22,BR,IronSource,5388.0
2021-06-23,BR,IronSource,4649.0
2021-06-24,BR,IronSource,4818.0
2021-06-25,BR,IronSource,4905.0
2021-06-26,BR,IronSource,7841.0
2021-06-27,BR,IronSource,11718.0
2021-06-28,BR,IronSource,11655.0
2021-06-29,BR,IronSource,13884.0
2021-06-30,BR,IronSource,7010.0
2021-07-01,BR,IronSource,8271.0
2021-07-02,BR,IronSource,7057.0
