date,country,network,market_volume
2021-04-21,BR,Unity,90780.0
2021-04-22,BR,Unity,65263.0
2021-04-23,BR,Unity,82474.0
2021-04-24,BR,Unity,85223.0
2021-04-25,BR,Unity,93417.0
2021-04-26,BR,Unity,85745.0
2021-04-27,BR,Unity,87890.0
2021-04-28,BR,Unity,93607.0
2021-04-29,BR,Unity,73918.0
2021-04-30,BR,Unity,86346.0
2021-05-01,BR,Unity,111085.0
2021-05-02,BR,Unity,122414.0
2021-05-03,BR,Unity,95740.0
2021-05-04,BR,Unity,109299.0
2021-05-05,BR,Unity,111896.0
2021-05-06,BR,Unity,83295.0
2021-05-07,BR,Unity,86372.0
2021-05-08,BR,Unity,85560.0
2021-05-09,BR,Unity,111961.0
2021-05-10,BR,Unity,73733.0
2021-05-11,BR,Unity,78982.0
2021-05-12,BR,Unity,71099.0
2021-05-13,BR,Unity,75900.0
2021-05-14,BR,Unity,65051.0
2021-05-15,BR,Unity,74338.0
2021-05-16,BR,Unity,73572.0
2021-05-17,BR,Unity,71494.0
2021-05-18,BR,Unity,65700.0
2021-05-19,BR,Unity,54135.0
2021-05-20,BR,Unity,47222.0
2021-05-21,BR,Unity,46578.0
2021-05-22,BR,Unity,48980.0
2021-05-23,BR,Unity,65267.0
2021-05-24,BR,Unity,55897.0
2021-05-25,BR,Unity,59451.0
2021-05-26,BR,Unity,48660.0
2021-05-27,BR,Unity,46883.0
2021-05-28,BR,Unity,86429.0
2021-05-29,BR,Unity,107623.0
2021-05-30,BR,Unity,109380.0
2021-05-31,BR,Unity,124246.0
2021-06-01,BR,Unity,56943.0
2021-06-02,BR,Unity,43050.0
2021-06-03,BR,Unity,64939.0
2021-06-04,BR,Unity,61793.0
2021-06-05,BR,Unity,61090.0
2021-06-06,BR,Unity,62536.0
2021-06-07,BR,Unity,53603.0
2021-06-08,BR,Unity,41374.0
2021-06-09,BR,Unity,66644.0
2021-06-10,BR,Unity,49274.0
2021-06-11,BR,Unity,43615.0
2021-06-12,BR,Unity,60609.0
2021-06-13,BR,Unity,74332.0
2021-06-14,BR,Unity,81776.0
2021-06-15,BR,Unity,81027.0
2021-06-16,BR,Unity,73607.0
2021-06-17,BR,Unity,61317.0
2021-06-18,BR,Unity,65193.0
2021-06-19,BR,Unity,64107.0
2021-06-20,BR,Unity,75487.0
2021-06-21,BR,Unity,64829.0
2021-06-22,BR,Unity,59852.0
2021-06-23,BR,Unity,58344.0
2021-06-24,BR,Unity,56779.0
2021-06-25,BR,Unity,65944.0
2021-06-26,BR,Unity,81853.0
2021-06-27,BR,Unity,95228.0
2021-06-28,BR,Unity,84131.0
2021-06-29,BR,Unity,76632.0
2021-06-30,BR,Unity,63158.0
2021-07-01,BR,Unity,52242.0
2021-07-02,BR,Unity,45861.0
