date,country,network,market_volume
2021-05-03,BR,other,350172.0
2021-05-04,BR,other,351602.0
2021-05-05,BR,other,294961.0
2021-05-06,BR,other,305701.0
2021-05-07,BR,other,307855.0
2021-05-08,BR,other,440557.0
2021-05-09,BR,other,464685.0
2021-05-10,BR,other,339076.0
2021-05-11,BR,other,372842.0
2021-05-12,BR,other,363243.0
2021-05-13,BR,other,357612.0
2021-05-14,BR,other,457277.0
2021-05-15,BR,other,446174.0
2021-05-16,BR,other,597411.0
2021-05-17,BR,other,400547.0
2021-05-18,BR,other,424881.0
2021-05-19,BR,other,402455.0
2021-05-20,BR,other,457560.0
2021-05-21,BR,other,505229.0
2021-05-22,BR,other,572857.0
2021-05-23,BR,other,737137.0
2021-05-24,BR,other,534411.0
2021-05-25,BR,other,428363.0
2021-05-26,BR,other,428236.0
2021-05-27,BR,other,506251.0
2021-05-28,BR,other,535379.0
2021-05-29,BR,other,654814.0
2021-05-30,BR,other,850121.0
2021-05-31,BR,other,496672.0
2021-06-01,BR,other,410033.0
2021-06-02,BR,other,427809.0
2021-06-03,BR,other,565705.0
2021-06-04,BR,other,444218.0
2021-06-05,BR,other,567404.0
2021-06-06,BR,other,735608.0
2021-06-07,BR,other,479894.0
2021-06-08,BR,other,450749.0
2021-06-09,BR,other,416740.0
2021-06-10,BR,other,440318.0
2021-06-11,BR,other,738494.0
2021-06-12,BR,other,498239.0
2021-06-13,BR,other,628746.0
2021-06-14,BR,other,460974.0
2021-06-15,BR,other,470035.0
2021-06-16,BR,other,470377.0
2021-06-17,BR,other,460220.0
2021-06-18,BR,other,526999.0
2021-06-19,BR,other,605236.0
2021-06-20,BR,other,590890.0
2021-06-21,BR,other,641494.0
2021-06-22,BR,other,546493.0
2021-06-23,BR,other,444794.0
2021-06-24,BR,other,494508.0
2021-06-25,BR,other,516203.0
2021-06-26,BR,other,635146.0
2021-06-27,BR,other,601159.0
2021-06-28,BR,other,526313.0
2021-06-29,BR,other,522227.0
2021-06-30,BR,other,458838.0
2021-07-01,BR,other,465785.0
2021-07-02,BR,other,541075.0
2021-07-03,BR,other,623533.0
2021-07-04,BR,other,729066.0
2021-07-05,BR,other,653664.0
2021-07-06,BR,other,668814.0
2021-07-07,BR,other,787886.0
2021-07-08,BR,other,686004.0
2021-07-09,BR,other,597117.0
2021-07-10,BR,other,709155.0
2021-07-11,BR,other,751552.0
2021-07-12,BR,other,590831.0
2021-07-13,BR,other,388136.0
2021-07-14,BR,other,350704.0
2021-07-15,BR,other,210855.0
2021-07-16,BR,other,386355.0
2021-07-17,BR,other,398391.0
2021-07-18,BR,other,479312.0
2021-07-19,BR,other,407281.0
2021-07-20,BR,other,407190.0
2021-07-21,BR,other,448989.0
2021-07-22,BR,other,429903.0
2021-07-23,BR,other,462463.0
2021-07-24,BR,other,697331.0
2021-07-25,BR,other,744957.0
2021-07-26,BR,other,639059.0
2021-07-27,BR,other,635434.0
2021-07-28,BR,other,661342.0
2021-07-29,BR,other,680231.0
2021-07-30,BR,other,661585.0
2021-07-31,BR,other,684300.0
2021-08-01,BR,other,416463.0
2021-08-02,BR,other,199691.0
2021-08-03,BR,other,473450.0
2021-08-04,BR,other,554341.0
2021-08-05,BR,other,539218.0
2021-08-06,BR,other,612539.0
2021-08-07,BR,other,582306.0
2021-08-08,BR,other,624226.0
2021-08-09,BR,other,491650.0
2021-08-10,BR,other,510255.0
2021-08-11,BR,other,401458.0
2021-08-12,BR,other,400942.0
2021-08-13,BR,other,512347.0
2021-08-14,BR,other,590716.0
2021-08-15,BR,other,651250.0
