date,country,network,market_volume
2021-05-03,BR,AdMob,271205.0
2021-05-04,BR,AdMob,320701.0
2021-05-05,BR,AdMob,287437.0
2021-05-06,BR,AdMob,221029.0
2021-05-07,BR,AdMob,240142.0
2021-05-08,BR,AdMob,294271.0
2021-05-09,BR,AdMob,327671.0
2021-05-10,BR,AdMob,249435.0
2021-05-11,BR,AdMob,227804.0
2021-05-12,BR,AdMob,264622.0
2021-05-13,BR,AdMob,238764.0
2021-05-14,BR,AdMob,265976.0
2021-05-15,BR,AdMob,323125.0
2021-05-16,BR,AdMob,347580.0
2021-05-17,BR,AdMob,257628.0
2021-05-18,BR,AdMob,229061.0
2021-05-19,BR,AdMob,157527.0
2021-05-20,BR,AdMob,161429.0
2021-05-21,BR,AdMob,167630.0
2021-05-22,BR,AdMob,184765.0
2021-05-23,BR,AdMob,238589.0
2021-05-24,BR,AdMob,128301.0
2021-05-25,BR,AdMob,154998.0
2021-05-26,BR,AdMob,102282.0
2021-05-27,BR,AdMob,150141.0
2021-05-28,BR,AdMob,151628.0
2021-05-29,BR,AdMob,172932.0
2021-05-30,BR,AdMob,130155.0
2021-05-31,BR,AdMob,167797.0
2021-06-01,BR,AdMob,135805.0
2021-06-02,BR,AdMob,150894.0
2021-06-03,BR,AdMob,204992.0
2021-06-04,BR,AdMob,80945.0
2021-06-05,BR,AdMob,93642.0
2021-06-06,BR,AdMob,112033.0
2021-06-07,BR,AdMob,90319.0
2021-06-08,BR,AdMob,100299.0
2021-06-09,BR,AdMob,133268.0
2021-06-10,BR,AdMob,123937.0
2021-06-11,BR,AdMob,137988.0
2021-06-12,BR,AdMob,158931.0
2021-06-13,BR,AdMob,181970.0
2021-06-14,BR,AdMob,94952.0
2021-06-15,BR,AdMob,93416.0
2021-06-16,BR,AdMob,135831.0
2021-06-17,BR,AdMob,142452.0
2021-06-18,BR,AdMob,130623.0
2021-06-19,BR,AdMob,158808.0
2021-06-20,BR,AdMob,174516.0
2021-06-21,BR,AdMob,141164.0
2021-06-22,BR,AdMob,136353.0
2021-06-23,BR,AdMob,140715.0
2021-06-24,BR,AdMob,150245.0
2021-06-25,BR,AdMob,170371.0
2021-06-26,BR,AdMob,301687.0
2021-06-27,BR,AdMob,342926.0
2021-06-28,BR,AdMob,275138.0
2021-06-29,BR,AdMob,415708.0
2021-06-30,BR,AdMob,401514.0
2021-07-01,BR,AdMob,365621.0
2021-07-02,BR,AdMob,233160.0
2021-07-03,BR,AdMob,208838.0
2021-07-04,BR,AdMob,235969.0
2021-07-05,BR,AdMob,171393.0
2021-07-06,BR,AdMob,173162.0
2021-07-07,BR,AdMob,156574.0
2021-07-08,BR,AdMob,145109.0
2021-07-09,BR,AdMob,137519.0
2021-07-10,BR,AdMob,160231.0
2021-07-11,BR,AdMob,196974.0
2021-07-12,BR,AdMob,153673.0
2021-07-13,BR,AdMob,163962.0
2021-07-14,BR,AdMob,161307.0
2021-07-15,BR,AdMob,145320.0
2021-07-16,BR,AdMob,152299.0
2021-07-17,BR,AdMob,172940.0
2021-07-18,BR,AdMob,192131.0
2021-07-19,BR,AdMob,167540.0
2021-07-20,BR,AdMob,115244.0
2021-07-21,BR,AdMob,134967.0
2021-07-22,BR,AdMob,140117.0
2021-07-23,BR,AdMob,121745.0
2021-07-24,BR,AdMob,142100.0
2021-07-25,BR,AdMob,197633.0
2021-07-26,BR,AdMob,171112.0
2021-07-27,BR,AdMob,120266.0
2021-07-28,BR,AdMob,137206.0
2021-07-29,BR,AdMob,102580.0
2021-07-30,BR,AdMob,104592.0
2021-07-31,BR,AdMob,126996.0
2021-08-01,BR,AdMob,155702.0
2021-08-02,BR,AdMob,111346.0
2021-08-03,BR,AdMob,85994.0
2021-08-04,BR,AdMob,81144.0
2021-08-05,BR,AdMob,74876.0
2021-08-06,BR,AdMob,74528.0
2021-08-07,BR,AdMob,77314.0
2021-08-08,BR,AdMob,96499.0
2021-08-09,BR,AdMob,77831.0
2021-08-10,BR,AdMob,95385.0
2021-08-11,BR,AdMob,105930.0
2021-08-12,BR,AdMob,99319.0
2021-08-13,BR,AdMob,122516.0
2021-08-14,BR,AdMob,176157.0
2021-08-15,BR,AdMob,208362.0
