,date,country,platform,market_volume
0,2021-05-03,BR,Android,3733508.6365499804
1,2021-05-04,BR,Android,4009094.98200947
2,2021-05-05,BR,Android,3759378.2026453903
3,2021-05-06,BR,Android,3262350.4468851704
4,2021-05-07,BR,Android,3547725.5167421335
5,2021-05-08,BR,Android,4863210.719186069
6,2021-05-09,BR,Android,5078358.979835959
7,2021-05-10,BR,Android,3980515.1081317896
8,2021-05-11,BR,Android,3719049.33679046
9,2021-05-12,BR,Android,3891639.0959506836
10,2021-05-13,BR,Android,4147272.7180555584
11,2021-05-14,BR,Android,4793510.117000494
12,2021-05-15,BR,Android,5881118.330429212
13,2021-05-16,BR,Android,7005675.249344945
14,2021-05-17,BR,Android,4494689.441923001
15,2021-05-18,BR,Android,4923566.902330515
16,2021-05-19,BR,Android,3903760.732906669
17,2021-05-20,BR,Android,4078888.8190825805
18,2021-05-21,BR,Android,4957960.892291015
19,2021-05-22,BR,Android,5184983.171810912
20,2021-05-23,BR,Android,6396078.552254049
21,2021-05-24,BR,Android,4568824.770333676
22,2021-05-25,BR,Android,4608299.396278955
23,2021-05-26,BR,Android,4458263.067725442
24,2021-05-27,BR,Android,4209151.740649853
25,2021-05-28,BR,Android,5576805.820700882
26,2021-05-29,BR,Android,6676015.134961888
27,2021-05-30,BR,Android,6679368.660404388
28,2021-05-31,BR,Android,5651429.671637852
29,2021-06-01,BR,Android,5376011.847655109
30,2021-06-02,BR,Android,5023814.828900475
31,2021-06-03,BR,Android,5510344.635269422
32,2021-06-04,BR,Android,4792117.224768138
33,2021-06-05,BR,Android,5940770.440648183
34,2021-06-06,BR,Android,6567884.944426576
35,2021-06-07,BR,Android,4899145.6948072715
36,2021-06-08,BR,Android,4377723.64323893
37,2021-06-09,BR,Android,4624900.059048547
38,2021-06-10,BR,Android,5678409.490526584
39,2021-06-11,BR,Android,5941240.095368784
40,2021-06-12,BR,Android,6631868.87057171
41,2021-06-13,BR,Android,5910760.006786905
42,2021-06-14,BR,Android,4620118.436389458
43,2021-06-15,BR,Android,4382403.822388376
44,2021-06-16,BR,Android,4302636.602821021
45,2021-06-17,BR,Android,4424385.287777215
46,2021-06-18,BR,Android,4458798.9746481795
47,2021-06-19,BR,Android,6279667.192013643
48,2021-06-20,BR,Android,6896559.140128365
49,2021-06-21,BR,Android,5646812.216600696
50,2021-06-22,BR,Android,5052120.182050467
51,2021-06-23,BR,Android,4315437.780206707
52,2021-06-24,BR,Android,4219682.157221768
53,2021-06-25,BR,Android,5546429.218141553
54,2021-06-26,BR,Android,5863703.424695028
55,2021-06-27,BR,Android,8292988.873747173
56,2021-06-28,BR,Android,4909040.2484803675
57,2021-06-29,BR,Android,5376353.672587036
58,2021-06-30,BR,Android,4676638.514510093
59,2021-07-01,BR,Android,5362448.642611931
60,2021-07-02,BR,Android,5251429.616392728
61,2021-07-03,BR,Android,5973649.699411361
62,2021-07-04,BR,Android,5947041.729457958
63,2021-07-05,BR,Android,4554840.051504434
64,2021-07-06,BR,Android,4942673.00775675
65,2021-07-07,BR,Android,5417906.723322421
66,2021-07-08,BR,Android,5480442.281098205
67,2021-07-09,BR,Android,5535085.115402825
68,2021-07-10,BR,Android,6459938.333418196
69,2021-07-11,BR,Android,6203899.111212041
70,2021-07-12,BR,Android,5022690.624633068
71,2021-07-13,BR,Android,4334986.289605985
72,2021-07-14,BR,Android,4153512.756500811
73,2021-07-15,BR,Android,4426729.392957441
74,2021-07-16,BR,Android,4765223.701180261
75,2021-07-17,BR,Android,5249181.754148663
76,2021-07-18,BR,Android,5972751.328838426
77,2021-07-19,BR,Android,4651551.574325532
78,2021-07-20,BR,Android,4335348.412112313
79,2021-07-21,BR,Android,4177815.8268594337
80,2021-07-22,BR,Android,4238810.261162002
81,2021-07-23,BR,Android,5090484.155427085
82,2021-07-24,BR,Android,5883256.908699028
83,2021-07-25,BR,Android,6097144.1918351
84,2021-07-26,BR,Android,4716316.794364014
85,2021-07-27,BR,Android,5151313.904166718
86,2021-07-28,BR,Android,4748492.496258321
87,2021-07-29,BR,Android,4499727.45638501
88,2021-07-30,BR,Android,4660326.232758188
89,2021-07-31,BR,Android,5111892.7375768935
90,2021-08-01,BR,Android,5221976.0136132585
91,2021-08-02,BR,Android,3909288.825997133
92,2021-08-03,BR,Android,4122503.8538570297
93,2021-08-04,BR,Android,4152907.370350347
94,2021-08-05,BR,Android,4337051.388182473
95,2021-08-06,BR,Android,4497035.047081138
96,2021-08-07,BR,Android,4825664.321724883
97,2021-08-08,BR,Android,5961294.124848592
98,2021-08-09,BR,Android,4544683.066449574
99,2021-08-10,BR,Android,4436798.570272437
100,2021-08-11,BR,Android,4130912.390840853
101,2021-08-12,BR,Android,4164037.8318519415
102,2021-08-13,BR,Android,4728384.5060083335
103,2021-08-14,BR,Android,5610360.270397563
104,2021-08-15,BR,Android,6369258.625982845
