date,country,network,market_volume
2021-04-21,BR,Amazon,1280.0
2021-04-23,BR,Amazon,1075.0
2021-04-24,BR,Amazon,1518.0
2021-04-25,BR,Amazon,1240.0
2021-04-26,BR,Amazon,1127.0
2021-04-27,BR,Amazon,967.0
2021-05-14,BR,Amazon,3888.0
2021-05-15,BR,Amazon,6391.0
2021-05-16,BR,Amazon,7844.0
2021-05-17,BR,Amazon,6371.0
2021-05-18,BR,Amazon,8620.0
2021-05-19,BR,Amazon,5552.0
2021-05-20,BR,Amazon,11125.0
2021-05-21,BR,Amazon,16241.0
2021-05-22,BR,Amazon,12660.0
2021-05-23,BR,Amazon,8953.0
2021-05-24,BR,Amazon,4402.0
2021-05-25,BR,Amazon,9788.0
2021-05-26,BR,Amazon,9389.0
2021-05-27,BR,Amazon,9942.0
2021-05-28,BR,Amazon,10200.0
2021-05-29,BR,Amazon,5981.0
2021-05-30,BR,Amazon,8901.0
2021-05-31,BR,Amazon,4966.0
2021-06-01,BR,Amazon,3624.0
2021-06-02,BR,Amazon,7726.0
2021-06-03,BR,Amazon,7883.0
2021-06-04,BR,Amazon,15408.0
2021-06-05,BR,Amazon,13300.0
2021-06-06,BR,Amazon,10318.0
2021-06-07,BR,Amazon,16092.0
2021-06-08,BR,Amazon,19304.0
2021-06-09,BR,Amazon,32680.0
2021-06-10,BR,Amazon,25603.0
2021-06-11,BR,Amazon,15641.0
2021-06-12,BR,Amazon,9013.0
2021-06-13,BR,Amazon,4903.0
2021-06-14,BR,Amazon,5138.0
2021-06-15,BR,Amazon,2853.0
2021-06-16,BR,Amazon,2785.0
2021-06-17,BR,Amazon,4739.0
2021-06-18,BR,Amazon,3644.0
2021-06-19,BR,Amazon,3869.0
2021-06-20,BR,Amazon,3071.0
2021-06-21,BR,Amazon,5090.0
2021-06-22,BR,Amazon,4240.0
2021-06-23,BR,Amazon,4755.0
2021-06-24,BR,Amazon,3252.0
2021-06-25,BR,Amazon,4254.0
2021-06-26,BR,Amazon,1079.0
2021-07-03,BR,Amazon,1955.0
2021-07-04,BR,Amazon,2407.0
2021-07-05,BR,Amazon,1896.0
2021-07-06,BR,Amazon,1473.0
2021-07-07,BR,Amazon,3237.0
2021-07-08,BR,Amazon,3096.0
2021-07-09,BR,Amazon,3534.0
2021-07-10,BR,Amazon,2947.0
2021-07-11,BR,Amazon,1626.0
2021-07-12,BR,Amazon,1081.0
2021-07-13,BR,Amazon,2466.0
2021-07-14,BR,Amazon,2314.0
2021-07-15,BR,Amazon,3100.0
2021-07-16,BR,Amazon,3414.0
2021-07-17,BR,Amazon,3735.0
2021-07-18,BR,Amazon,5746.0
2021-07-19,BR,Amazon,3789.0
2021-07-20,BR,Amazon,3797.0
2021-07-21,BR,Amazon,8404.0
2021-07-22,BR,Amazon,9330.0
2021-07-23,BR,Amazon,49177.0
2021-07-24,BR,Amazon,36900.0
2021-07-25,BR,Amazon,22930.0
2021-07-26,BR,Amazon,21192.0
2021-07-27,BR,Amazon,26548.0
2021-07-28,BR,Amazon,12216.0
2021-07-29,BR,Amazon,3995.0
2021-07-30,BR,Amazon,4671.0
2021-07-31,BR,Amazon,6290.0
2021-08-01,BR,Amazon,11214.0
2021-08-02,BR,Amazon,16649.0
2021-08-03,BR,Amazon,29458.0
2021-08-04,BR,Amazon,34291.0
2021-08-05,BR,Amazon,23094.0
2021-08-06,BR,Amazon,21596.0
2021-08-07,BR,Amazon,21593.0
2021-08-08,BR,Amazon,21366.0
2021-08-09,BR,Amazon,19270.0
2021-08-10,BR,Amazon,19578.0
2021-08-11,BR,Amazon,17385.0
2021-08-12,BR,Amazon,21432.0
2021-08-13,BR,Amazon,24433.0
2021-08-14,BR,Amazon,29502.0
2021-08-15,BR,Amazon,35364.0
