date,country,network,market_volume
2021-05-03,BR,AppLovin,35731.0
2021-05-04,BR,AppLovin,35109.0
2021-05-05,BR,AppLovin,57112.0
2021-05-06,BR,AppLovin,118690.0
2021-05-07,BR,AppLovin,56502.0
2021-05-08,BR,AppLovin,108608.0
2021-05-09,BR,AppLovin,80402.0
2021-05-10,BR,AppLovin,81514.0
2021-05-11,BR,AppLovin,83014.0
2021-05-12,BR,AppLovin,101845.0
2021-05-13,BR,AppLovin,116624.0
2021-05-14,BR,AppLovin,118853.0
2021-05-15,BR,AppLovin,144547.0
2021-05-16,BR,AppLovin,123283.0
2021-05-17,BR,AppLovin,82110.0
2021-05-18,BR,AppLovin,87131.0
2021-05-19,BR,AppLovin,85804.0
2021-05-20,BR,AppLovin,70472.0
2021-05-21,BR,AppLovin,65639.0
2021-05-22,BR,AppLovin,57037.0
2021-05-23,BR,AppLovin,73456.0
2021-05-24,BR,AppLovin,61866.0
2021-05-25,BR,AppLovin,53910.0
2021-05-26,BR,AppLovin,52625.0
2021-05-27,BR,AppLovin,54186.0
2021-05-28,BR,AppLovin,59438.0
2021-05-29,BR,AppLovin,70462.0
2021-05-30,BR,AppLovin,74912.0
2021-05-31,BR,AppLovin,51440.0
2021-06-01,BR,AppLovin,58883.0
2021-06-02,BR,AppLovin,49935.0
2021-06-03,BR,AppLovin,57720.0
2021-06-04,BR,AppLovin,49262.0
2021-06-05,BR,AppLovin,58032.0
2021-06-06,BR,AppLovin,63023.0
2021-06-07,BR,AppLovin,47951.0
2021-06-08,BR,AppLovin,45428.0
2021-06-09,BR,AppLovin,37614.0
2021-06-10,BR,AppLovin,40599.0
2021-06-11,BR,AppLovin,49602.0
2021-06-12,BR,AppLovin,63006.0
2021-06-13,BR,AppLovin,69169.0
2021-06-14,BR,AppLovin,58638.0
2021-06-15,BR,AppLovin,53012.0
2021-06-16,BR,AppLovin,51995.0
2021-06-17,BR,AppLovin,50928.0
2021-06-18,BR,AppLovin,44585.0
2021-06-19,BR,AppLovin,48659.0
2021-06-20,BR,AppLovin,54437.0
2021-06-21,BR,AppLovin,55711.0
2021-06-22,BR,AppLovin,51808.0
2021-06-23,BR,AppLovin,48545.0
2021-06-24,BR,AppLovin,50002.0
2021-06-25,BR,AppLovin,44014.0
2021-06-26,BR,AppLovin,47714.0
2021-06-27,BR,AppLovin,58573.0
2021-06-28,BR,AppLovin,44169.0
2021-06-29,BR,AppLovin,46740.0
2021-06-30,BR,AppLovin,38196.0
2021-07-01,BR,AppLovin,49286.0
2021-07-02,BR,AppLovin,49091.0
2021-07-03,BR,AppLovin,63773.0
2021-07-04,BR,AppLovin,70690.0
2021-07-05,BR,AppLovin,59109.0
2021-07-06,BR,AppLovin,60047.0
2021-07-07,BR,AppLovin,60702.0
2021-07-08,BR,AppLovin,59855.0
2021-07-09,BR,AppLovin,65167.0
2021-07-10,BR,AppLovin,71922.0
2021-07-11,BR,AppLovin,90524.0
2021-07-12,BR,AppLovin,60460.0
2021-07-13,BR,AppLovin,55022.0
2021-07-14,BR,AppLovin,52155.0
2021-07-15,BR,AppLovin,52394.0
2021-07-16,BR,AppLovin,56047.0
2021-07-17,BR,AppLovin,58744.0
2021-07-18,BR,AppLovin,67112.0
2021-07-19,BR,AppLovin,56818.0
2021-07-20,BR,AppLovin,55427.0
2021-07-21,BR,AppLovin,58355.0
2021-07-22,BR,AppLovin,58514.0
2021-07-23,BR,AppLovin,55911.0
2021-07-24,BR,AppLovin,59457.0
2021-07-25,BR,AppLovin,66497.0
2021-07-26,BR,AppLovin,51470.0
2021-07-27,BR,AppLovin,49064.0
2021-07-28,BR,AppLovin,58185.0
2021-07-29,BR,AppLovin,52915.0
2021-07-30,BR,AppLovin,51726.0
2021-07-31,BR,AppLovin,66352.0
2021-08-01,BR,AppLovin,72597.0
2021-08-02,BR,AppLovin,55224.0
2021-08-03,BR,AppLovin,48399.0
2021-08-04,BR,AppLovin,45575.0
2021-08-05,BR,AppLovin,42480.0
2021-08-06,BR,AppLovin,50294.0
2021-08-07,BR,AppLovin,53653.0
2021-08-08,BR,AppLovin,64901.0
2021-08-09,BR,AppLovin,52205.0
2021-08-10,BR,AppLovin,55508.0
2021-08-11,BR,AppLovin,52386.0
2021-08-12,BR,AppLovin,51836.0
2021-08-13,BR,AppLovin,54856.0
2021-08-14,BR,AppLovin,58002.0
2021-08-15,BR,AppLovin,52569.0
