date,country,network,market_volume
2021-04-21,BR,Chartboost,10765.0
2021-04-22,BR,Chartboost,22884.0
2021-04-23,BR,Chartboost,8967.0
2021-04-24,BR,Chartboost,23978.0
2021-04-25,BR,Chartboost,11044.0
2021-04-26,BR,Chartboost,7666.0
2021-04-27,BR,Chartboost,9482.0
2021-04-28,BR,Chartboost,9938.0
2021-04-29,BR,Chartboost,10889.0
2021-04-30,BR,Chartboost,9444.0
2021-05-01,BR,Chartboost,9331.0
2021-05-02,BR,Chartboost,9968.0
2021-05-03,BR,Chartboost,7625.0
2021-05-04,BR,Chartboost,8922.0
2021-05-05,BR,Chartboost,10720.0
2021-05-06,BR,Chartboost,10146.0
2021-05-07,BR,Chartboost,10419.0
2021-05-08,BR,Chartboost,12144.0
2021-05-09,BR,Chartboost,11552.0
2021-05-10,BR,Chartboost,13418.0
2021-05-11,BR,Chartboost,17823.0
2021-05-12,BR,Chartboost,12953.0
2021-05-13,BR,Chartboost,23554.0
2021-05-14,BR,Chartboost,5824.0
2021-05-15,BR,Chartboost,16780.0
2021-05-16,BR,Chartboost,19101.0
2021-05-17,BR,Chartboost,6841.0
2021-05-18,BR,Chartboost,20057.0
2021-05-19,BR,Chartboost,5462.0
2021-05-20,BR,Chartboost,5146.0
2021-05-21,BR,Chartboost,9447.0
2021-05-22,BR,Chartboost,12848.0
2021-05-23,BR,Chartboost,11887.0
2021-05-24,BR,Chartboost,4066.0
2021-05-25,BR,Chartboost,9269.0
2021-05-26,BR,Chartboost,12957.0
2021-05-27,BR,Chartboost,3967.0
2021-05-28,BR,Chartboost,8966.0
2021-05-29,BR,Chartboost,10891.0
2021-05-30,BR,Chartboost,2672.0
2021-05-31,BR,Chartboost,6720.0
2021-06-01,BR,Chartboost,6571.0
2021-06-02,BR,Chartboost,7372.0
2021-06-03,BR,Chartboost,8767.0
2021-06-04,BR,Chartboost,2153.0
2021-06-05,BR,Chartboost,8151.0
2021-06-06,BR,Chartboost,3223.0
2021-06-07,BR,Chartboost,3261.0
2021-06-08,BR,Chartboost,2847.0
2021-06-09,BR,Chartboost,5228.0
2021-06-10,BR,Chartboost,6691.0
2021-06-11,BR,Chartboost,9644.0
2021-06-12,BR,Chartboost,11239.0
2021-06-13,BR,Chartboost,10189.0
2021-06-14,BR,Chartboost,8667.0
2021-06-15,BR,Chartboost,12032.0
2021-06-16,BR,Chartboost,12920.0
2021-06-17,BR,Chartboost,12131.0
2021-06-18,BR,Chartboost,10682.0
2021-06-19,BR,Chartboost,10210.0
2021-06-20,BR,Chartboost,6790.0
2021-06-21,BR,Chartboost,8985.0
2021-06-22,BR,Chartboost,9347.0
2021-06-23,BR,Chartboost,10225.0
2021-06-24,BR,Chartboost,9806.0
2021-06-25,BR,Chartboost,15135.0
2021-06-26,BR,Chartboost,17410.0
2021-06-27,BR,Chartboost,19175.0
2021-06-28,BR,Chartboost,16133.0
2021-06-29,BR,Chartboost,20260.0
2021-06-30,BR,Chartboost,18736.0
2021-07-01,BR,Chartboost,14766.0
2021-07-02,BR,Chartboost,11555.0
