date,country,network,market_volume
2021-05-03,BR,Facebook,75901.0
2021-05-04,BR,Facebook,80313.0
2021-05-05,BR,Facebook,82949.0
2021-05-06,BR,Facebook,74733.0
2021-05-07,BR,Facebook,86258.0
2021-05-08,BR,Facebook,120393.0
2021-05-09,BR,Facebook,113227.0
2021-05-10,BR,Facebook,81566.0
2021-05-11,BR,Facebook,79893.0
2021-05-12,BR,Facebook,83062.0
2021-05-13,BR,Facebook,87932.0
2021-05-14,BR,Facebook,136848.0
2021-05-15,BR,Facebook,146375.0
2021-05-16,BR,Facebook,185696.0
2021-05-17,BR,Facebook,121316.0
2021-05-18,BR,Facebook,138324.0
2021-05-19,BR,Facebook,53169.0
2021-05-20,BR,Facebook,54193.0
2021-05-21,BR,Facebook,56925.0
2021-05-22,BR,Facebook,60765.0
2021-05-23,BR,Facebook,81553.0
2021-05-24,BR,Facebook,66417.0
2021-05-25,BR,Facebook,56448.0
2021-05-26,BR,Facebook,56964.0
2021-05-27,BR,Facebook,74751.0
2021-05-28,BR,Facebook,75978.0
2021-05-29,BR,Facebook,90109.0
2021-05-30,BR,Facebook,79025.0
2021-05-31,BR,Facebook,56363.0
2021-06-01,BR,Facebook,65516.0
2021-06-02,BR,Facebook,62764.0
2021-06-03,BR,Facebook,74765.0
2021-06-04,BR,Facebook,78332.0
2021-06-05,BR,Facebook,86968.0
2021-06-06,BR,Facebook,98463.0
2021-06-07,BR,Facebook,81369.0
2021-06-08,BR,Facebook,65868.0
2021-06-09,BR,Facebook,51906.0
2021-06-10,BR,Facebook,183853.0
2021-06-11,BR,Facebook,201165.0
2021-06-12,BR,Facebook,255327.0
2021-06-13,BR,Facebook,107644.0
2021-06-14,BR,Facebook,85950.0
2021-06-15,BR,Facebook,56180.0
2021-06-16,BR,Facebook,67156.0
2021-06-17,BR,Facebook,77475.0
2021-06-18,BR,Facebook,78635.0
2021-06-19,BR,Facebook,252877.0
2021-06-20,BR,Facebook,271217.0
2021-06-21,BR,Facebook,233935.0
2021-06-22,BR,Facebook,216399.0
2021-06-23,BR,Facebook,87343.0
2021-06-24,BR,Facebook,80913.0
2021-06-25,BR,Facebook,192981.0
2021-06-26,BR,Facebook,219845.0
2021-06-27,BR,Facebook,181065.0
2021-06-28,BR,Facebook,138284.0
2021-06-29,BR,Facebook,146555.0
2021-06-30,BR,Facebook,148510.0
2021-07-01,BR,Facebook,186329.0
2021-07-02,BR,Facebook,213626.0
2021-07-03,BR,Facebook,230451.0
2021-07-04,BR,Facebook,99618.0
2021-07-05,BR,Facebook,56558.0
2021-07-06,BR,Facebook,67104.0
2021-07-07,BR,Facebook,159256.0
2021-07-08,BR,Facebook,155545.0
2021-07-09,BR,Facebook,172928.0
2021-07-10,BR,Facebook,235616.0
2021-07-11,BR,Facebook,88835.0
2021-07-12,BR,Facebook,75275.0
2021-07-13,BR,Facebook,85830.0
2021-07-14,BR,Facebook,110048.0
2021-07-15,BR,Facebook,121054.0
2021-07-16,BR,Facebook,115936.0
2021-07-17,BR,Facebook,126967.0
2021-07-18,BR,Facebook,141920.0
2021-07-19,BR,Facebook,88667.0
2021-07-20,BR,Facebook,82989.0
2021-07-21,BR,Facebook,110736.0
2021-07-22,BR,Facebook,109433.0
2021-07-23,BR,Facebook,233178.0
2021-07-24,BR,Facebook,269991.0
2021-07-25,BR,Facebook,195673.0
2021-07-26,BR,Facebook,129234.0
2021-07-27,BR,Facebook,149593.0
2021-07-28,BR,Facebook,186325.0
2021-07-29,BR,Facebook,238135.0
2021-07-30,BR,Facebook,274183.0
2021-07-31,BR,Facebook,295949.0
2021-08-01,BR,Facebook,202455.0
2021-08-02,BR,Facebook,164107.0
2021-08-03,BR,Facebook,169168.0
2021-08-04,BR,Facebook,182628.0
2021-08-05,BR,Facebook,246046.0
2021-08-06,BR,Facebook,262481.0
2021-08-07,BR,Facebook,301831.0
2021-08-08,BR,Facebook,346735.0
2021-08-09,BR,Facebook,261085.0
2021-08-10,BR,Facebook,237697.0
2021-08-11,BR,Facebook,228022.0
2021-08-12,BR,Facebook,232863.0
2021-08-13,BR,Facebook,224626.0
2021-08-14,BR,Facebook,270062.0
2021-08-15,BR,Facebook,283711.0
