date,country,network,market_volume
2021-04-21,BR,IronSource,9721.0
2021-04-22,BR,IronSource,5796.0
2021-04-23,BR,IronSource,6200.0
2021-04-24,BR,IronSource,6907.0
2021-04-25,BR,IronSource,7570.0
2021-04-26,BR,IronSource,8615.0
2021-04-27,BR,IronSource,6874.0
2021-04-28,BR,IronSource,7831.0
2021-04-29,BR,IronSource,6863.0
2021-04-30,BR,IronSource,7503.0
2021-05-01,BR,IronSource,8908.0
2021-05-02,BR,IronSource,8191.0
2021-05-03,BR,IronSource,6252.0
2021-05-04,BR,IronSource,5976.0
2021-05-05,BR,IronSource,5203.0
2021-05-06,BR,IronSource,4289.0
2021-05-07,BR,IronSource,4264.0
2021-05-08,BR,IronSource,5235.0
2021-05-09,BR,IronSource,7425.0
2021-05-10,BR,IronSource,5394.0
2021-05-11,BR,IronSource,5446.0
2021-05-12,BR,IronSource,4486.0
2021-05-13,BR,IronSource,4480.0
2021-05-14,BR,IronSource,4447.0
2021-05-15,BR,IronSource,6555.0
2021-05-16,BR,IronSource,7369.0
2021-05-17,BR,IronSource,5572.0
2021-05-18,BR,IronSource,7079.0
2021-05-19,BR,IronSource,9187.0
2021-05-20,BR,IronSource,8464.0
2021-05-21,BR,IronSource,12905.0
2021-05-22,BR,IronSource,17844.0
2021-05-23,BR,IronSource,14915.0
2021-05-24,BR,IronSource,11400.0
2021-05-25,BR,IronSource,8805.0
2021-05-26,BR,IronSource,9106.0
2021-05-27,BR,IronSource,11325.0
2021-05-28,BR,IronSource,11527.0
2021-05-29,BR,IronSource,12213.0
2021-05-30,BR,IronSource,15647.0
2021-05-31,BR,IronSource,10625.0
2021-06-01,BR,IronSource,9707.0
2021-06-02,BR,IronSource,9824.0
2021-06-03,BR,IronSource,10990.0
2021-06-04,BR,IronSource,12649.0
2021-06-05,BR,IronSource,13487.0
2021-06-06,BR,IronSource,13680.0
2021-06-07,BR,IronSource,15701.0
2021-06-08,BR,IronSource,12077.0
2021-06-09,BR,IronSource,12645.0
2021-06-10,BR,IronSource,19271.0
2021-06-11,BR,IronSource,22070.0
2021-06-12,BR,IronSource,16222.0
2021-06-13,BR,IronSource,15937.0
2021-06-14,BR,IronSource,12370.0
2021-06-15,BR,IronSource,14787.0
2021-06-16,BR,IronSource,12347.0
2021-06-17,BR,IronSource,12310.0
2021-06-18,BR,IronSource,10519.0
2021-06-19,BR,IronSource,13608.0
2021-06-20,BR,IronSource,12457.0
2021-06-21,BR,IronSource,10062.0
2021-06-22,BR,IronSource,10521.0
2021-06-23,BR,IronSource,9829.0
2021-06-24,BR,IronSource,9752.0
2021-06-25,BR,IronSource,9300.0
2021-06-26,BR,IronSource,8154.0
2021-06-27,BR,IronSource,6353.0
2021-06-28,BR,IronSource,6251.0
2021-06-29,BR,IronSource,7809.0
2021-06-30,BR,IronSource,6868.0
2021-07-01,BR,IronSource,9376.0
2021-07-02,BR,IronSource,10996.0
2021-07-03,BR,IronSource,11605.0
2021-07-04,BR,IronSource,13490.0
2021-07-05,BR,IronSource,13140.0
2021-07-06,BR,IronSource,11079.0
2021-07-07,BR,IronSource,9747.0
2021-07-08,BR,IronSource,8136.0
2021-07-09,BR,IronSource,7073.0
2021-07-10,BR,IronSource,8148.0
2021-07-11,BR,IronSource,10079.0
2021-07-12,BR,IronSource,9939.0
2021-07-13,BR,IronSource,20433.0
2021-07-14,BR,IronSource,18157.0
2021-07-15,BR,IronSource,19494.0
2021-07-16,BR,IronSource,19269.0
2021-07-17,BR,IronSource,18721.0
2021-07-18,BR,IronSource,21503.0
2021-07-19,BR,IronSource,20421.0
2021-07-20,BR,IronSource,15284.0
2021-07-21,BR,IronSource,18774.0
2021-07-22,BR,IronSource,19733.0
2021-07-23,BR,IronSource,16724.0
2021-07-24,BR,IronSource,17988.0
2021-07-25,BR,IronSource,16738.0
2021-07-26,BR,IronSource,15673.0
2021-07-27,BR,IronSource,14743.0
2021-07-28,BR,IronSource,17688.0
2021-07-29,BR,IronSource,18280.0
2021-07-30,BR,IronSource,15850.0
2021-07-31,BR,IronSource,19022.0
2021-08-01,BR,IronSource,22079.0
2021-08-02,BR,IronSource,18496.0
2021-08-03,BR,IronSource,19655.0
2021-08-04,BR,IronSource,18265.0
2021-08-05,BR,IronSource,14975.0
2021-08-06,BR,IronSource,18210.0
2021-08-07,BR,IronSource,17521.0
2021-08-08,BR,IronSource,18659.0
2021-08-09,BR,IronSource,15355.0
2021-08-10,BR,IronSource,14055.0
2021-08-11,BR,IronSource,11620.0
2021-08-12,BR,IronSource,10282.0
2021-08-13,BR,IronSource,8338.0
2021-08-14,BR,IronSource,8819.0
2021-08-15,BR,IronSource,8638.0
