date,country,network,market_volume
2021-05-03,BR,Unity,55435.0
2021-05-04,BR,Unity,54431.0
2021-05-05,BR,Unity,48824.0
2021-05-06,BR,Unity,37630.0
2021-05-07,BR,Unity,48297.0
2021-05-08,BR,Unity,61651.0
2021-05-09,BR,Unity,61801.0
2021-05-10,BR,Unity,45310.0
2021-05-11,BR,Unity,44251.0
2021-05-12,BR,Unity,43070.0
2021-05-13,BR,Unity,46496.0
2021-05-14,BR,Unity,54532.0
2021-05-15,BR,Unity,59961.0
2021-05-16,BR,Unity,72964.0
2021-05-17,BR,Unity,52414.0
2021-05-18,BR,Unity,53422.0
2021-05-19,BR,Unity,55105.0
2021-05-20,BR,Unity,55638.0
2021-05-21,BR,Unity,57262.0
2021-05-22,BR,Unity,63816.0
2021-05-23,BR,Unity,88695.0
2021-05-24,BR,Unity,81960.0
2021-05-25,BR,Unity,64977.0
2021-05-26,BR,Unity,65724.0
2021-05-27,BR,Unity,60862.0
2021-05-28,BR,Unity,91532.0
2021-05-29,BR,Unity,140202.0
2021-05-30,BR,Unity,121190.0
2021-05-31,BR,Unity,135514.0
2021-06-01,BR,Unity,79475.0
2021-06-02,BR,Unity,54564.0
2021-06-03,BR,Unity,73090.0
2021-06-04,BR,Unity,86852.0
2021-06-05,BR,Unity,88073.0
2021-06-06,BR,Unity,115839.0
2021-06-07,BR,Unity,76680.0
2021-06-08,BR,Unity,63860.0
2021-06-09,BR,Unity,72684.0
2021-06-10,BR,Unity,53890.0
2021-06-11,BR,Unity,52137.0
2021-06-12,BR,Unity,78618.0
2021-06-13,BR,Unity,97890.0
2021-06-14,BR,Unity,96469.0
2021-06-15,BR,Unity,105341.0
2021-06-16,BR,Unity,89331.0
2021-06-17,BR,Unity,79873.0
2021-06-18,BR,Unity,87128.0
2021-06-19,BR,Unity,88092.0
2021-06-20,BR,Unity,111284.0
2021-06-21,BR,Unity,91804.0
2021-06-22,BR,Unity,73542.0
2021-06-23,BR,Unity,61481.0
2021-06-24,BR,Unity,66336.0
2021-06-25,BR,Unity,68876.0
2021-06-26,BR,Unity,61594.0
2021-06-27,BR,Unity,67851.0
2021-06-28,BR,Unity,57653.0
2021-06-29,BR,Unity,51195.0
2021-06-30,BR,Unity,41451.0
2021-07-01,BR,Unity,46634.0
2021-07-02,BR,Unity,52066.0
2021-07-03,BR,Unity,81186.0
2021-07-04,BR,Unity,100335.0
2021-07-05,BR,Unity,99241.0
2021-07-06,BR,Unity,85607.0
2021-07-07,BR,Unity,77314.0
2021-07-08,BR,Unity,101446.0
2021-07-09,BR,Unity,108111.0
2021-07-10,BR,Unity,133917.0
2021-07-11,BR,Unity,150329.0
2021-07-12,BR,Unity,118140.0
2021-07-13,BR,Unity,104397.0
2021-07-14,BR,Unity,93903.0
2021-07-15,BR,Unity,99381.0
2021-07-16,BR,Unity,95699.0
2021-07-17,BR,Unity,101888.0
2021-07-18,BR,Unity,122510.0
2021-07-19,BR,Unity,105329.0
2021-07-20,BR,Unity,97577.0
2021-07-21,BR,Unity,79216.0
2021-07-22,BR,Unity,77373.0
2021-07-23,BR,Unity,77031.0
2021-07-24,BR,Unity,87943.0
2021-07-25,BR,Unity,88777.0
2021-07-26,BR,Unity,67834.0
2021-07-27,BR,Unity,74424.0
2021-07-28,BR,Unity,82912.0
2021-07-29,BR,Unity,73666.0
2021-07-30,BR,Unity,79371.0
2021-07-31,BR,Unity,93296.0
2021-08-01,BR,Unity,120381.0
2021-08-02,BR,Unity,78118.0
2021-08-03,BR,Unity,60080.0
2021-08-04,BR,Unity,51162.0
2021-08-05,BR,Unity,50715.0
2021-08-06,BR,Unity,52165.0
2021-08-07,BR,Unity,53591.0
2021-08-08,BR,Unity,65251.0
2021-08-09,BR,Unity,52227.0
2021-08-10,BR,Unity,42875.0
2021-08-11,BR,Unity,39264.0
2021-08-12,BR,Unity,35503.0
2021-08-13,BR,Unity,38485.0
2021-08-14,BR,Unity,36528.0
2021-08-15,BR,Unity,33138.0
