date,country,network,market_volume
2021-05-03,BR,other,328426.0
2021-05-04,BR,other,332051.0
2021-05-05,BR,other,289791.0
2021-05-06,BR,other,300815.0
2021-05-07,BR,other,300229.0
2021-05-08,BR,other,433720.0
2021-05-09,BR,other,456863.0
2021-05-10,BR,other,332974.0
2021-05-11,BR,other,352222.0
2021-05-12,BR,other,355043.0
2021-05-13,BR,other,333051.0
2021-05-14,BR,other,448719.0
2021-05-15,BR,other,436340.0
2021-05-16,BR,other,584387.0
2021-05-17,BR,other,394531.0
2021-05-18,BR,other,402857.0
2021-05-19,BR,other,394421.0
2021-05-20,BR,other,436282.0
2021-05-21,BR,other,480123.0
2021-05-22,BR,other,538151.0
2021-05-23,BR,other,698033.0
2021-05-24,BR,other,504982.0
2021-05-25,BR,other,401538.0
2021-05-26,BR,other,401822.0
2021-05-27,BR,other,487472.0
2021-05-28,BR,other,513996.0
2021-05-29,BR,other,622721.0
2021-05-30,BR,other,807882.0
2021-05-31,BR,other,470480.0
2021-06-01,BR,other,387407.0
2021-06-02,BR,other,406600.0
2021-06-03,BR,other,555294.0
2021-06-04,BR,other,436721.0
2021-06-05,BR,other,540002.0
2021-06-06,BR,other,699083.0
2021-06-07,BR,other,469609.0
2021-06-08,BR,other,442115.0
2021-06-09,BR,other,411370.0
2021-06-10,BR,other,427979.0
2021-06-11,BR,other,713641.0
2021-06-12,BR,other,484869.0
2021-06-13,BR,other,596416.0
2021-06-14,BR,other,438539.0
2021-06-15,BR,other,448958.0
2021-06-16,BR,other,461412.0
2021-06-17,BR,other,450917.0
2021-06-18,BR,other,518711.0
2021-06-19,BR,other,578813.0
2021-06-20,BR,other,581871.0
2021-06-21,BR,other,632160.0
2021-06-22,BR,other,540854.0
2021-06-23,BR,other,439441.0
2021-06-24,BR,other,488773.0
2021-06-25,BR,other,511049.0
2021-06-26,BR,other,628533.0
2021-06-27,BR,other,592596.0
2021-06-28,BR,other,519970.0
2021-06-29,BR,other,516268.0
2021-06-30,BR,other,453337.0
2021-07-01,BR,other,459884.0
2021-07-02,BR,other,535365.0
2021-07-03,BR,other,617251.0
2021-07-04,BR,other,720876.0
2021-07-05,BR,other,647674.0
2021-07-06,BR,other,663262.0
2021-07-07,BR,other,782086.0
2021-07-08,BR,other,679767.0
2021-07-09,BR,other,590645.0
2021-07-10,BR,other,701904.0
2021-07-11,BR,other,743746.0
2021-07-12,BR,other,584034.0
2021-07-13,BR,other,381567.0
2021-07-14,BR,other,344016.0
2021-07-15,BR,other,204536.0
2021-07-16,BR,other,379758.0
2021-07-17,BR,other,390428.0
2021-07-18,BR,other,469531.0
2021-07-19,BR,other,399439.0
2021-07-20,BR,other,377077.0
2021-07-21,BR,other,374852.0
2021-07-22,BR,other,395831.0
2021-07-23,BR,other,431690.0
2021-07-24,BR,other,669163.0
2021-07-25,BR,other,730852.0
2021-07-26,BR,other,621901.0
2021-07-27,BR,other,624873.0
2021-07-28,BR,other,634177.0
2021-07-29,BR,other,654841.0
2021-07-30,BR,other,635308.0
2021-07-31,BR,other,658479.0
2021-08-01,BR,other,382333.0
2021-08-02,BR,other,193397.0
2021-08-03,BR,other,467106.0
2021-08-04,BR,other,547791.0
2021-08-05,BR,other,532867.0
2021-08-06,BR,other,606282.0
2021-08-07,BR,other,574450.0
2021-08-08,BR,other,614350.0
2021-08-09,BR,other,484655.0
2021-08-10,BR,other,503382.0
2021-08-11,BR,other,395520.0
2021-08-12,BR,other,394736.0
2021-08-13,BR,other,505843.0
2021-08-14,BR,other,583630.0
2021-08-15,BR,other,642775.0
