date,country,network,market_volume
2021-05-03,BR,AdMob,10871.0
2021-05-04,BR,AdMob,9480.0
2021-05-05,BR,AdMob,11864.0
2021-05-06,BR,AdMob,14628.0
2021-05-07,BR,AdMob,16078.0
2021-05-08,BR,AdMob,21394.0
2021-05-09,BR,AdMob,19719.0
2021-05-10,BR,AdMob,17761.0
2021-05-11,BR,AdMob,16193.0
2021-05-12,BR,AdMob,16784.0
2021-05-13,BR,AdMob,16748.0
2021-05-14,BR,AdMob,10932.0
2021-05-15,BR,AdMob,11634.0
2021-05-16,BR,AdMob,10653.0
2021-05-17,BR,AdMob,4569.0
2021-05-18,BR,AdMob,6972.0
2021-05-19,BR,AdMob,2551.0
2021-05-20,BR,AdMob,4332.0
2021-05-21,BR,AdMob,6234.0
2021-05-22,BR,AdMob,9360.0
2021-05-23,BR,AdMob,13959.0
2021-05-24,BR,AdMob,10859.0
2021-05-25,BR,AdMob,6916.0
2021-05-26,BR,AdMob,9178.0
2021-05-27,BR,AdMob,8619.0
2021-05-28,BR,AdMob,10348.0
2021-05-29,BR,AdMob,11842.0
2021-05-30,BR,AdMob,15733.0
2021-05-31,BR,AdMob,9612.0
2021-06-01,BR,AdMob,10044.0
2021-06-02,BR,AdMob,10447.0
2021-06-03,BR,AdMob,10036.0
2021-06-04,BR,AdMob,10677.0
2021-06-05,BR,AdMob,11528.0
2021-06-06,BR,AdMob,14402.0
2021-06-07,BR,AdMob,10205.0
2021-06-08,BR,AdMob,8988.0
2021-06-09,BR,AdMob,8303.0
2021-06-10,BR,AdMob,8387.0
2021-06-11,BR,AdMob,7618.0
2021-06-12,BR,AdMob,9000.0
2021-06-13,BR,AdMob,9604.0
2021-06-14,BR,AdMob,474.0
2021-06-15,BR,AdMob,350.0
2021-06-16,BR,AdMob,351.0
2021-06-17,BR,AdMob,357.0
2021-06-18,BR,AdMob,350.0
2021-06-19,BR,AdMob,1090.0
2021-06-20,BR,AdMob,1191.0
2021-06-21,BR,AdMob,428.0
2021-06-22,BR,AdMob,8307.0
2021-06-23,BR,AdMob,4786.0
2021-06-24,BR,AdMob,5730.0
2021-06-25,BR,AdMob,6619.0
2021-06-26,BR,AdMob,665.0
2021-06-27,BR,AdMob,404.0
2021-06-28,BR,AdMob,380.0
2021-06-29,BR,AdMob,378.0
2021-06-30,BR,AdMob,570.0
2021-07-01,BR,AdMob,9246.0
2021-07-02,BR,AdMob,9781.0
2021-07-03,BR,AdMob,9549.0
2021-07-04,BR,AdMob,1773.0
2021-07-05,BR,AdMob,863.0
2021-07-06,BR,AdMob,1538.0
2021-07-07,BR,AdMob,1446.0
2021-07-08,BR,AdMob,8761.0
2021-07-09,BR,AdMob,8508.0
2021-07-10,BR,AdMob,7936.0
2021-07-11,BR,AdMob,9035.0
2021-07-12,BR,AdMob,7009.0
2021-07-13,BR,AdMob,7544.0
2021-07-14,BR,AdMob,8864.0
2021-07-15,BR,AdMob,8441.0
2021-07-16,BR,AdMob,475.0
2021-07-17,BR,AdMob,617.0
2021-07-18,BR,AdMob,10082.0
2021-07-19,BR,AdMob,12816.0
2021-07-20,BR,AdMob,13836.0
2021-07-21,BR,AdMob,15062.0
2021-07-22,BR,AdMob,9392.0
2021-07-23,BR,AdMob,8292.0
2021-07-24,BR,AdMob,8146.0
2021-07-25,BR,AdMob,9683.0
2021-07-26,BR,AdMob,12855.0
2021-07-27,BR,AdMob,10427.0
2021-07-28,BR,AdMob,10100.0
2021-07-29,BR,AdMob,7107.0
2021-07-30,BR,AdMob,6554.0
2021-07-31,BR,AdMob,7472.0
2021-08-01,BR,AdMob,5970.0
2021-08-02,BR,AdMob,6243.0
2021-08-03,BR,AdMob,5717.0
2021-08-04,BR,AdMob,7327.0
2021-08-05,BR,AdMob,6716.0
2021-08-06,BR,AdMob,7538.0
2021-08-07,BR,AdMob,11124.0
2021-08-08,BR,AdMob,15672.0
2021-08-09,BR,AdMob,8439.0
2021-08-10,BR,AdMob,10035.0
2021-08-11,BR,AdMob,7629.0
2021-08-12,BR,AdMob,8020.0
2021-08-13,BR,AdMob,9722.0
2021-08-14,BR,AdMob,3067.0
2021-08-15,BR,AdMob,8552.0
