,date,country,platform,market_volume
0,2021-05-03,BR,iOS,66077.79564309475
1,2021-05-04,BR,iOS,63371.75534734662
2,2021-05-05,BR,iOS,54808.42552531004
3,2021-05-06,BR,iOS,63350.1530916015
4,2021-05-07,BR,iOS,68914.29609230587
5,2021-05-08,BR,iOS,91445.49530605377
6,2021-05-09,BR,iOS,99350.9199323604
7,2021-05-10,BR,iOS,87809.14649537367
8,2021-05-11,BR,iOS,73198.46579326944
9,2021-05-12,BR,iOS,79563.50254402419
10,2021-05-13,BR,iOS,75422.0208974086
11,2021-05-14,BR,iOS,67710.69290610818
12,2021-05-15,BR,iOS,85167.29814508103
13,2021-05-16,BR,iOS,91969.60236918367
14,2021-05-17,BR,iOS,61314.93410806451
15,2021-05-18,BR,iOS,64796.83859694047
16,2021-05-19,BR,iOS,51985.50310632762
17,2021-05-20,BR,iOS,61039.69353237059
18,2021-05-21,BR,iOS,53417.5340309963
19,2021-05-22,BR,iOS,82987.42797203455
20,2021-05-23,BR,iOS,95601.99830781519
21,2021-05-24,BR,iOS,66081.65658902834
22,2021-05-25,BR,iOS,66963.46974394056
23,2021-05-26,BR,iOS,68548.33151975411
24,2021-05-27,BR,iOS,65208.426975065675
25,2021-05-28,BR,iOS,67552.59719375153
26,2021-05-29,BR,iOS,76798.2306852863
27,2021-05-30,BR,iOS,120523.8948949091
28,2021-05-31,BR,iOS,71442.05754529212
29,2021-06-01,BR,iOS,67304.81790972615
30,2021-06-02,BR,iOS,64909.20483785551
31,2021-06-03,BR,iOS,73985.87572019776
32,2021-06-04,BR,iOS,76052.75504835082
33,2021-06-05,BR,iOS,79998.37832586476
34,2021-06-06,BR,iOS,109353.25743446327
35,2021-06-07,BR,iOS,76765.92816450303
36,2021-06-08,BR,iOS,66916.86448814887
37,2021-06-09,BR,iOS,63784.111224439745
38,2021-06-10,BR,iOS,61663.00698309934
39,2021-06-11,BR,iOS,62318.77058398422
40,2021-06-12,BR,iOS,63781.41361289597
41,2021-06-13,BR,iOS,86083.77948831071
42,2021-06-14,BR,iOS,51865.27115013846
43,2021-06-15,BR,iOS,44181.83332584526
44,2021-06-16,BR,iOS,48292.538941736944
45,2021-06-17,BR,iOS,52407.63250185185
46,2021-06-18,BR,iOS,45259.78845823476
47,2021-06-19,BR,iOS,57611.52192878479
48,2021-06-20,BR,iOS,65890.06062232697
49,2021-06-21,BR,iOS,46026.93232136316
50,2021-06-22,BR,iOS,56120.89155623899
51,2021-06-23,BR,iOS,60249.77385356722
52,2021-06-24,BR,iOS,51864.766688236305
53,2021-06-25,BR,iOS,52174.276971354564
54,2021-06-26,BR,iOS,61730.50934544635
55,2021-06-27,BR,iOS,87259.60265179034
56,2021-06-28,BR,iOS,50422.2635033622
57,2021-06-29,BR,iOS,47275.98028914831
58,2021-06-30,BR,iOS,46965.88102620149
59,2021-07-01,BR,iOS,58892.9284675411
60,2021-07-02,BR,iOS,63569.83596492627
61,2021-07-03,BR,iOS,66283.40630296867
62,2021-07-04,BR,iOS,67438.95270649008
63,2021-07-05,BR,iOS,53646.22537950672
64,2021-07-06,BR,iOS,53619.992416593894
65,2021-07-07,BR,iOS,46367.60688891077
66,2021-07-08,BR,iOS,53686.11444070397
67,2021-07-09,BR,iOS,55211.0763265191
68,2021-07-10,BR,iOS,57166.23897320055
69,2021-07-11,BR,iOS,73909.42143259317
70,2021-07-12,BR,iOS,61268.440032327955
71,2021-07-13,BR,iOS,58333.736068510916
72,2021-07-14,BR,iOS,59307.25576199196
73,2021-07-15,BR,iOS,56173.43950785724
74,2021-07-16,BR,iOS,42687.34005444645
75,2021-07-17,BR,iOS,51186.135229508196
76,2021-07-18,BR,iOS,79942.46545772528
77,2021-07-19,BR,iOS,72576.21760240769
78,2021-07-20,BR,iOS,71320.59294099646
79,2021-07-21,BR,iOS,72483.08603196434
80,2021-07-22,BR,iOS,59816.53898681618
81,2021-07-23,BR,iOS,61554.52557969012
82,2021-07-24,BR,iOS,64850.934594115344
83,2021-07-25,BR,iOS,77144.30077726358
84,2021-07-26,BR,iOS,74361.18852696505
85,2021-07-27,BR,iOS,68642.38803569338
86,2021-07-28,BR,iOS,65798.39699040614
87,2021-07-29,BR,iOS,56300.37382564448
88,2021-07-30,BR,iOS,56271.56074298571
89,2021-07-31,BR,iOS,65197.65053011581
90,2021-08-01,BR,iOS,76459.81506895841
91,2021-08-02,BR,iOS,64813.10071261282
92,2021-08-03,BR,iOS,59373.45815229998
93,2021-08-04,BR,iOS,57669.14793507852
94,2021-08-05,BR,iOS,54214.876403821654
95,2021-08-06,BR,iOS,54170.46986453523
96,2021-08-07,BR,iOS,71492.94454072269
97,2021-08-08,BR,iOS,100123.2007480916
98,2021-08-09,BR,iOS,66563.46839210736
99,2021-08-10,BR,iOS,73240.45293064091
100,2021-08-11,BR,iOS,68908.5185145946
101,2021-08-12,BR,iOS,63934.52071218441
102,2021-08-13,BR,iOS,82734.78443855506
103,2021-08-14,BR,iOS,71989.60013181537
104,2021-08-15,BR,iOS,87625.40091598956
