date,country,network,market_volume
2021-05-03,BR,Amazon,133.0
2021-05-04,BR,Amazon,278.0
2021-05-05,BR,Amazon,99.0
2021-05-06,BR,Amazon,157.0
2021-05-07,BR,Amazon,334.0
2021-05-08,BR,Amazon,318.0
2021-05-09,BR,Amazon,265.0
2021-05-10,BR,Amazon,324.0
2021-05-11,BR,Amazon,366.0
2021-05-12,BR,Amazon,162.0
2021-05-13,BR,Amazon,179.0
2021-05-14,BR,Amazon,380.0
2021-05-15,BR,Amazon,766.0
2021-05-16,BR,Amazon,791.0
2021-05-17,BR,Amazon,350.0
2021-05-18,BR,Amazon,559.0
2021-05-19,BR,Amazon,502.0
2021-05-20,BR,Amazon,1295.0
2021-05-21,BR,Amazon,1640.0
2021-05-22,BR,Amazon,1105.0
2021-05-23,BR,Amazon,554.0
2021-05-24,BR,Amazon,362.0
2021-05-25,BR,Amazon,392.0
2021-05-26,BR,Amazon,866.0
2021-05-27,BR,Amazon,667.0
2021-05-28,BR,Amazon,788.0
2021-05-29,BR,Amazon,688.0
2021-05-30,BR,Amazon,1298.0
2021-05-31,BR,Amazon,946.0
2021-06-01,BR,Amazon,336.0
2021-06-02,BR,Amazon,1034.0
2021-06-03,BR,Amazon,1274.0
2021-06-04,BR,Amazon,1535.0
2021-06-05,BR,Amazon,1509.0
2021-06-06,BR,Amazon,415.0
2021-06-07,BR,Amazon,608.0
2021-06-08,BR,Amazon,691.0
2021-06-09,BR,Amazon,1309.0
2021-06-10,BR,Amazon,952.0
2021-06-11,BR,Amazon,676.0
2021-06-12,BR,Amazon,837.0
2021-06-13,BR,Amazon,677.0
2021-06-14,BR,Amazon,117.0
2021-06-15,BR,Amazon,256.0
2021-06-16,BR,Amazon,73.0
2021-06-17,BR,Amazon,271.0
2021-06-18,BR,Amazon,723.0
2021-06-19,BR,Amazon,836.0
2021-06-20,BR,Amazon,1297.0
2021-06-21,BR,Amazon,772.0
2021-06-22,BR,Amazon,849.0
2021-06-23,BR,Amazon,370.0
2021-06-24,BR,Amazon,290.0
2021-06-25,BR,Amazon,506.0
2021-06-26,BR,Amazon,282.0
2021-06-27,BR,Amazon,337.0
2021-06-28,BR,Amazon,257.0
2021-06-29,BR,Amazon,253.0
2021-06-30,BR,Amazon,308.0
2021-07-01,BR,Amazon,247.0
2021-07-02,BR,Amazon,215.0
2021-07-03,BR,Amazon,200.0
2021-07-04,BR,Amazon,322.0
2021-07-05,BR,Amazon,256.0
2021-07-06,BR,Amazon,179.0
2021-07-07,BR,Amazon,241.0
2021-07-08,BR,Amazon,126.0
2021-07-09,BR,Amazon,122.0
2021-07-10,BR,Amazon,84.0
2021-07-11,BR,Amazon,159.0
2021-07-12,BR,Amazon,88.0
2021-07-13,BR,Amazon,118.0
2021-07-14,BR,Amazon,67.0
2021-07-15,BR,Amazon,61.0
2021-07-16,BR,Amazon,239.0
2021-07-17,BR,Amazon,373.0
2021-07-18,BR,Amazon,507.0
2021-07-19,BR,Amazon,317.0
2021-07-20,BR,Amazon,510.0
2021-07-21,BR,Amazon,162.0
2021-07-22,BR,Amazon,143.0
2021-07-23,BR,Amazon,1755.0
2021-07-24,BR,Amazon,1767.0
2021-07-25,BR,Amazon,1520.0
2021-07-26,BR,Amazon,1270.0
2021-07-27,BR,Amazon,1330.0
2021-07-28,BR,Amazon,554.0
2021-07-29,BR,Amazon,175.0
2021-07-30,BR,Amazon,273.0
2021-07-31,BR,Amazon,360.0
2021-08-01,BR,Amazon,719.0
2021-08-02,BR,Amazon,386.0
2021-08-03,BR,Amazon,222.0
2021-08-04,BR,Amazon,265.0
2021-08-05,BR,Amazon,235.0
2021-08-06,BR,Amazon,192.0
2021-08-07,BR,Amazon,199.0
2021-08-08,BR,Amazon,232.0
2021-08-09,BR,Amazon,147.0
2021-08-10,BR,Amazon,205.0
2021-08-11,BR,Amazon,385.0
2021-08-12,BR,Amazon,501.0
2021-08-13,BR,Amazon,388.0
2021-08-14,BR,Amazon,556.0
2021-08-15,BR,Amazon,591.0
