date,country,network,market_volume
2021-05-03,BR,AppLovin,43913.0
2021-05-04,BR,AppLovin,21324.0
2021-05-05,BR,AppLovin,23985.0
2021-05-06,BR,AppLovin,21878.0
2021-05-07,BR,AppLovin,18892.0
2021-05-08,BR,AppLovin,30073.0
2021-05-09,BR,AppLovin,30363.0
2021-05-10,BR,AppLovin,27534.0
2021-05-11,BR,AppLovin,28518.0
2021-05-12,BR,AppLovin,25498.0
2021-05-13,BR,AppLovin,27542.0
2021-05-14,BR,AppLovin,23345.0
2021-05-15,BR,AppLovin,30805.0
2021-05-16,BR,AppLovin,35222.0
2021-05-17,BR,AppLovin,26693.0
2021-05-18,BR,AppLovin,28041.0
2021-05-19,BR,AppLovin,20456.0
2021-05-20,BR,AppLovin,26150.0
2021-05-21,BR,AppLovin,25767.0
2021-05-22,BR,AppLovin,35299.0
2021-05-23,BR,AppLovin,36477.0
2021-05-24,BR,AppLovin,26703.0
2021-05-25,BR,AppLovin,25173.0
2021-05-26,BR,AppLovin,26799.0
2021-05-27,BR,AppLovin,25677.0
2021-05-28,BR,AppLovin,25332.0
2021-05-29,BR,AppLovin,28224.0
2021-05-30,BR,AppLovin,45559.0
2021-05-31,BR,AppLovin,26463.0
2021-06-01,BR,AppLovin,24835.0
2021-06-02,BR,AppLovin,23736.0
2021-06-03,BR,AppLovin,30247.0
2021-06-04,BR,AppLovin,27921.0
2021-06-05,BR,AppLovin,32408.0
2021-06-06,BR,AppLovin,66979.0
2021-06-07,BR,AppLovin,36042.0
2021-06-08,BR,AppLovin,28343.0
2021-06-09,BR,AppLovin,23510.0
2021-06-10,BR,AppLovin,22832.0
2021-06-11,BR,AppLovin,29315.0
2021-06-12,BR,AppLovin,32051.0
2021-06-13,BR,AppLovin,39818.0
2021-06-14,BR,AppLovin,24687.0
2021-06-15,BR,AppLovin,24160.0
2021-06-16,BR,AppLovin,27551.0
2021-06-17,BR,AppLovin,31824.0
2021-06-18,BR,AppLovin,24838.0
2021-06-19,BR,AppLovin,31588.0
2021-06-20,BR,AppLovin,34678.0
2021-06-21,BR,AppLovin,25070.0
2021-06-22,BR,AppLovin,22274.0
2021-06-23,BR,AppLovin,24481.0
2021-06-24,BR,AppLovin,20485.0
2021-06-25,BR,AppLovin,21206.0
2021-06-26,BR,AppLovin,24503.0
2021-06-27,BR,AppLovin,37888.0
2021-06-28,BR,AppLovin,26499.0
2021-06-29,BR,AppLovin,24057.0
2021-06-30,BR,AppLovin,25318.0
2021-07-01,BR,AppLovin,22529.0
2021-07-02,BR,AppLovin,26870.0
2021-07-03,BR,AppLovin,27639.0
2021-07-04,BR,AppLovin,31514.0
2021-07-05,BR,AppLovin,24301.0
2021-07-06,BR,AppLovin,27426.0
2021-07-07,BR,AppLovin,17851.0
2021-07-08,BR,AppLovin,20080.0
2021-07-09,BR,AppLovin,21674.0
2021-07-10,BR,AppLovin,21181.0
2021-07-11,BR,AppLovin,30097.0
2021-07-12,BR,AppLovin,24004.0
2021-07-13,BR,AppLovin,21309.0
2021-07-14,BR,AppLovin,28002.0
2021-07-15,BR,AppLovin,25679.0
2021-07-16,BR,AppLovin,24886.0
2021-07-17,BR,AppLovin,28100.0
2021-07-18,BR,AppLovin,36404.0
2021-07-19,BR,AppLovin,27283.0
2021-07-20,BR,AppLovin,28317.0
2021-07-21,BR,AppLovin,24823.0
2021-07-22,BR,AppLovin,31843.0
2021-07-23,BR,AppLovin,21172.0
2021-07-24,BR,AppLovin,28356.0
2021-07-25,BR,AppLovin,32100.0
2021-07-26,BR,AppLovin,29153.0
2021-07-27,BR,AppLovin,29304.0
2021-07-28,BR,AppLovin,23889.0
2021-07-29,BR,AppLovin,20607.0
2021-07-30,BR,AppLovin,21578.0
2021-07-31,BR,AppLovin,22259.0
2021-08-01,BR,AppLovin,27061.0
2021-08-02,BR,AppLovin,21928.0
2021-08-03,BR,AppLovin,23446.0
2021-08-04,BR,AppLovin,20227.0
2021-08-05,BR,AppLovin,18386.0
2021-08-06,BR,AppLovin,18214.0
2021-08-07,BR,AppLovin,22528.0
2021-08-08,BR,AppLovin,34036.0
2021-08-09,BR,AppLovin,21425.0
2021-08-10,BR,AppLovin,22854.0
2021-08-11,BR,AppLovin,23103.0
2021-08-12,BR,AppLovin,18387.0
2021-08-13,BR,AppLovin,27352.0
2021-08-14,BR,AppLovin,31334.0
2021-08-15,BR,AppLovin,36101.0
