date,country,network,market_volume
2021-04-21,BR,Chartboost,478.0
2021-04-22,BR,Chartboost,653.0
2021-04-23,BR,Chartboost,703.0
2021-04-24,BR,Chartboost,572.0
2021-04-25,BR,Chartboost,981.0
2021-04-26,BR,Chartboost,730.0
2021-04-27,BR,Chartboost,676.0
2021-04-28,BR,Chartboost,754.0
2021-04-29,BR,Chartboost,724.0
2021-04-30,BR,Chartboost,667.0
2021-05-01,BR,Chartboost,760.0
2021-05-02,BR,Chartboost,571.0
2021-05-03,BR,Chartboost,632.0
2021-05-04,BR,Chartboost,727.0
2021-05-05,BR,Chartboost,787.0
2021-05-07,BR,Chartboost,636.0
2021-05-08,BR,Chartboost,797.0
2021-05-09,BR,Chartboost,1168.0
2021-05-10,BR,Chartboost,893.0
2021-05-11,BR,Chartboost,922.0
2021-05-12,BR,Chartboost,1323.0
2021-05-13,BR,Chartboost,1202.0
2021-05-14,BR,Chartboost,640.0
2021-05-15,BR,Chartboost,846.0
2021-05-16,BR,Chartboost,750.0
2021-05-17,BR,Chartboost,911.0
2021-05-18,BR,Chartboost,1062.0
2021-05-19,BR,Chartboost,632.0
2021-05-20,BR,Chartboost,906.0
2021-05-21,BR,Chartboost,719.0
2021-05-22,BR,Chartboost,1051.0
2021-05-23,BR,Chartboost,1560.0
2021-05-24,BR,Chartboost,607.0
2021-05-25,BR,Chartboost,1424.0
2021-05-26,BR,Chartboost,881.0
2021-05-27,BR,Chartboost,847.0
2021-05-28,BR,Chartboost,575.0
2021-05-29,BR,Chartboost,787.0
2021-05-30,BR,Chartboost,802.0
2021-05-31,BR,Chartboost,640.0
2021-06-01,BR,Chartboost,623.0
2021-06-02,BR,Chartboost,581.0
2021-06-03,BR,Chartboost,919.0
2021-06-04,BR,Chartboost,564.0
2021-06-05,BR,Chartboost,485.0
2021-06-06,BR,Chartboost,537.0
2021-06-07,BR,Chartboost,276.0
2021-06-08,BR,Chartboost,299.0
2021-06-11,BR,Chartboost,467.0
2021-06-12,BR,Chartboost,677.0
2021-06-13,BR,Chartboost,574.0
2021-06-14,BR,Chartboost,467.0
2021-06-15,BR,Chartboost,853.0
2021-06-16,BR,Chartboost,1028.0
2021-06-17,BR,Chartboost,1093.0
2021-06-18,BR,Chartboost,845.0
2021-06-19,BR,Chartboost,1064.0
2021-06-20,BR,Chartboost,847.0
2021-06-21,BR,Chartboost,996.0
2021-06-22,BR,Chartboost,745.0
2021-06-23,BR,Chartboost,798.0
2021-06-24,BR,Chartboost,712.0
2021-06-25,BR,Chartboost,748.0
2021-06-26,BR,Chartboost,533.0
2021-06-27,BR,Chartboost,693.0
2021-06-28,BR,Chartboost,549.0
2021-06-29,BR,Chartboost,757.0
2021-06-30,BR,Chartboost,654.0
2021-07-01,BR,Chartboost,879.0
2021-07-02,BR,Chartboost,670.0
