date,country,network,market_volume
2021-05-03,BR,Facebook,39319.0
2021-05-04,BR,Facebook,43416.0
2021-05-05,BR,Facebook,31026.0
2021-05-06,BR,Facebook,33410.0
2021-05-07,BR,Facebook,39411.0
2021-05-08,BR,Facebook,55126.0
2021-05-09,BR,Facebook,55591.0
2021-05-10,BR,Facebook,60813.0
2021-05-11,BR,Facebook,42490.0
2021-05-12,BR,Facebook,50278.0
2021-05-13,BR,Facebook,44457.0
2021-05-14,BR,Facebook,44410.0
2021-05-15,BR,Facebook,64346.0
2021-05-16,BR,Facebook,70718.0
2021-05-17,BR,Facebook,49933.0
2021-05-18,BR,Facebook,50170.0
2021-05-19,BR,Facebook,44962.0
2021-05-20,BR,Facebook,48041.0
2021-05-21,BR,Facebook,42428.0
2021-05-22,BR,Facebook,72855.0
2021-05-23,BR,Facebook,81087.0
2021-05-24,BR,Facebook,53291.0
2021-05-25,BR,Facebook,57972.0
2021-05-26,BR,Facebook,54862.0
2021-05-27,BR,Facebook,52326.0
2021-05-28,BR,Facebook,47754.0
2021-05-29,BR,Facebook,51630.0
2021-05-30,BR,Facebook,87352.0
2021-05-31,BR,Facebook,47155.0
2021-06-01,BR,Facebook,42332.0
2021-06-02,BR,Facebook,41704.0
2021-06-03,BR,Facebook,43254.0
2021-06-04,BR,Facebook,45037.0
2021-06-05,BR,Facebook,47823.0
2021-06-06,BR,Facebook,60081.0
2021-06-07,BR,Facebook,44602.0
2021-06-08,BR,Facebook,39973.0
2021-06-09,BR,Facebook,40346.0
2021-06-10,BR,Facebook,39747.0
2021-06-11,BR,Facebook,38169.0
2021-06-12,BR,Facebook,41597.0
2021-06-13,BR,Facebook,62371.0
2021-06-14,BR,Facebook,45887.0
2021-06-15,BR,Facebook,39712.0
2021-06-16,BR,Facebook,36149.0
2021-06-17,BR,Facebook,37996.0
2021-06-18,BR,Facebook,37453.0
2021-06-19,BR,Facebook,52140.0
2021-06-20,BR,Facebook,59309.0
2021-06-21,BR,Facebook,42748.0
2021-06-22,BR,Facebook,39777.0
2021-06-23,BR,Facebook,36702.0
2021-06-24,BR,Facebook,33729.0
2021-06-25,BR,Facebook,33064.0
2021-06-26,BR,Facebook,41512.0
2021-06-27,BR,Facebook,53123.0
2021-06-28,BR,Facebook,39383.0
2021-06-29,BR,Facebook,35520.0
2021-06-30,BR,Facebook,38670.0
2021-07-01,BR,Facebook,33662.0
2021-07-02,BR,Facebook,36430.0
2021-07-03,BR,Facebook,37947.0
2021-07-04,BR,Facebook,50206.0
2021-07-05,BR,Facebook,41547.0
2021-07-06,BR,Facebook,40598.0
2021-07-07,BR,Facebook,37341.0
2021-07-08,BR,Facebook,34678.0
2021-07-09,BR,Facebook,37399.0
2021-07-10,BR,Facebook,34924.0
2021-07-11,BR,Facebook,48219.0
2021-07-12,BR,Facebook,41943.0
2021-07-13,BR,Facebook,42413.0
2021-07-14,BR,Facebook,43045.0
2021-07-15,BR,Facebook,37943.0
2021-07-16,BR,Facebook,35130.0
2021-07-17,BR,Facebook,37895.0
2021-07-18,BR,Facebook,40498.0
2021-07-19,BR,Facebook,45221.0
2021-07-20,BR,Facebook,44241.0
2021-07-21,BR,Facebook,74440.0
2021-07-22,BR,Facebook,45353.0
2021-07-23,BR,Facebook,48051.0
2021-07-24,BR,Facebook,46704.0
2021-07-25,BR,Facebook,53069.0
2021-07-26,BR,Facebook,36264.0
2021-07-27,BR,Facebook,35044.0
2021-07-28,BR,Facebook,33648.0
2021-07-29,BR,Facebook,39809.0
2021-07-30,BR,Facebook,35343.0
2021-07-31,BR,Facebook,35352.0
2021-08-01,BR,Facebook,51247.0
2021-08-02,BR,Facebook,41576.0
2021-08-03,BR,Facebook,37513.0
2021-08-04,BR,Facebook,34411.0
2021-08-05,BR,Facebook,35581.0
2021-08-06,BR,Facebook,26146.0
2021-08-07,BR,Facebook,39395.0
2021-08-08,BR,Facebook,54945.0
2021-08-09,BR,Facebook,36655.0
2021-08-10,BR,Facebook,37868.0
2021-08-11,BR,Facebook,34356.0
2021-08-12,BR,Facebook,28872.0
2021-08-13,BR,Facebook,34505.0
2021-08-14,BR,Facebook,41204.0
2021-08-15,BR,Facebook,43583.0
