date,country,network,market_volume
2021-05-03,BR,IronSource,54027.0
2021-05-04,BR,IronSource,55810.0
2021-05-05,BR,IronSource,43863.0
2021-05-06,BR,IronSource,52530.0
2021-05-07,BR,IronSource,52463.0
2021-05-08,BR,IronSource,71842.0
2021-05-09,BR,IronSource,103675.0
2021-05-10,BR,IronSource,65869.0
2021-05-11,BR,IronSource,64708.0
2021-05-12,BR,IronSource,68065.0
2021-05-13,BR,IronSource,67110.0
2021-05-14,BR,IronSource,70027.0
2021-05-15,BR,IronSource,74509.0
2021-05-16,BR,IronSource,100617.0
2021-05-17,BR,IronSource,64817.0
2021-05-18,BR,IronSource,65407.0
2021-05-19,BR,IronSource,69972.0
2021-05-20,BR,IronSource,68494.0
2021-05-21,BR,IronSource,81683.0
2021-05-22,BR,IronSource,99882.0
2021-05-23,BR,IronSource,122815.0
2021-05-24,BR,IronSource,71087.0
2021-05-25,BR,IronSource,56638.0
2021-05-26,BR,IronSource,61866.0
2021-05-27,BR,IronSource,59292.0
2021-05-28,BR,IronSource,80016.0
2021-05-29,BR,IronSource,102427.0
2021-05-30,BR,IronSource,160099.0
2021-05-31,BR,IronSource,96164.0
2021-06-01,BR,IronSource,79488.0
2021-06-02,BR,IronSource,81931.0
2021-06-03,BR,IronSource,102072.0
2021-06-04,BR,IronSource,98028.0
2021-06-05,BR,IronSource,104728.0
2021-06-06,BR,IronSource,209901.0
2021-06-07,BR,IronSource,91343.0
2021-06-08,BR,IronSource,80502.0
2021-06-09,BR,IronSource,86716.0
2021-06-10,BR,IronSource,76651.0
2021-06-11,BR,IronSource,80311.0
2021-06-12,BR,IronSource,116120.0
2021-06-13,BR,IronSource,139509.0
2021-06-14,BR,IronSource,95334.0
2021-06-15,BR,IronSource,75806.0
2021-06-16,BR,IronSource,91598.0
2021-06-17,BR,IronSource,92711.0
2021-06-18,BR,IronSource,69046.0
2021-06-19,BR,IronSource,90066.0
2021-06-20,BR,IronSource,111522.0
2021-06-21,BR,IronSource,73320.0
2021-06-22,BR,IronSource,76241.0
2021-06-23,BR,IronSource,69170.0
2021-06-24,BR,IronSource,75791.0
2021-06-25,BR,IronSource,76760.0
2021-06-26,BR,IronSource,79346.0
2021-06-27,BR,IronSource,119235.0
2021-06-28,BR,IronSource,84760.0
2021-06-29,BR,IronSource,90396.0
2021-06-30,BR,IronSource,79181.0
2021-07-01,BR,IronSource,86465.0
2021-07-02,BR,IronSource,86068.0
2021-07-03,BR,IronSource,90119.0
2021-07-04,BR,IronSource,128871.0
2021-07-05,BR,IronSource,100723.0
2021-07-06,BR,IronSource,102196.0
2021-07-07,BR,IronSource,75660.0
2021-07-08,BR,IronSource,72326.0
2021-07-09,BR,IronSource,79786.0
2021-07-10,BR,IronSource,98183.0
2021-07-11,BR,IronSource,121741.0
2021-07-12,BR,IronSource,87788.0
2021-07-13,BR,IronSource,73865.0
2021-07-14,BR,IronSource,72331.0
2021-07-15,BR,IronSource,68982.0
2021-07-16,BR,IronSource,83075.0
2021-07-17,BR,IronSource,100449.0
2021-07-18,BR,IronSource,122169.0
2021-07-19,BR,IronSource,101092.0
2021-07-20,BR,IronSource,97832.0
2021-07-21,BR,IronSource,99220.0
2021-07-22,BR,IronSource,84233.0
2021-07-23,BR,IronSource,105372.0
2021-07-24,BR,IronSource,104652.0
2021-07-25,BR,IronSource,127619.0
2021-07-26,BR,IronSource,99537.0
2021-07-27,BR,IronSource,96412.0
2021-07-28,BR,IronSource,103470.0
2021-07-29,BR,IronSource,85111.0
2021-07-30,BR,IronSource,92173.0
2021-07-31,BR,IronSource,98288.0
2021-08-01,BR,IronSource,110230.0
2021-08-02,BR,IronSource,94587.0
2021-08-03,BR,IronSource,91281.0
2021-08-04,BR,IronSource,93885.0
2021-08-05,BR,IronSource,66678.0
2021-08-06,BR,IronSource,70370.0
2021-08-07,BR,IronSource,104404.0
2021-08-08,BR,IronSource,132097.0
2021-08-09,BR,IronSource,97732.0
2021-08-10,BR,IronSource,115224.0
2021-08-11,BR,IronSource,101608.0
2021-08-12,BR,IronSource,94717.0
2021-08-13,BR,IronSource,106646.0
2021-08-14,BR,IronSource,114305.0
2021-08-15,BR,IronSource,132850.0
