date,country,network,market_volume
2021-04-21,BR,Unity,7891.0
2021-04-22,BR,Unity,2353.0
2021-04-23,BR,Unity,2623.0
2021-04-24,BR,Unity,2801.0
2021-04-25,BR,Unity,2762.0
2021-04-26,BR,Unity,1289.0
2021-04-27,BR,Unity,3200.0
2021-04-28,BR,Unity,3729.0
2021-04-29,BR,Unity,745.0
2021-04-30,BR,Unity,1071.0
2021-05-01,BR,Unity,6561.0
2021-05-02,BR,Unity,6920.0
2021-05-03,BR,Unity,5586.0
2021-05-04,BR,Unity,5652.0
2021-05-05,BR,Unity,5220.0
2021-05-06,BR,Unity,6807.0
2021-05-07,BR,Unity,4992.0
2021-05-08,BR,Unity,5274.0
2021-05-09,BR,Unity,6605.0
2021-05-10,BR,Unity,4398.0
2021-05-11,BR,Unity,4932.0
2021-05-12,BR,Unity,4414.0
2021-05-13,BR,Unity,6832.0
2021-05-14,BR,Unity,4738.0
2021-05-15,BR,Unity,4809.0
2021-05-16,BR,Unity,5814.0
2021-05-17,BR,Unity,4829.0
2021-05-18,BR,Unity,4109.0
2021-05-19,BR,Unity,4211.0
2021-05-20,BR,Unity,5110.0
2021-05-21,BR,Unity,1869.0
2021-05-22,BR,Unity,1888.0
2021-05-23,BR,Unity,1756.0
2021-05-24,BR,Unity,1264.0
2021-05-25,BR,Unity,3348.0
2021-05-26,BR,Unity,3266.0
2021-05-27,BR,Unity,4493.0
2021-05-28,BR,Unity,6288.0
2021-05-29,BR,Unity,6362.0
2021-05-30,BR,Unity,7917.0
2021-05-31,BR,Unity,6367.0
2021-06-01,BR,Unity,5497.0
2021-06-02,BR,Unity,5769.0
2021-06-03,BR,Unity,8427.0
2021-06-04,BR,Unity,8488.0
2021-06-05,BR,Unity,8019.0
2021-06-06,BR,Unity,8457.0
2021-06-07,BR,Unity,6074.0
2021-06-08,BR,Unity,6287.0
2021-06-09,BR,Unity,6155.0
2021-06-10,BR,Unity,6269.0
2021-06-11,BR,Unity,6551.0
2021-06-12,BR,Unity,2179.0
2021-06-13,BR,Unity,2148.0
2021-06-14,BR,Unity,2259.0
2021-06-15,BR,Unity,1899.0
2021-06-16,BR,Unity,1683.0
2021-06-17,BR,Unity,2171.0
2021-06-18,BR,Unity,1125.0
2021-06-19,BR,Unity,1140.0
2021-06-20,BR,Unity,1394.0
2021-06-21,BR,Unity,1735.0
2021-06-22,BR,Unity,1450.0
2021-06-23,BR,Unity,2751.0
2021-06-24,BR,Unity,1001.0
2021-06-25,BR,Unity,944.0
2021-06-26,BR,Unity,2736.0
2021-06-27,BR,Unity,3663.0
2021-06-28,BR,Unity,1166.0
2021-06-29,BR,Unity,1019.0
2021-06-30,BR,Unity,1167.0
2021-07-01,BR,Unity,1284.0
2021-07-02,BR,Unity,1410.0
2021-07-03,BR,Unity,1701.0
2021-07-04,BR,Unity,2139.0
2021-07-05,BR,Unity,2025.0
2021-07-06,BR,Unity,1954.0
2021-07-07,BR,Unity,1563.0
2021-07-08,BR,Unity,1203.0
2021-07-09,BR,Unity,1444.0
2021-07-10,BR,Unity,1711.0
2021-07-11,BR,Unity,1596.0
2021-07-12,BR,Unity,1186.0
2021-07-13,BR,Unity,1205.0
2021-07-14,BR,Unity,1343.0
2021-07-15,BR,Unity,1369.0
2021-07-16,BR,Unity,1261.0
2021-07-17,BR,Unity,1392.0
2021-07-18,BR,Unity,1637.0
2021-07-19,BR,Unity,1263.0
2021-07-20,BR,Unity,1363.0
2021-07-21,BR,Unity,1048.0
2021-07-22,BR,Unity,1485.0
2021-07-23,BR,Unity,1652.0
2021-07-24,BR,Unity,1487.0
2021-07-25,BR,Unity,1580.0
2021-07-26,BR,Unity,1765.0
2021-07-27,BR,Unity,1690.0
2021-07-28,BR,Unity,1532.0
2021-07-29,BR,Unity,1069.0
2021-07-30,BR,Unity,968.0
2021-07-31,BR,Unity,1246.0
2021-08-01,BR,Unity,1516.0
2021-08-02,BR,Unity,1159.0
2021-08-03,BR,Unity,585.0
2021-08-04,BR,Unity,554.0
2021-08-05,BR,Unity,263.0
2021-08-06,BR,Unity,443.0
2021-08-07,BR,Unity,664.0
2021-08-08,BR,Unity,479.0
2021-08-09,BR,Unity,544.0
2021-08-10,BR,Unity,641.0
2021-08-11,BR,Unity,723.0
2021-08-12,BR,Unity,510.0
2021-08-13,BR,Unity,510.0
2021-08-14,BR,Unity,785.0
2021-08-15,BR,Unity,805.0
