date,country,network,market_volume
2021-04-21,BR,other,15320.0
2021-04-22,BR,other,12698.0
2021-04-23,BR,other,14230.0
2021-04-24,BR,other,14117.0
2021-04-25,BR,other,15562.0
2021-04-26,BR,other,8179.0
2021-04-27,BR,other,7874.0
2021-04-28,BR,other,10036.0
2021-04-29,BR,other,9235.0
2021-04-30,BR,other,12458.0
2021-05-01,BR,other,15736.0
2021-05-02,BR,other,14944.0
2021-05-03,BR,other,12409.0
2021-05-04,BR,other,11328.0
2021-05-05,BR,other,10775.0
2021-05-06,BR,other,11696.0
2021-05-07,BR,other,10428.0
2021-05-08,BR,other,13155.0
2021-05-09,BR,other,14967.0
2021-05-10,BR,other,11379.0
2021-05-11,BR,other,12307.0
2021-05-12,BR,other,11700.0
2021-05-13,BR,other,13569.0
2021-05-14,BR,other,10493.0
2021-05-15,BR,other,10973.0
2021-05-16,BR,other,14722.0
2021-05-17,BR,other,10773.0
2021-05-18,BR,other,9636.0
2021-05-19,BR,other,9638.0
2021-05-20,BR,other,8669.0
2021-05-21,BR,other,9906.0
2021-05-22,BR,other,8921.0
2021-05-23,BR,other,11025.0
2021-05-24,BR,other,6837.0
2021-05-25,BR,other,5840.0
2021-05-26,BR,other,5067.0
2021-05-27,BR,other,6995.0
2021-05-28,BR,other,10277.0
2021-05-29,BR,other,9947.0
2021-05-30,BR,other,11567.0
2021-05-31,BR,other,8277.0
2021-06-01,BR,other,6949.0
2021-06-02,BR,other,7564.0
2021-06-03,BR,other,8989.0
2021-06-04,BR,other,9539.0
2021-06-05,BR,other,10293.0
2021-06-06,BR,other,10841.0
2021-06-07,BR,other,7511.0
2021-06-08,BR,other,7857.0
2021-06-09,BR,other,7890.0
2021-06-10,BR,other,6858.0
2021-06-11,BR,other,8780.0
2021-06-12,BR,other,7961.0
2021-06-13,BR,other,8059.0
2021-06-14,BR,other,7075.0
2021-06-15,BR,other,6410.0
2021-06-16,BR,other,5212.0
2021-06-17,BR,other,3179.0
2021-06-18,BR,other,3402.0
2021-06-19,BR,other,4294.0
2021-06-20,BR,other,3969.0
2021-06-21,BR,other,5099.0
2021-06-22,BR,other,3639.0
2021-06-23,BR,other,2523.0
2021-06-24,BR,other,1669.0
2021-06-25,BR,other,1154.0
2021-06-26,BR,other,1206.0
2021-06-27,BR,other,1209.0
2021-06-28,BR,other,1125.0
2021-06-29,BR,other,1052.0
2021-06-30,BR,other,1006.0
2021-07-01,BR,other,1567.0
2021-07-02,BR,other,1175.0
2021-07-03,BR,other,1439.0
2021-07-04,BR,other,1892.0
2021-07-05,BR,other,1562.0
2021-07-06,BR,other,1361.0
2021-07-07,BR,other,1614.0
2021-07-08,BR,other,3521.0
2021-07-09,BR,other,2926.0
2021-07-10,BR,other,3313.0
2021-07-11,BR,other,2522.0
2021-07-12,BR,other,1433.0
2021-07-13,BR,other,1411.0
2021-07-14,BR,other,2025.0
2021-07-15,BR,other,2046.0
2021-07-16,BR,other,1372.0
2021-07-17,BR,other,1900.0
2021-07-18,BR,other,1559.0
2021-07-19,BR,other,1901.0
2021-07-20,BR,other,6052.0
2021-07-21,BR,other,8404.0
2021-07-22,BR,other,5736.0
2021-07-23,BR,other,5996.0
2021-07-24,BR,other,7352.0
2021-07-25,BR,other,6867.0
2021-07-26,BR,other,6713.0
2021-07-27,BR,other,6278.0
2021-07-28,BR,other,7921.0
2021-07-29,BR,other,6614.0
2021-07-30,BR,other,5239.0
2021-07-31,BR,other,5720.0
2021-08-01,BR,other,5716.0
2021-08-02,BR,other,3272.0
2021-08-03,BR,other,2764.0
2021-08-04,BR,other,2986.0
2021-08-05,BR,other,1934.0
2021-08-06,BR,other,2637.0
2021-08-07,BR,other,4450.0
2021-08-08,BR,other,3984.0
2021-08-09,BR,other,3300.0
2021-08-10,BR,other,3284.0
2021-08-11,BR,other,1298.0
2021-08-12,BR,other,1166.0
2021-08-13,BR,other,1292.0
2021-08-14,BR,other,1501.0
2021-08-15,BR,other,1512.0
