date,country,network,market_volume
2021-05-03,DE,AdMob,97475.0
2021-05-04,DE,AdMob,90856.0
2021-05-05,DE,AdMob,85658.0
2021-05-06,DE,AdMob,71846.0
2021-05-07,DE,AdMob,76712.0
2021-05-08,DE,AdMob,79324.0
2021-05-09,DE,AdMob,75394.0
2021-05-10,DE,AdMob,54398.0
2021-05-11,DE,AdMob,59155.0
2021-05-12,DE,AdMob,52426.0
2021-05-13,DE,AdMob,69645.0
2021-05-14,DE,AdMob,52236.0
2021-05-15,DE,AdMob,58474.0
2021-05-16,DE,AdMob,58435.0
2021-05-17,DE,AdMob,46074.0
2021-05-18,DE,AdMob,48060.0
2021-05-19,DE,AdMob,33919.0
2021-05-20,DE,AdMob,20932.0
2021-05-21,DE,AdMob,28836.0
2021-05-22,DE,AdMob,40235.0
2021-05-23,DE,AdMob,56675.0
2021-05-24,DE,AdMob,56386.0
2021-05-25,DE,AdMob,38016.0
2021-05-26,DE,AdMob,29804.0
2021-05-27,DE,AdMob,90370.0
2021-05-28,DE,AdMob,26507.0
2021-05-29,DE,AdMob,42557.0
2021-05-30,DE,AdMob,26864.0
2021-05-31,DE,AdMob,99144.0
2021-06-01,DE,AdMob,91716.0
2021-06-02,DE,AdMob,67984.0
2021-06-03,DE,AdMob,33875.0
2021-06-04,DE,AdMob,28900.0
2021-06-05,DE,AdMob,54083.0
2021-06-06,DE,AdMob,45458.0
2021-06-07,DE,AdMob,16556.0
2021-06-08,DE,AdMob,57031.0
2021-06-09,DE,AdMob,52194.0
2021-06-10,DE,AdMob,57562.0
2021-06-11,DE,AdMob,82480.0
2021-06-12,DE,AdMob,137097.0
2021-06-13,DE,AdMob,129160.0
2021-06-14,DE,AdMob,79570.0
2021-06-15,DE,AdMob,64774.0
2021-06-16,DE,AdMob,67921.0
2021-06-17,DE,AdMob,90155.0
2021-06-18,DE,AdMob,113738.0
2021-06-19,DE,AdMob,128830.0
2021-06-20,DE,AdMob,131897.0
2021-06-21,DE,AdMob,81427.0
2021-06-22,DE,AdMob,83639.0
2021-06-23,DE,AdMob,90981.0
2021-06-24,DE,AdMob,86635.0
2021-06-25,DE,AdMob,110165.0
2021-06-26,DE,AdMob,66920.0
2021-06-27,DE,AdMob,59397.0
2021-06-28,DE,AdMob,37601.0
2021-06-29,DE,AdMob,54300.0
2021-06-30,DE,AdMob,52034.0
2021-07-01,DE,AdMob,65546.0
2021-07-02,DE,AdMob,75194.0
2021-07-03,DE,AdMob,178739.0
2021-07-04,DE,AdMob,265198.0
2021-07-05,DE,AdMob,74419.0
2021-07-06,DE,AdMob,84315.0
2021-07-07,DE,AdMob,70340.0
2021-07-08,DE,AdMob,95857.0
2021-07-09,DE,AdMob,81406.0
2021-07-10,DE,AdMob,92562.0
2021-07-11,DE,AdMob,95987.0
2021-07-12,DE,AdMob,56722.0
2021-07-13,DE,AdMob,124351.0
2021-07-14,DE,AdMob,36131.0
2021-07-15,DE,AdMob,28019.0
2021-07-16,DE,AdMob,34550.0
2021-07-17,DE,AdMob,45345.0
2021-07-18,DE,AdMob,42337.0
2021-07-19,DE,AdMob,25154.0
2021-07-20,DE,AdMob,81200.0
2021-07-21,DE,AdMob,67048.0
2021-07-22,DE,AdMob,27566.0
2021-07-23,DE,AdMob,28629.0
2021-07-24,DE,AdMob,44802.0
2021-07-25,DE,AdMob,64996.0
2021-07-26,DE,AdMob,82656.0
2021-07-27,DE,AdMob,74689.0
2021-07-28,DE,AdMob,54321.0
2021-07-29,DE,AdMob,42368.0
2021-07-30,DE,AdMob,46375.0
2021-07-31,DE,AdMob,49484.0
2021-08-01,DE,AdMob,64477.0
2021-08-02,DE,AdMob,45736.0
2021-08-03,DE,AdMob,40502.0
2021-08-04,DE,AdMob,28519.0
2021-08-05,DE,AdMob,43821.0
2021-08-06,DE,AdMob,27571.0
2021-08-07,DE,AdMob,43839.0
2021-08-08,DE,AdMob,127986.0
2021-08-09,DE,AdMob,91104.0
2021-08-10,DE,AdMob,62546.0
2021-08-11,DE,AdMob,145993.0
2021-08-12,DE,AdMob,150291.0
2021-08-13,DE,AdMob,159021.0
2021-08-14,DE,AdMob,68953.0
2021-08-15,DE,AdMob,277106.0
