date,country,network,market_volume
2021-05-03,DE,AppLovin,345043.0
2021-05-04,DE,AppLovin,277405.0
2021-05-05,DE,AppLovin,270548.0
2021-05-06,DE,AppLovin,242274.0
2021-05-07,DE,AppLovin,427764.0
2021-05-08,DE,AppLovin,375837.0
2021-05-09,DE,AppLovin,320084.0
2021-05-10,DE,AppLovin,205539.0
2021-05-11,DE,AppLovin,255698.0
2021-05-12,DE,AppLovin,338454.0
2021-05-13,DE,AppLovin,292084.0
2021-05-14,DE,AppLovin,285710.0
2021-05-15,DE,AppLovin,261273.0
2021-05-16,DE,AppLovin,371856.0
2021-05-17,DE,AppLovin,258484.0
2021-05-18,DE,AppLovin,228284.0
2021-05-19,DE,AppLovin,239382.0
2021-05-20,DE,AppLovin,304186.0
2021-05-21,DE,AppLovin,399698.0
2021-05-22,DE,AppLovin,350720.0
2021-05-23,DE,AppLovin,437096.0
2021-05-24,DE,AppLovin,425837.0
2021-05-25,DE,AppLovin,278005.0
2021-05-26,DE,AppLovin,269821.0
2021-05-27,DE,AppLovin,289573.0
2021-05-28,DE,AppLovin,379494.0
2021-05-29,DE,AppLovin,403315.0
2021-05-30,DE,AppLovin,329127.0
2021-05-31,DE,AppLovin,167590.0
2021-06-01,DE,AppLovin,213232.0
2021-06-02,DE,AppLovin,195176.0
2021-06-03,DE,AppLovin,291081.0
2021-06-04,DE,AppLovin,237899.0
2021-06-05,DE,AppLovin,360287.0
2021-06-06,DE,AppLovin,472399.0
2021-06-07,DE,AppLovin,289099.0
2021-06-08,DE,AppLovin,199923.0
2021-06-09,DE,AppLovin,222655.0
2021-06-10,DE,AppLovin,204962.0
2021-06-11,DE,AppLovin,219329.0
2021-06-12,DE,AppLovin,388033.0
2021-06-13,DE,AppLovin,649937.0
2021-06-14,DE,AppLovin,418946.0
2021-06-15,DE,AppLovin,386069.0
2021-06-16,DE,AppLovin,325727.0
2021-06-17,DE,AppLovin,347139.0
2021-06-18,DE,AppLovin,269658.0
2021-06-19,DE,AppLovin,487191.0
2021-06-20,DE,AppLovin,546826.0
2021-06-21,DE,AppLovin,269785.0
2021-06-22,DE,AppLovin,340198.0
2021-06-23,DE,AppLovin,262803.0
2021-06-24,DE,AppLovin,322027.0
2021-06-25,DE,AppLovin,396173.0
2021-06-26,DE,AppLovin,612380.0
2021-06-27,DE,AppLovin,479066.0
2021-06-28,DE,AppLovin,317182.0
2021-06-29,DE,AppLovin,331599.0
2021-06-30,DE,AppLovin,286881.0
2021-07-01,DE,AppLovin,306037.0
2021-07-02,DE,AppLovin,308230.0
2021-07-03,DE,AppLovin,368729.0
2021-07-04,DE,AppLovin,419486.0
2021-07-05,DE,AppLovin,279003.0
2021-07-06,DE,AppLovin,233003.0
2021-07-07,DE,AppLovin,188693.0
2021-07-08,DE,AppLovin,174968.0
2021-07-09,DE,AppLovin,234731.0
2021-07-10,DE,AppLovin,362880.0
2021-07-11,DE,AppLovin,346063.0
2021-07-12,DE,AppLovin,240079.0
2021-07-13,DE,AppLovin,344674.0
2021-07-14,DE,AppLovin,261274.0
2021-07-15,DE,AppLovin,185522.0
2021-07-16,DE,AppLovin,207633.0
2021-07-17,DE,AppLovin,274379.0
2021-07-18,DE,AppLovin,301598.0
2021-07-19,DE,AppLovin,224635.0
2021-07-20,DE,AppLovin,210775.0
2021-07-21,DE,AppLovin,266379.0
2021-07-22,DE,AppLovin,231926.0
2021-07-23,DE,AppLovin,241350.0
2021-07-24,DE,AppLovin,225010.0
2021-07-25,DE,AppLovin,270650.0
2021-07-26,DE,AppLovin,191841.0
2021-07-27,DE,AppLovin,185617.0
2021-07-28,DE,AppLovin,157951.0
2021-07-29,DE,AppLovin,154258.0
2021-07-30,DE,AppLovin,153483.0
2021-07-31,DE,AppLovin,207775.0
2021-08-01,DE,AppLovin,215563.0
2021-08-02,DE,AppLovin,162648.0
2021-08-03,DE,AppLovin,159830.0
2021-08-04,DE,AppLovin,170956.0
2021-08-05,DE,AppLovin,225445.0
2021-08-06,DE,AppLovin,209884.0
2021-08-07,DE,AppLovin,257070.0
2021-08-08,DE,AppLovin,219868.0
2021-08-09,DE,AppLovin,165022.0
2021-08-10,DE,AppLovin,155457.0
2021-08-11,DE,AppLovin,192016.0
2021-08-12,DE,AppLovin,159505.0
2021-08-13,DE,AppLovin,194319.0
2021-08-14,DE,AppLovin,322170.0
2021-08-15,DE,AppLovin,328546.0
