date,country,network,market_volume
2021-05-03,DE,Chartboost,14680.0
2021-05-04,DE,Chartboost,13368.0
2021-05-05,DE,Chartboost,20668.0
2021-05-06,DE,Chartboost,27117.0
2021-05-07,DE,Chartboost,35407.0
2021-05-08,DE,Chartboost,26717.0
2021-05-09,DE,Chartboost,17216.0
2021-05-10,DE,Chartboost,14859.0
2021-05-11,DE,Chartboost,15364.0
2021-05-12,DE,Chartboost,13817.0
2021-05-13,DE,Chartboost,17534.0
2021-05-14,DE,Chartboost,16349.0
2021-05-15,DE,Chartboost,18180.0
2021-05-16,DE,Chartboost,17269.0
2021-05-17,DE,Chartboost,10104.0
2021-05-18,DE,Chartboost,9939.0
2021-05-19,DE,Chartboost,12922.0
2021-05-20,DE,Chartboost,12490.0
2021-05-21,DE,Chartboost,11660.0
2021-05-22,DE,Chartboost,14388.0
2021-05-23,DE,Chartboost,20391.0
2021-05-24,DE,Chartboost,17400.0
2021-05-25,DE,Chartboost,14635.0
2021-05-26,DE,Chartboost,10740.0
2021-05-27,DE,Chartboost,8636.0
2021-05-28,DE,Chartboost,10523.0
2021-05-29,DE,Chartboost,21595.0
2021-05-30,DE,Chartboost,10989.0
2021-05-31,DE,Chartboost,9190.0
2021-06-01,DE,Chartboost,7889.0
2021-06-02,DE,Chartboost,7711.0
2021-06-03,DE,Chartboost,8834.0
2021-06-04,DE,Chartboost,11416.0
2021-06-05,DE,Chartboost,14019.0
2021-06-06,DE,Chartboost,18220.0
2021-06-07,DE,Chartboost,9813.0
2021-06-08,DE,Chartboost,7872.0
2021-06-09,DE,Chartboost,5075.0
2021-06-10,DE,Chartboost,5308.0
2021-06-11,DE,Chartboost,8323.0
2021-06-12,DE,Chartboost,12995.0
2021-06-13,DE,Chartboost,16972.0
2021-06-14,DE,Chartboost,10849.0
2021-06-15,DE,Chartboost,9693.0
2021-06-16,DE,Chartboost,12058.0
2021-06-17,DE,Chartboost,13074.0
2021-06-18,DE,Chartboost,12274.0
2021-06-19,DE,Chartboost,17118.0
2021-06-20,DE,Chartboost,18814.0
2021-06-21,DE,Chartboost,17013.0
2021-06-22,DE,Chartboost,17964.0
2021-06-23,DE,Chartboost,11966.0
2021-06-24,DE,Chartboost,10983.0
2021-06-25,DE,Chartboost,9841.0
2021-06-26,DE,Chartboost,12904.0
2021-06-27,DE,Chartboost,11076.0
2021-06-28,DE,Chartboost,6370.0
2021-06-29,DE,Chartboost,8073.0
2021-06-30,DE,Chartboost,7243.0
2021-07-01,DE,Chartboost,6853.0
2021-07-02,DE,Chartboost,11334.0
2021-07-03,DE,Chartboost,11571.0
2021-07-04,DE,Chartboost,15920.0
2021-07-05,DE,Chartboost,11672.0
2021-07-06,DE,Chartboost,7119.0
2021-07-07,DE,Chartboost,6813.0
2021-07-08,DE,Chartboost,11372.0
2021-07-09,DE,Chartboost,13823.0
2021-07-10,DE,Chartboost,17924.0
2021-07-11,DE,Chartboost,30250.0
2021-07-12,DE,Chartboost,22027.0
2021-07-13,DE,Chartboost,13222.0
2021-07-14,DE,Chartboost,12081.0
2021-07-15,DE,Chartboost,10389.0
2021-07-16,DE,Chartboost,11579.0
2021-07-17,DE,Chartboost,17294.0
2021-07-18,DE,Chartboost,16817.0
2021-07-19,DE,Chartboost,11046.0
2021-07-20,DE,Chartboost,12062.0
2021-07-21,DE,Chartboost,7843.0
2021-07-22,DE,Chartboost,11052.0
2021-07-23,DE,Chartboost,10068.0
2021-07-24,DE,Chartboost,14244.0
2021-07-25,DE,Chartboost,15172.0
2021-07-26,DE,Chartboost,11432.0
2021-07-27,DE,Chartboost,8060.0
2021-07-28,DE,Chartboost,8101.0
2021-07-29,DE,Chartboost,11806.0
2021-07-30,DE,Chartboost,6986.0
2021-07-31,DE,Chartboost,9389.0
2021-08-01,DE,Chartboost,12795.0
2021-08-02,DE,Chartboost,7802.0
2021-08-03,DE,Chartboost,9300.0
2021-08-04,DE,Chartboost,8393.0
2021-08-05,DE,Chartboost,12926.0
2021-08-06,DE,Chartboost,9780.0
2021-08-07,DE,Chartboost,11807.0
2021-08-08,DE,Chartboost,14395.0
2021-08-09,DE,Chartboost,13746.0
2021-08-10,DE,Chartboost,15858.0
2021-08-11,DE,Chartboost,10035.0
2021-08-12,DE,Chartboost,11009.0
2021-08-13,DE,Chartboost,12847.0
2021-08-14,DE,Chartboost,11507.0
2021-08-15,DE,Chartboost,14035.0
