date,country,network,market_volume
2021-04-21,DE,IronSource,28631.0
2021-04-22,DE,IronSource,30627.0
2021-04-23,DE,IronSource,31631.0
2021-04-24,DE,IronSource,30773.0
2021-04-25,DE,IronSource,34830.0
2021-04-26,DE,IronSource,30191.0
2021-04-27,DE,IronSource,24377.0
2021-04-28,DE,IronSource,24278.0
2021-04-29,DE,IronSource,22743.0
2021-04-30,DE,IronSource,31016.0
2021-05-01,DE,IronSource,31326.0
2021-05-02,DE,IronSource,31563.0
2021-05-03,DE,IronSource,30043.0
2021-05-04,DE,IronSource,29461.0
2021-05-05,DE,IronSource,29144.0
2021-05-06,DE,IronSource,18796.0
2021-05-07,DE,IronSource,21099.0
2021-05-08,DE,IronSource,20661.0
2021-05-09,DE,IronSource,28253.0
2021-05-10,DE,IronSource,25863.0
2021-05-11,DE,IronSource,27981.0
2021-05-12,DE,IronSource,28624.0
2021-05-13,DE,IronSource,33733.0
2021-05-14,DE,IronSource,29650.0
2021-05-15,DE,IronSource,28447.0
2021-05-16,DE,IronSource,32545.0
2021-05-17,DE,IronSource,24099.0
2021-05-18,DE,IronSource,23328.0
2021-05-19,DE,IronSource,20536.0
2021-05-20,DE,IronSource,17181.0
2021-05-21,DE,IronSource,23080.0
2021-05-22,DE,IronSource,28020.0
2021-05-23,DE,IronSource,31288.0
2021-05-24,DE,IronSource,32311.0
2021-05-25,DE,IronSource,23248.0
2021-05-26,DE,IronSource,22924.0
2021-05-27,DE,IronSource,12940.0
2021-05-28,DE,IronSource,9697.0
2021-05-29,DE,IronSource,13600.0
2021-05-30,DE,IronSource,15501.0
2021-05-31,DE,IronSource,12042.0
2021-06-01,DE,IronSource,10486.0
2021-06-02,DE,IronSource,9663.0
2021-06-03,DE,IronSource,20816.0
2021-06-04,DE,IronSource,14433.0
2021-06-05,DE,IronSource,28362.0
2021-06-06,DE,IronSource,26085.0
2021-06-07,DE,IronSource,20464.0
2021-06-08,DE,IronSource,8754.0
2021-06-09,DE,IronSource,9648.0
2021-06-10,DE,IronSource,11944.0
2021-06-11,DE,IronSource,12658.0
2021-06-12,DE,IronSource,30564.0
2021-06-13,DE,IronSource,27651.0
2021-06-14,DE,IronSource,18158.0
2021-06-15,DE,IronSource,18943.0
2021-06-16,DE,IronSource,17209.0
2021-06-17,DE,IronSource,16074.0
2021-06-18,DE,IronSource,20073.0
2021-06-19,DE,IronSource,25164.0
2021-06-20,DE,IronSource,30049.0
2021-06-21,DE,IronSource,22358.0
2021-06-22,DE,IronSource,16518.0
2021-06-23,DE,IronSource,19219.0
2021-06-24,DE,IronSource,18854.0
2021-06-25,DE,IronSource,21314.0
2021-06-26,DE,IronSource,27674.0
2021-06-27,DE,IronSource,29180.0
2021-06-28,DE,IronSource,24495.0
2021-06-29,DE,IronSource,22418.0
2021-06-30,DE,IronSource,21610.0
2021-07-01,DE,IronSource,16511.0
2021-07-02,DE,IronSource,22298.0
2021-07-03,DE,IronSource,19868.0
2021-07-04,DE,IronSource,28563.0
2021-07-05,DE,IronSource,21473.0
2021-07-06,DE,IronSource,17393.0
2021-07-07,DE,IronSource,22815.0
2021-07-08,DE,IronSource,12829.0
2021-07-09,DE,IronSource,14645.0
2021-07-10,DE,IronSource,13921.0
2021-07-11,DE,IronSource,25203.0
2021-07-12,DE,IronSource,17196.0
2021-07-13,DE,IronSource,18790.0
2021-07-14,DE,IronSource,21803.0
2021-07-15,DE,IronSource,20641.0
2021-07-16,DE,IronSource,18890.0
2021-07-17,DE,IronSource,24124.0
2021-07-18,DE,IronSource,29643.0
2021-07-19,DE,IronSource,19466.0
2021-07-20,DE,IronSource,25568.0
2021-07-21,DE,IronSource,23203.0
2021-07-22,DE,IronSource,26850.0
2021-07-23,DE,IronSource,20395.0
2021-07-24,DE,IronSource,19802.0
2021-07-25,DE,IronSource,33577.0
2021-07-26,DE,IronSource,27926.0
2021-07-27,DE,IronSource,19627.0
2021-07-28,DE,IronSource,19755.0
2021-07-29,DE,IronSource,30862.0
2021-07-30,DE,IronSource,23338.0
2021-07-31,DE,IronSource,15614.0
2021-08-01,DE,IronSource,26065.0
2021-08-02,DE,IronSource,17185.0
2021-08-03,DE,IronSource,17576.0
2021-08-04,DE,IronSource,17495.0
2021-08-05,DE,IronSource,18375.0
2021-08-06,DE,IronSource,20872.0
2021-08-07,DE,IronSource,19414.0
2021-08-08,DE,IronSource,27243.0
2021-08-09,DE,IronSource,18773.0
2021-08-10,DE,IronSource,18082.0
2021-08-11,DE,IronSource,14635.0
2021-08-12,DE,IronSource,16123.0
2021-08-13,DE,IronSource,16407.0
2021-08-14,DE,IronSource,17504.0
2021-08-15,DE,IronSource,22984.0
