date,country,network,market_volume
2021-04-21,DE,Unity,74737.0
2021-04-22,DE,Unity,65723.0
2021-04-23,DE,Unity,70619.0
2021-04-24,DE,Unity,77627.0
2021-04-25,DE,Unity,65554.0
2021-04-26,DE,Unity,58414.0
2021-04-27,DE,Unity,47409.0
2021-04-28,DE,Unity,48630.0
2021-04-29,DE,Unity,45728.0
2021-04-30,DE,Unity,48558.0
2021-05-01,DE,Unity,63576.0
2021-05-02,DE,Unity,49210.0
2021-05-03,DE,Unity,38766.0
2021-05-04,DE,Unity,49096.0
2021-05-05,DE,Unity,44124.0
2021-05-06,DE,Unity,52315.0
2021-05-07,DE,Unity,63840.0
2021-05-08,DE,Unity,83078.0
2021-05-09,DE,Unity,55335.0
2021-05-10,DE,Unity,43580.0
2021-05-11,DE,Unity,44999.0
2021-05-12,DE,Unity,40963.0
2021-05-13,DE,Unity,37351.0
2021-05-14,DE,Unity,46695.0
2021-05-15,DE,Unity,36606.0
2021-05-16,DE,Unity,38517.0
2021-05-17,DE,Unity,27192.0
2021-05-18,DE,Unity,30894.0
2021-05-19,DE,Unity,24102.0
2021-05-20,DE,Unity,21703.0
2021-05-21,DE,Unity,27146.0
2021-05-22,DE,Unity,43306.0
2021-05-23,DE,Unity,21478.0
2021-05-24,DE,Unity,38881.0
2021-05-25,DE,Unity,33272.0
2021-05-26,DE,Unity,40208.0
2021-05-27,DE,Unity,74087.0
2021-05-28,DE,Unity,78613.0
2021-05-29,DE,Unity,75101.0
2021-05-30,DE,Unity,56098.0
2021-05-31,DE,Unity,45314.0
2021-06-01,DE,Unity,53290.0
2021-06-02,DE,Unity,43659.0
2021-06-03,DE,Unity,35967.0
2021-06-04,DE,Unity,71982.0
2021-06-05,DE,Unity,37820.0
2021-06-06,DE,Unity,46564.0
2021-06-07,DE,Unity,31904.0
2021-06-08,DE,Unity,57536.0
2021-06-09,DE,Unity,46401.0
2021-06-10,DE,Unity,40063.0
2021-06-11,DE,Unity,49782.0
2021-06-12,DE,Unity,30256.0
2021-06-13,DE,Unity,43065.0
2021-06-14,DE,Unity,36540.0
2021-06-15,DE,Unity,36847.0
2021-06-16,DE,Unity,34296.0
2021-06-17,DE,Unity,18040.0
2021-06-18,DE,Unity,30314.0
2021-06-19,DE,Unity,27849.0
2021-06-20,DE,Unity,41976.0
2021-06-21,DE,Unity,30616.0
2021-06-22,DE,Unity,23091.0
2021-06-23,DE,Unity,21928.0
2021-06-24,DE,Unity,28617.0
2021-06-25,DE,Unity,33756.0
2021-06-26,DE,Unity,49000.0
2021-06-27,DE,Unity,51540.0
2021-06-28,DE,Unity,43186.0
2021-06-29,DE,Unity,35996.0
2021-06-30,DE,Unity,30471.0
2021-07-01,DE,Unity,33458.0
2021-07-02,DE,Unity,40355.0
2021-07-03,DE,Unity,30137.0
2021-07-04,DE,Unity,54851.0
2021-07-05,DE,Unity,45933.0
2021-07-06,DE,Unity,37215.0
2021-07-07,DE,Unity,41009.0
2021-07-08,DE,Unity,79094.0
2021-07-09,DE,Unity,82948.0
2021-07-10,DE,Unity,98528.0
2021-07-11,DE,Unity,72311.0
2021-07-12,DE,Unity,48760.0
2021-07-13,DE,Unity,47797.0
2021-07-14,DE,Unity,62401.0
2021-07-15,DE,Unity,53362.0
2021-07-16,DE,Unity,56449.0
2021-07-17,DE,Unity,107217.0
2021-07-18,DE,Unity,146177.0
2021-07-19,DE,Unity,71808.0
2021-07-20,DE,Unity,61168.0
2021-07-21,DE,Unity,85920.0
2021-07-22,DE,Unity,95582.0
2021-07-23,DE,Unity,126059.0
2021-07-24,DE,Unity,108069.0
2021-07-25,DE,Unity,81388.0
2021-07-26,DE,Unity,44009.0
2021-07-27,DE,Unity,36572.0
2021-07-28,DE,Unity,44137.0
2021-07-29,DE,Unity,32319.0
2021-07-30,DE,Unity,53427.0
2021-07-31,DE,Unity,53492.0
2021-08-01,DE,Unity,32589.0
2021-08-02,DE,Unity,50841.0
2021-08-03,DE,Unity,49748.0
2021-08-04,DE,Unity,45550.0
2021-08-05,DE,Unity,49734.0
2021-08-06,DE,Unity,56705.0
2021-08-07,DE,Unity,29674.0
2021-08-08,DE,Unity,19177.0
2021-08-09,DE,Unity,41725.0
2021-08-10,DE,Unity,44586.0
2021-08-11,DE,Unity,42032.0
2021-08-12,DE,Unity,42143.0
2021-08-13,DE,Unity,43150.0
2021-08-14,DE,Unity,43942.0
2021-08-15,DE,Unity,45824.0
