date,country,network,market_volume
2021-05-03,DE,other,220671.0
2021-05-04,DE,other,408654.0
2021-05-05,DE,other,333085.0
2021-05-06,DE,other,306536.0
2021-05-07,DE,other,312105.0
2021-05-08,DE,other,382166.0
2021-05-09,DE,other,396236.0
2021-05-10,DE,other,249117.0
2021-05-11,DE,other,237289.0
2021-05-12,DE,other,255384.0
2021-05-13,DE,other,353228.0
2021-05-14,DE,other,283209.0
2021-05-15,DE,other,249273.0
2021-05-16,DE,other,362556.0
2021-05-17,DE,other,244806.0
2021-05-18,DE,other,211226.0
2021-05-19,DE,other,187582.0
2021-05-20,DE,other,198395.0
2021-05-21,DE,other,234270.0
2021-05-22,DE,other,279819.0
2021-05-23,DE,other,374835.0
2021-05-24,DE,other,285615.0
2021-05-25,DE,other,240550.0
2021-05-26,DE,other,254657.0
2021-05-27,DE,other,255646.0
2021-05-28,DE,other,235406.0
2021-05-29,DE,other,368465.0
2021-05-30,DE,other,292742.0
2021-05-31,DE,other,181215.0
2021-06-01,DE,other,212884.0
2021-06-02,DE,other,189714.0
2021-06-03,DE,other,265010.0
2021-06-04,DE,other,221747.0
2021-06-05,DE,other,312598.0
2021-06-06,DE,other,446535.0
2021-06-07,DE,other,196457.0
2021-06-08,DE,other,159161.0
2021-06-09,DE,other,151806.0
2021-06-10,DE,other,162062.0
2021-06-11,DE,other,171545.0
2021-06-12,DE,other,373250.0
2021-06-13,DE,other,416599.0
2021-06-14,DE,other,234421.0
2021-06-15,DE,other,241082.0
2021-06-16,DE,other,212802.0
2021-06-17,DE,other,171480.0
2021-06-18,DE,other,182734.0
2021-06-19,DE,other,250517.0
2021-06-20,DE,other,295508.0
2021-06-21,DE,other,175843.0
2021-06-22,DE,other,167457.0
2021-06-23,DE,other,146604.0
2021-06-24,DE,other,148852.0
2021-06-25,DE,other,164946.0
2021-06-26,DE,other,220486.0
2021-06-27,DE,other,237480.0
2021-06-28,DE,other,162908.0
2021-06-29,DE,other,155118.0
2021-06-30,DE,other,146198.0
2021-07-01,DE,other,177889.0
2021-07-02,DE,other,191440.0
2021-07-03,DE,other,255617.0
2021-07-04,DE,other,349706.0
2021-07-05,DE,other,159989.0
2021-07-06,DE,other,211379.0
2021-07-07,DE,other,158694.0
2021-07-08,DE,other,193757.0
2021-07-09,DE,other,204017.0
2021-07-10,DE,other,277162.0
2021-07-11,DE,other,231827.0
2021-07-12,DE,other,218801.0
2021-07-13,DE,other,177383.0
2021-07-14,DE,other,183154.0
2021-07-15,DE,other,170844.0
2021-07-16,DE,other,211322.0
2021-07-17,DE,other,255180.0
2021-07-18,DE,other,243754.0
2021-07-19,DE,other,163623.0
2021-07-20,DE,other,172838.0
2021-07-21,DE,other,173354.0
2021-07-22,DE,other,188513.0
2021-07-23,DE,other,203256.0
2021-07-24,DE,other,192072.0
2021-07-25,DE,other,278581.0
2021-07-26,DE,other,179349.0
2021-07-27,DE,other,180341.0
2021-07-28,DE,other,167518.0
2021-07-29,DE,other,196032.0
2021-07-30,DE,other,174251.0
2021-07-31,DE,other,257203.0
2021-08-01,DE,other,252620.0
2021-08-02,DE,other,241429.0
2021-08-03,DE,other,201066.0
2021-08-04,DE,other,205010.0
2021-08-05,DE,other,275316.0
2021-08-06,DE,other,222786.0
2021-08-07,DE,other,263006.0
2021-08-08,DE,other,269937.0
2021-08-09,DE,other,181960.0
2021-08-10,DE,other,186672.0
2021-08-11,DE,other,163796.0
2021-08-12,DE,other,165210.0
2021-08-13,DE,other,164339.0
2021-08-14,DE,other,198336.0
2021-08-15,DE,other,276087.0
