date,country,network,market_volume
2021-05-03,DE,AdMob,221644.0
2021-05-04,DE,AdMob,225981.0
2021-05-05,DE,AdMob,192383.0
2021-05-06,DE,AdMob,190189.0
2021-05-07,DE,AdMob,223651.0
2021-05-08,DE,AdMob,195604.0
2021-05-09,DE,AdMob,176649.0
2021-05-10,DE,AdMob,132854.0
2021-05-11,DE,AdMob,164940.0
2021-05-12,DE,AdMob,143302.0
2021-05-13,DE,AdMob,183023.0
2021-05-14,DE,AdMob,173732.0
2021-05-15,DE,AdMob,169773.0
2021-05-16,DE,AdMob,180744.0
2021-05-17,DE,AdMob,155644.0
2021-05-18,DE,AdMob,152370.0
2021-05-19,DE,AdMob,122100.0
2021-05-20,DE,AdMob,101903.0
2021-05-21,DE,AdMob,94245.0
2021-05-22,DE,AdMob,126537.0
2021-05-23,DE,AdMob,179418.0
2021-05-24,DE,AdMob,201309.0
2021-05-25,DE,AdMob,121226.0
2021-05-26,DE,AdMob,109945.0
2021-05-27,DE,AdMob,486026.0
2021-05-28,DE,AdMob,113704.0
2021-05-29,DE,AdMob,185399.0
2021-05-30,DE,AdMob,108262.0
2021-05-31,DE,AdMob,434929.0
2021-06-01,DE,AdMob,366157.0
2021-06-02,DE,AdMob,248804.0
2021-06-03,DE,AdMob,108247.0
2021-06-04,DE,AdMob,150248.0
2021-06-05,DE,AdMob,213953.0
2021-06-06,DE,AdMob,156013.0
2021-06-07,DE,AdMob,95100.0
2021-06-08,DE,AdMob,302138.0
2021-06-09,DE,AdMob,310600.0
2021-06-10,DE,AdMob,329631.0
2021-06-11,DE,AdMob,362448.0
2021-06-12,DE,AdMob,613403.0
2021-06-13,DE,AdMob,626074.0
2021-06-14,DE,AdMob,394096.0
2021-06-15,DE,AdMob,372733.0
2021-06-16,DE,AdMob,400469.0
2021-06-17,DE,AdMob,410308.0
2021-06-18,DE,AdMob,587507.0
2021-06-19,DE,AdMob,630775.0
2021-06-20,DE,AdMob,579197.0
2021-06-21,DE,AdMob,399110.0
2021-06-22,DE,AdMob,372760.0
2021-06-23,DE,AdMob,408588.0
2021-06-24,DE,AdMob,409810.0
2021-06-25,DE,AdMob,530337.0
2021-06-26,DE,AdMob,270234.0
2021-06-27,DE,AdMob,210471.0
2021-06-28,DE,AdMob,144409.0
2021-06-29,DE,AdMob,183466.0
2021-06-30,DE,AdMob,184531.0
2021-07-01,DE,AdMob,202354.0
2021-07-02,DE,AdMob,296845.0
2021-07-03,DE,AdMob,634400.0
2021-07-04,DE,AdMob,868996.0
2021-07-05,DE,AdMob,220005.0
2021-07-06,DE,AdMob,242581.0
2021-07-07,DE,AdMob,245198.0
2021-07-08,DE,AdMob,344398.0
2021-07-09,DE,AdMob,265669.0
2021-07-10,DE,AdMob,355052.0
2021-07-11,DE,AdMob,336020.0
2021-07-12,DE,AdMob,241858.0
2021-07-13,DE,AdMob,606572.0
2021-07-14,DE,AdMob,116649.0
2021-07-15,DE,AdMob,95629.0
2021-07-16,DE,AdMob,102076.0
2021-07-17,DE,AdMob,182803.0
2021-07-18,DE,AdMob,129333.0
2021-07-19,DE,AdMob,111283.0
2021-07-20,DE,AdMob,383243.0
2021-07-21,DE,AdMob,278248.0
2021-07-22,DE,AdMob,96252.0
2021-07-23,DE,AdMob,117636.0
2021-07-24,DE,AdMob,174803.0
2021-07-25,DE,AdMob,219011.0
2021-07-26,DE,AdMob,360308.0
2021-07-27,DE,AdMob,338081.0
2021-07-28,DE,AdMob,266786.0
2021-07-29,DE,AdMob,373720.0
2021-07-30,DE,AdMob,274682.0
2021-07-31,DE,AdMob,407221.0
2021-08-01,DE,AdMob,664860.0
2021-08-02,DE,AdMob,362184.0
2021-08-03,DE,AdMob,429822.0
2021-08-04,DE,AdMob,341945.0
2021-08-05,DE,AdMob,394398.0
2021-08-06,DE,AdMob,438862.0
2021-08-07,DE,AdMob,344514.0
2021-08-08,DE,AdMob,1567155.0
2021-08-09,DE,AdMob,1149159.0
2021-08-10,DE,AdMob,317497.0
2021-08-11,DE,AdMob,1204994.0
2021-08-12,DE,AdMob,1050060.0
2021-08-13,DE,AdMob,1183842.0
2021-08-14,DE,AdMob,563247.0
2021-08-15,DE,AdMob,1907581.0
