,date,country,platform,market_volume
0,2021-05-03,DE,Android,217183.5824135447
1,2021-05-04,DE,Android,226505.95705008472
2,2021-05-05,DE,Android,206719.21730187797
3,2021-05-06,DE,Android,186558.59715084994
4,2021-05-07,DE,Android,225209.21016757583
5,2021-05-08,DE,Android,236301.76385009574
6,2021-05-09,DE,Android,223996.74808243895
7,2021-05-10,DE,Android,168411.03305913744
8,2021-05-11,DE,Android,196932.76412465374
9,2021-05-12,DE,Android,200801.00242169717
10,2021-05-13,DE,Android,228730.19116188193
11,2021-05-14,DE,Android,204055.76646166467
12,2021-05-15,DE,Android,203612.03289665433
13,2021-05-16,DE,Android,258711.4848314822
14,2021-05-17,DE,Android,189280.62622930502
15,2021-05-18,DE,Android,177843.41286272136
16,2021-05-19,DE,Android,169318.96622356176
17,2021-05-20,DE,Android,164251.0341823516
18,2021-05-21,DE,Android,194154.9343403854
19,2021-05-22,DE,Android,231258.0469773883
20,2021-05-23,DE,Android,302853.56755933136
21,2021-05-24,DE,Android,273471.1757415598
22,2021-05-25,DE,Android,213476.98998061015
23,2021-05-26,DE,Android,232681.19837743638
24,2021-05-27,DE,Android,311120.11578667024
25,2021-05-28,DE,Android,196869.79050940857
26,2021-05-29,DE,Android,298033.6360268111
27,2021-05-30,DE,Android,195247.7863726588
28,2021-05-31,DE,Android,211492.71309166256
29,2021-06-01,DE,Android,234783.53225309643
30,2021-06-02,DE,Android,199712.12408268565
31,2021-06-03,DE,Android,186477.47892786152
32,2021-06-04,DE,Android,223551.02833018347
33,2021-06-05,DE,Android,261546.20639798892
34,2021-06-06,DE,Android,277106.9957306288
35,2021-06-07,DE,Android,178203.04046451618
36,2021-06-08,DE,Android,187060.15783070808
37,2021-06-09,DE,Android,195194.50101973093
38,2021-06-10,DE,Android,200245.9328834034
39,2021-06-11,DE,Android,236477.22293759242
40,2021-06-12,DE,Android,443067.1655759831
41,2021-06-13,DE,Android,551455.2068291759
42,2021-06-14,DE,Android,332111.48195254727
43,2021-06-15,DE,Android,298580.0849815075
44,2021-06-16,DE,Android,304381.12530955026
45,2021-06-17,DE,Android,297317.99078254437
46,2021-06-18,DE,Android,339418.5291158382
47,2021-06-19,DE,Android,486577.42146792286
48,2021-06-20,DE,Android,505654.02001694194
49,2021-06-21,DE,Android,304853.85381518095
50,2021-06-22,DE,Android,319393.041577384
51,2021-06-23,DE,Android,306216.3043094522
52,2021-06-24,DE,Android,295613.4697557543
53,2021-06-25,DE,Android,387235.09408489655
54,2021-06-26,DE,Android,417239.9630030719
55,2021-06-27,DE,Android,392423.50901082583
56,2021-06-28,DE,Android,274919.8000723757
57,2021-06-29,DE,Android,283440.5519023084
58,2021-06-30,DE,Android,262270.556370795
59,2021-07-01,DE,Android,272839.3962775682
60,2021-07-02,DE,Android,308432.2392387464
61,2021-07-03,DE,Android,464276.0238101459
62,2021-07-04,DE,Android,554129.7655228869
63,2021-07-05,DE,Android,252132.18845320368
64,2021-07-06,DE,Android,256035.5242739198
65,2021-07-07,DE,Android,223988.8477904923
66,2021-07-08,DE,Android,262276.24595732486
67,2021-07-09,DE,Android,243901.35298960737
68,2021-07-10,DE,Android,345477.33123199485
69,2021-07-11,DE,Android,377909.7461063776
70,2021-07-12,DE,Android,254197.5085231719
71,2021-07-13,DE,Android,389500.55660940375
72,2021-07-14,DE,Android,209139.74856135933
73,2021-07-15,DE,Android,180923.8948843962
74,2021-07-16,DE,Android,206909.3944366156
75,2021-07-17,DE,Android,262412.8997193439
76,2021-07-18,DE,Android,290932.9989520662
77,2021-07-19,DE,Android,191592.06482448554
78,2021-07-20,DE,Android,245367.8721254259
79,2021-07-21,DE,Android,255423.9892254953
80,2021-07-22,DE,Android,196645.70314946954
81,2021-07-23,DE,Android,230658.4729901216
82,2021-07-24,DE,Android,237637.15524064528
83,2021-07-25,DE,Android,292242.5777551546
84,2021-07-26,DE,Android,243969.23320029886
85,2021-07-27,DE,Android,211303.198601263
86,2021-07-28,DE,Android,194810.97887570327
87,2021-07-29,DE,Android,191357.44427361077
88,2021-07-30,DE,Android,226562.55698728646
89,2021-07-31,DE,Android,262323.5594916493
90,2021-08-01,DE,Android,324773.4749477418
91,2021-08-02,DE,Android,181565.53515931763
92,2021-08-03,DE,Android,187934.48086774812
93,2021-08-04,DE,Android,180627.28843152654
94,2021-08-05,DE,Android,238871.29710445547
95,2021-08-06,DE,Android,233757.76800953134
96,2021-08-07,DE,Android,280643.4391391441
97,2021-08-08,DE,Android,346753.7533648705
98,2021-08-09,DE,Android,261818.02298846142
99,2021-08-10,DE,Android,221125.8745298334
100,2021-08-11,DE,Android,336023.28380664147
101,2021-08-12,DE,Android,299647.43424192764
102,2021-08-13,DE,Android,370866.0686064728
103,2021-08-14,DE,Android,344473.13863943936
104,2021-08-15,DE,Android,539836.177185891
