date,country,network,market_volume
2021-05-03,DE,AppLovin,189352.0
2021-05-04,DE,AppLovin,194320.0
2021-05-05,DE,AppLovin,187672.0
2021-05-06,DE,AppLovin,178451.0
2021-05-07,DE,AppLovin,253906.0
2021-05-08,DE,AppLovin,268122.0
2021-05-09,DE,AppLovin,243090.0
2021-05-10,DE,AppLovin,141168.0
2021-05-11,DE,AppLovin,181832.0
2021-05-12,DE,AppLovin,193546.0
2021-05-13,DE,AppLovin,212138.0
2021-05-14,DE,AppLovin,205463.0
2021-05-15,DE,AppLovin,189937.0
2021-05-16,DE,AppLovin,285729.0
2021-05-17,DE,AppLovin,196952.0
2021-05-18,DE,AppLovin,168431.0
2021-05-19,DE,AppLovin,163696.0
2021-05-20,DE,AppLovin,139974.0
2021-05-21,DE,AppLovin,315896.0
2021-05-22,DE,AppLovin,244638.0
2021-05-23,DE,AppLovin,323211.0
2021-05-24,DE,AppLovin,307593.0
2021-05-25,DE,AppLovin,204089.0
2021-05-26,DE,AppLovin,194075.0
2021-05-27,DE,AppLovin,230021.0
2021-05-28,DE,AppLovin,232955.0
2021-05-29,DE,AppLovin,330785.0
2021-05-30,DE,AppLovin,228721.0
2021-05-31,DE,AppLovin,125197.0
2021-06-01,DE,AppLovin,155866.0
2021-06-02,DE,AppLovin,148217.0
2021-06-03,DE,AppLovin,206231.0
2021-06-04,DE,AppLovin,178581.0
2021-06-05,DE,AppLovin,286361.0
2021-06-06,DE,AppLovin,355096.0
2021-06-07,DE,AppLovin,219952.0
2021-06-08,DE,AppLovin,149406.0
2021-06-09,DE,AppLovin,172883.0
2021-06-10,DE,AppLovin,160031.0
2021-06-11,DE,AppLovin,162185.0
2021-06-12,DE,AppLovin,316032.0
2021-06-13,DE,AppLovin,566383.0
2021-06-14,DE,AppLovin,369071.0
2021-06-15,DE,AppLovin,327985.0
2021-06-16,DE,AppLovin,284167.0
2021-06-17,DE,AppLovin,301554.0
2021-06-18,DE,AppLovin,220866.0
2021-06-19,DE,AppLovin,426283.0
2021-06-20,DE,AppLovin,469199.0
2021-06-21,DE,AppLovin,227337.0
2021-06-22,DE,AppLovin,300655.0
2021-06-23,DE,AppLovin,220582.0
2021-06-24,DE,AppLovin,270498.0
2021-06-25,DE,AppLovin,353868.0
2021-06-26,DE,AppLovin,525461.0
2021-06-27,DE,AppLovin,398666.0
2021-06-28,DE,AppLovin,260083.0
2021-06-29,DE,AppLovin,276371.0
2021-06-30,DE,AppLovin,250805.0
2021-07-01,DE,AppLovin,264624.0
2021-07-02,DE,AppLovin,254190.0
2021-07-03,DE,AppLovin,311703.0
2021-07-04,DE,AppLovin,373098.0
2021-07-05,DE,AppLovin,257919.0
2021-07-06,DE,AppLovin,198332.0
2021-07-07,DE,AppLovin,161278.0
2021-07-08,DE,AppLovin,141952.0
2021-07-09,DE,AppLovin,200983.0
2021-07-10,DE,AppLovin,301936.0
2021-07-11,DE,AppLovin,297468.0
2021-07-12,DE,AppLovin,197024.0
2021-07-13,DE,AppLovin,308770.0
2021-07-14,DE,AppLovin,229948.0
2021-07-15,DE,AppLovin,158116.0
2021-07-16,DE,AppLovin,156478.0
2021-07-17,DE,AppLovin,205173.0
2021-07-18,DE,AppLovin,256521.0
2021-07-19,DE,AppLovin,175616.0
2021-07-20,DE,AppLovin,175326.0
2021-07-21,DE,AppLovin,204753.0
2021-07-22,DE,AppLovin,177573.0
2021-07-23,DE,AppLovin,175118.0
2021-07-24,DE,AppLovin,165308.0
2021-07-25,DE,AppLovin,218010.0
2021-07-26,DE,AppLovin,135352.0
2021-07-27,DE,AppLovin,131821.0
2021-07-28,DE,AppLovin,104164.0
2021-07-29,DE,AppLovin,103725.0
2021-07-30,DE,AppLovin,101699.0
2021-07-31,DE,AppLovin,149346.0
2021-08-01,DE,AppLovin,172104.0
2021-08-02,DE,AppLovin,128575.0
2021-08-03,DE,AppLovin,126013.0
2021-08-04,DE,AppLovin,122563.0
2021-08-05,DE,AppLovin,169025.0
2021-08-06,DE,AppLovin,178387.0
2021-08-07,DE,AppLovin,195613.0
2021-08-08,DE,AppLovin,175491.0
2021-08-09,DE,AppLovin,109756.0
2021-08-10,DE,AppLovin,125590.0
2021-08-11,DE,AppLovin,143173.0
2021-08-12,DE,AppLovin,111645.0
2021-08-13,DE,AppLovin,137850.0
2021-08-14,DE,AppLovin,258952.0
2021-08-15,DE,AppLovin,257651.0
