date,country,network,market_volume
2021-05-03,DE,Chartboost,122152.0
2021-05-04,DE,Chartboost,92499.0
2021-05-05,DE,Chartboost,119564.0
2021-05-06,DE,Chartboost,113165.0
2021-05-07,DE,Chartboost,118139.0
2021-05-08,DE,Chartboost,133543.0
2021-05-09,DE,Chartboost,135084.0
2021-05-10,DE,Chartboost,97460.0
2021-05-11,DE,Chartboost,111193.0
2021-05-12,DE,Chartboost,116363.0
2021-05-13,DE,Chartboost,158312.0
2021-05-14,DE,Chartboost,102101.0
2021-05-15,DE,Chartboost,119967.0
2021-05-16,DE,Chartboost,160919.0
2021-05-17,DE,Chartboost,90799.0
2021-05-18,DE,Chartboost,100803.0
2021-05-19,DE,Chartboost,111694.0
2021-05-20,DE,Chartboost,85347.0
2021-05-21,DE,Chartboost,126112.0
2021-05-22,DE,Chartboost,149187.0
2021-05-23,DE,Chartboost,194211.0
2021-05-24,DE,Chartboost,187673.0
2021-05-25,DE,Chartboost,146409.0
2021-05-26,DE,Chartboost,113663.0
2021-05-27,DE,Chartboost,154317.0
2021-05-28,DE,Chartboost,89412.0
2021-05-29,DE,Chartboost,144443.0
2021-05-30,DE,Chartboost,103097.0
2021-05-31,DE,Chartboost,72450.0
2021-06-01,DE,Chartboost,108117.0
2021-06-02,DE,Chartboost,100118.0
2021-06-03,DE,Chartboost,169663.0
2021-06-04,DE,Chartboost,157393.0
2021-06-05,DE,Chartboost,165831.0
2021-06-06,DE,Chartboost,155285.0
2021-06-07,DE,Chartboost,103945.0
2021-06-08,DE,Chartboost,71795.0
2021-06-09,DE,Chartboost,66919.0
2021-06-10,DE,Chartboost,77726.0
2021-06-11,DE,Chartboost,101687.0
2021-06-12,DE,Chartboost,190920.0
2021-06-13,DE,Chartboost,237079.0
2021-06-14,DE,Chartboost,138533.0
2021-06-15,DE,Chartboost,79429.0
2021-06-16,DE,Chartboost,160050.0
2021-06-17,DE,Chartboost,90324.0
2021-06-18,DE,Chartboost,100398.0
2021-06-19,DE,Chartboost,155646.0
2021-06-20,DE,Chartboost,164940.0
2021-06-21,DE,Chartboost,187864.0
2021-06-22,DE,Chartboost,150996.0
2021-06-23,DE,Chartboost,99919.0
2021-06-24,DE,Chartboost,88130.0
2021-06-25,DE,Chartboost,109664.0
2021-06-26,DE,Chartboost,133806.0
2021-06-27,DE,Chartboost,117769.0
2021-06-28,DE,Chartboost,106484.0
2021-06-29,DE,Chartboost,142577.0
2021-06-30,DE,Chartboost,141350.0
2021-07-01,DE,Chartboost,96476.0
2021-07-02,DE,Chartboost,104780.0
2021-07-03,DE,Chartboost,121974.0
2021-07-04,DE,Chartboost,165856.0
2021-07-05,DE,Chartboost,114498.0
2021-07-06,DE,Chartboost,100633.0
2021-07-07,DE,Chartboost,109123.0
2021-07-08,DE,Chartboost,102466.0
2021-07-09,DE,Chartboost,97327.0
2021-07-10,DE,Chartboost,140291.0
2021-07-11,DE,Chartboost,266897.0
2021-07-12,DE,Chartboost,153724.0
2021-07-13,DE,Chartboost,159891.0
2021-07-14,DE,Chartboost,107780.0
2021-07-15,DE,Chartboost,88390.0
2021-07-16,DE,Chartboost,105880.0
2021-07-17,DE,Chartboost,138193.0
2021-07-18,DE,Chartboost,124717.0
2021-07-19,DE,Chartboost,107133.0
2021-07-20,DE,Chartboost,91765.0
2021-07-21,DE,Chartboost,96649.0
2021-07-22,DE,Chartboost,112960.0
2021-07-23,DE,Chartboost,109848.0
2021-07-24,DE,Chartboost,131895.0
2021-07-25,DE,Chartboost,131056.0
2021-07-26,DE,Chartboost,136982.0
2021-07-27,DE,Chartboost,106318.0
2021-07-28,DE,Chartboost,103685.0
2021-07-29,DE,Chartboost,125544.0
2021-07-30,DE,Chartboost,98954.0
2021-07-31,DE,Chartboost,134223.0
2021-08-01,DE,Chartboost,265442.0
2021-08-02,DE,Chartboost,120306.0
2021-08-03,DE,Chartboost,131764.0
2021-08-04,DE,Chartboost,125641.0
2021-08-05,DE,Chartboost,112912.0
2021-08-06,DE,Chartboost,129864.0
2021-08-07,DE,Chartboost,130305.0
2021-08-08,DE,Chartboost,138985.0
2021-08-09,DE,Chartboost,184022.0
2021-08-10,DE,Chartboost,109981.0
2021-08-11,DE,Chartboost,146571.0
2021-08-12,DE,Chartboost,126114.0
2021-08-13,DE,Chartboost,159391.0
2021-08-14,DE,Chartboost,182499.0
2021-08-15,DE,Chartboost,251297.0
