date,country,network,market_volume
2021-05-03,DE,Facebook,56326.0
2021-05-04,DE,Facebook,61145.0
2021-05-05,DE,Facebook,58598.0
2021-05-06,DE,Facebook,45236.0
2021-05-07,DE,Facebook,64116.0
2021-05-08,DE,Facebook,70996.0
2021-05-09,DE,Facebook,64073.0
2021-05-10,DE,Facebook,51924.0
2021-05-11,DE,Facebook,59878.0
2021-05-12,DE,Facebook,55996.0
2021-05-13,DE,Facebook,62509.0
2021-05-14,DE,Facebook,57883.0
2021-05-15,DE,Facebook,58597.0
2021-05-16,DE,Facebook,80385.0
2021-05-17,DE,Facebook,60701.0
2021-05-18,DE,Facebook,60005.0
2021-05-19,DE,Facebook,55688.0
2021-05-20,DE,Facebook,59398.0
2021-05-21,DE,Facebook,54255.0
2021-05-22,DE,Facebook,75676.0
2021-05-23,DE,Facebook,108288.0
2021-05-24,DE,Facebook,79983.0
2021-05-25,DE,Facebook,67815.0
2021-05-26,DE,Facebook,87251.0
2021-05-27,DE,Facebook,85077.0
2021-05-28,DE,Facebook,60407.0
2021-05-29,DE,Facebook,80310.0
2021-05-30,DE,Facebook,55288.0
2021-05-31,DE,Facebook,41012.0
2021-06-01,DE,Facebook,51465.0
2021-06-02,DE,Facebook,46603.0
2021-06-03,DE,Facebook,45034.0
2021-06-04,DE,Facebook,80336.0
2021-06-05,DE,Facebook,76905.0
2021-06-06,DE,Facebook,86697.0
2021-06-07,DE,Facebook,59763.0
2021-06-08,DE,Facebook,37065.0
2021-06-09,DE,Facebook,44632.0
2021-06-10,DE,Facebook,48484.0
2021-06-11,DE,Facebook,51430.0
2021-06-12,DE,Facebook,122426.0
2021-06-13,DE,Facebook,156105.0
2021-06-14,DE,Facebook,86489.0
2021-06-15,DE,Facebook,75432.0
2021-06-16,DE,Facebook,80625.0
2021-06-17,DE,Facebook,65126.0
2021-06-18,DE,Facebook,74590.0
2021-06-19,DE,Facebook,136082.0
2021-06-20,DE,Facebook,136110.0
2021-06-21,DE,Facebook,77849.0
2021-06-22,DE,Facebook,81767.0
2021-06-23,DE,Facebook,89392.0
2021-06-24,DE,Facebook,70390.0
2021-06-25,DE,Facebook,112537.0
2021-06-26,DE,Facebook,133222.0
2021-06-27,DE,Facebook,122674.0
2021-06-28,DE,Facebook,95082.0
2021-06-29,DE,Facebook,97749.0
2021-06-30,DE,Facebook,87447.0
2021-07-01,DE,Facebook,93682.0
2021-07-02,DE,Facebook,112222.0
2021-07-03,DE,Facebook,144519.0
2021-07-04,DE,Facebook,110769.0
2021-07-05,DE,Facebook,71154.0
2021-07-06,DE,Facebook,66370.0
2021-07-07,DE,Facebook,57979.0
2021-07-08,DE,Facebook,65707.0
2021-07-09,DE,Facebook,61175.0
2021-07-10,DE,Facebook,96859.0
2021-07-11,DE,Facebook,85785.0
2021-07-12,DE,Facebook,67477.0
2021-07-13,DE,Facebook,64700.0
2021-07-14,DE,Facebook,50765.0
2021-07-15,DE,Facebook,51666.0
2021-07-16,DE,Facebook,67936.0
2021-07-17,DE,Facebook,67685.0
2021-07-18,DE,Facebook,66885.0
2021-07-19,DE,Facebook,44752.0
2021-07-20,DE,Facebook,66289.0
2021-07-21,DE,Facebook,72377.0
2021-07-22,DE,Facebook,51892.0
2021-07-23,DE,Facebook,86631.0
2021-07-24,DE,Facebook,75118.0
2021-07-25,DE,Facebook,84183.0
2021-07-26,DE,Facebook,65218.0
2021-07-27,DE,Facebook,64914.0
2021-07-28,DE,Facebook,68777.0
2021-07-29,DE,Facebook,65823.0
2021-07-30,DE,Facebook,102101.0
2021-07-31,DE,Facebook,107746.0
2021-08-01,DE,Facebook,119471.0
2021-08-02,DE,Facebook,53651.0
2021-08-03,DE,Facebook,63333.0
2021-08-04,DE,Facebook,72573.0
2021-08-05,DE,Facebook,103671.0
2021-08-06,DE,Facebook,91032.0
2021-08-07,DE,Facebook,128226.0
2021-08-08,DE,Facebook,101083.0
2021-08-09,DE,Facebook,75491.0
2021-08-10,DE,Facebook,86768.0
2021-08-11,DE,Facebook,72558.0
2021-08-12,DE,Facebook,55696.0
2021-08-13,DE,Facebook,77491.0
2021-08-14,DE,Facebook,117424.0
2021-08-15,DE,Facebook,83658.0
