date,country,network,market_volume
2021-04-21,DE,IronSource,8893.0
2021-04-22,DE,IronSource,7449.0
2021-04-23,DE,IronSource,7292.0
2021-04-24,DE,IronSource,10521.0
2021-04-25,DE,IronSource,10790.0
2021-04-26,DE,IronSource,8525.0
2021-04-27,DE,IronSource,6694.0
2021-04-28,DE,IronSource,6072.0
2021-04-29,DE,IronSource,6337.0
2021-04-30,DE,IronSource,8098.0
2021-05-01,DE,IronSource,10646.0
2021-05-02,DE,IronSource,11624.0
2021-05-03,DE,IronSource,7930.0
2021-05-04,DE,IronSource,7205.0
2021-05-05,DE,IronSource,6642.0
2021-05-09,DE,IronSource,9853.0
2021-05-10,DE,IronSource,7386.0
2021-05-11,DE,IronSource,7993.0
2021-05-12,DE,IronSource,11568.0
2021-05-13,DE,IronSource,10755.0
2021-05-14,DE,IronSource,13583.0
2021-05-15,DE,IronSource,10643.0
2021-05-16,DE,IronSource,16232.0
2021-05-17,DE,IronSource,10130.0
2021-05-18,DE,IronSource,8621.0
2021-05-19,DE,IronSource,8059.0
2021-05-20,DE,IronSource,6351.0
2021-05-21,DE,IronSource,9072.0
2021-05-22,DE,IronSource,12381.0
2021-05-23,DE,IronSource,9951.0
2021-05-24,DE,IronSource,10123.0
2021-05-25,DE,IronSource,6512.0
2021-05-26,DE,IronSource,8453.0
2021-06-03,DE,IronSource,6783.0
2021-06-05,DE,IronSource,11110.0
2021-06-06,DE,IronSource,8681.0
2021-06-07,DE,IronSource,8224.0
2021-06-12,DE,IronSource,14127.0
2021-06-13,DE,IronSource,11354.0
2021-06-14,DE,IronSource,5780.0
2021-06-15,DE,IronSource,6193.0
2021-06-16,DE,IronSource,7268.0
2021-06-17,DE,IronSource,5595.0
2021-06-18,DE,IronSource,8064.0
2021-06-19,DE,IronSource,11557.0
2021-06-20,DE,IronSource,12323.0
2021-06-21,DE,IronSource,6300.0
2021-06-22,DE,IronSource,6572.0
2021-06-23,DE,IronSource,7374.0
2021-06-24,DE,IronSource,7349.0
2021-06-25,DE,IronSource,11572.0
2021-06-26,DE,IronSource,16299.0
2021-06-27,DE,IronSource,13259.0
2021-06-28,DE,IronSource,14404.0
2021-06-29,DE,IronSource,14288.0
2021-06-30,DE,IronSource,10799.0
2021-07-01,DE,IronSource,5601.0
2021-07-02,DE,IronSource,6301.0
2021-07-03,DE,IronSource,6796.0
2021-07-04,DE,IronSource,9744.0
2021-07-05,DE,IronSource,7297.0
2021-07-06,DE,IronSource,5650.0
2021-07-07,DE,IronSource,6103.0
2021-07-11,DE,IronSource,7127.0
2021-07-12,DE,IronSource,4221.0
2021-07-13,DE,IronSource,4064.0
2021-07-14,DE,IronSource,5290.0
2021-07-15,DE,IronSource,4777.0
2021-07-16,DE,IronSource,5095.0
2021-07-17,DE,IronSource,8367.0
2021-07-18,DE,IronSource,12581.0
2021-07-19,DE,IronSource,6996.0
2021-07-20,DE,IronSource,6962.0
2021-07-21,DE,IronSource,7199.0
2021-07-22,DE,IronSource,11895.0
2021-07-25,DE,IronSource,11040.0
2021-07-26,DE,IronSource,5802.0
2021-07-29,DE,IronSource,9962.0
2021-08-01,DE,IronSource,7161.0
2021-08-08,DE,IronSource,8175.0
