date,country,network,market_volume
2021-05-03,DE,Unity,25500.0
2021-05-04,DE,Unity,26898.0
2021-05-05,DE,Unity,24098.0
2021-05-06,DE,Unity,24400.0
2021-05-07,DE,Unity,30030.0
2021-05-08,DE,Unity,31724.0
2021-05-09,DE,Unity,32983.0
2021-05-10,DE,Unity,27321.0
2021-05-11,DE,Unity,31728.0
2021-05-12,DE,Unity,30710.0
2021-05-13,DE,Unity,27437.0
2021-05-14,DE,Unity,29132.0
2021-05-15,DE,Unity,23891.0
2021-05-16,DE,Unity,31634.0
2021-05-17,DE,Unity,19889.0
2021-05-18,DE,Unity,16990.0
2021-05-19,DE,Unity,19329.0
2021-05-20,DE,Unity,17983.0
2021-05-21,DE,Unity,20944.0
2021-05-22,DE,Unity,28033.0
2021-05-23,DE,Unity,16597.0
2021-05-24,DE,Unity,31437.0
2021-05-25,DE,Unity,27176.0
2021-05-26,DE,Unity,28504.0
2021-05-27,DE,Unity,37415.0
2021-05-28,DE,Unity,32182.0
2021-05-29,DE,Unity,47569.0
2021-05-30,DE,Unity,27611.0
2021-05-31,DE,Unity,22954.0
2021-06-01,DE,Unity,24188.0
2021-06-02,DE,Unity,24161.0
2021-06-03,DE,Unity,36854.0
2021-06-04,DE,Unity,44436.0
2021-06-05,DE,Unity,36286.0
2021-06-06,DE,Unity,57121.0
2021-06-07,DE,Unity,31556.0
2021-06-08,DE,Unity,25997.0
2021-06-09,DE,Unity,23784.0
2021-06-10,DE,Unity,22961.0
2021-06-11,DE,Unity,22780.0
2021-06-12,DE,Unity,28281.0
2021-06-13,DE,Unity,73528.0
2021-06-14,DE,Unity,48211.0
2021-06-15,DE,Unity,45082.0
2021-06-16,DE,Unity,42653.0
2021-06-17,DE,Unity,28700.0
2021-06-18,DE,Unity,42235.0
2021-06-19,DE,Unity,52274.0
2021-06-20,DE,Unity,67548.0
2021-06-21,DE,Unity,43278.0
2021-06-22,DE,Unity,33929.0
2021-06-23,DE,Unity,34563.0
2021-06-24,DE,Unity,36393.0
2021-06-25,DE,Unity,43161.0
2021-06-26,DE,Unity,54364.0
2021-06-27,DE,Unity,61613.0
2021-06-28,DE,Unity,42022.0
2021-06-29,DE,Unity,33543.0
2021-06-30,DE,Unity,35827.0
2021-07-01,DE,Unity,44257.0
2021-07-02,DE,Unity,45578.0
2021-07-03,DE,Unity,53601.0
2021-07-04,DE,Unity,76237.0
2021-07-05,DE,Unity,44671.0
2021-07-06,DE,Unity,43110.0
2021-07-07,DE,Unity,40649.0
2021-07-08,DE,Unity,49991.0
2021-07-09,DE,Unity,56809.0
2021-07-10,DE,Unity,72572.0
2021-07-11,DE,Unity,98296.0
2021-07-12,DE,Unity,55412.0
2021-07-13,DE,Unity,49905.0
2021-07-14,DE,Unity,47602.0
2021-07-15,DE,Unity,50344.0
2021-07-16,DE,Unity,50021.0
2021-07-17,DE,Unity,77316.0
2021-07-18,DE,Unity,97444.0
2021-07-19,DE,Unity,55847.0
2021-07-20,DE,Unity,43614.0
2021-07-21,DE,Unity,51593.0
2021-07-22,DE,Unity,49243.0
2021-07-23,DE,Unity,47303.0
2021-07-24,DE,Unity,49516.0
2021-07-25,DE,Unity,67250.0
2021-07-26,DE,Unity,38875.0
2021-07-27,DE,Unity,22778.0
2021-07-28,DE,Unity,24296.0
2021-07-29,DE,Unity,21049.0
2021-07-30,DE,Unity,19676.0
2021-07-31,DE,Unity,25550.0
2021-08-01,DE,Unity,36588.0
2021-08-02,DE,Unity,22250.0
2021-08-03,DE,Unity,21976.0
2021-08-04,DE,Unity,22861.0
2021-08-05,DE,Unity,18291.0
2021-08-06,DE,Unity,24395.0
2021-08-07,DE,Unity,19012.0
2021-08-08,DE,Unity,20509.0
2021-08-09,DE,Unity,17194.0
2021-08-10,DE,Unity,18281.0
2021-08-11,DE,Unity,15758.0
2021-08-12,DE,Unity,15104.0
2021-08-13,DE,Unity,17905.0
2021-08-14,DE,Unity,17230.0
2021-08-15,DE,Unity,20853.0
