date,country,network,market_volume
2021-04-21,DE,other,117267.0
2021-04-22,DE,other,129393.0
2021-04-23,DE,other,124129.0
2021-04-24,DE,other,171875.0
2021-04-25,DE,other,142833.0
2021-04-26,DE,other,140579.0
2021-04-27,DE,other,114990.0
2021-04-28,DE,other,124208.0
2021-04-29,DE,other,120971.0
2021-04-30,DE,other,129263.0
2021-05-01,DE,other,141925.0
2021-05-02,DE,other,159708.0
2021-05-03,DE,other,129677.0
2021-05-04,DE,other,162793.0
2021-05-05,DE,other,136188.0
2021-05-06,DE,other,145824.0
2021-05-07,DE,other,138862.0
2021-05-08,DE,other,227157.0
2021-05-09,DE,other,142211.0
2021-05-10,DE,other,85567.0
2021-05-11,DE,other,89445.0
2021-05-12,DE,other,98721.0
2021-05-13,DE,other,128956.0
2021-05-14,DE,other,130069.0
2021-05-15,DE,other,124532.0
2021-05-16,DE,other,113570.0
2021-05-17,DE,other,84876.0
2021-05-18,DE,other,123838.0
2021-05-19,DE,other,62364.0
2021-05-20,DE,other,63419.0
2021-05-21,DE,other,92666.0
2021-05-22,DE,other,151216.0
2021-05-23,DE,other,124359.0
2021-05-24,DE,other,112751.0
2021-05-25,DE,other,99963.0
2021-05-26,DE,other,111760.0
2021-05-27,DE,other,161814.0
2021-05-28,DE,other,199368.0
2021-05-29,DE,other,184014.0
2021-05-30,DE,other,152008.0
2021-05-31,DE,other,127054.0
2021-06-01,DE,other,143888.0
2021-06-02,DE,other,123967.0
2021-06-03,DE,other,69216.0
2021-06-04,DE,other,113747.0
2021-06-05,DE,other,92042.0
2021-06-06,DE,other,76608.0
2021-06-07,DE,other,60943.0
2021-06-08,DE,other,144637.0
2021-06-09,DE,other,122095.0
2021-06-10,DE,other,113113.0
2021-06-11,DE,other,196832.0
2021-06-12,DE,other,141685.0
2021-06-13,DE,other,117989.0
2021-06-14,DE,other,86286.0
2021-06-15,DE,other,89797.0
2021-06-16,DE,other,94400.0
2021-06-17,DE,other,77790.0
2021-06-18,DE,other,112685.0
2021-06-19,DE,other,97618.0
2021-06-20,DE,other,99634.0
2021-06-21,DE,other,63960.0
2021-06-22,DE,other,63631.0
2021-06-23,DE,other,68230.0
2021-06-24,DE,other,87425.0
2021-06-25,DE,other,101285.0
2021-06-26,DE,other,110067.0
2021-06-27,DE,other,101869.0
2021-06-28,DE,other,88983.0
2021-06-29,DE,other,98250.0
2021-06-30,DE,other,70510.0
2021-07-01,DE,other,68978.0
2021-07-02,DE,other,76260.0
2021-07-03,DE,other,87086.0
2021-07-04,DE,other,130141.0
2021-07-05,DE,other,86303.0
2021-07-06,DE,other,70942.0
2021-07-07,DE,other,70240.0
2021-07-08,DE,other,115034.0
2021-07-09,DE,other,104969.0
2021-07-10,DE,other,129228.0
2021-07-11,DE,other,80784.0
2021-07-12,DE,other,59279.0
2021-07-13,DE,other,80323.0
2021-07-14,DE,other,87929.0
2021-07-15,DE,other,60731.0
2021-07-16,DE,other,78397.0
2021-07-17,DE,other,110213.0
2021-07-18,DE,other,143334.0
2021-07-19,DE,other,82953.0
2021-07-20,DE,other,101006.0
2021-07-21,DE,other,124241.0
2021-07-22,DE,other,145791.0
2021-07-23,DE,other,208094.0
2021-07-24,DE,other,177899.0
2021-07-25,DE,other,122780.0
2021-07-26,DE,other,86665.0
2021-07-27,DE,other,131363.0
2021-07-28,DE,other,104865.0
2021-07-29,DE,other,85207.0
2021-07-30,DE,other,155180.0
2021-07-31,DE,other,169329.0
2021-08-01,DE,other,87371.0
2021-08-02,DE,other,157841.0
2021-08-03,DE,other,144808.0
2021-08-04,DE,other,136954.0
2021-08-05,DE,other,250889.0
2021-08-06,DE,other,206884.0
2021-08-07,DE,other,150918.0
2021-08-08,DE,other,83665.0
2021-08-09,DE,other,157194.0
2021-08-10,DE,other,222559.0
2021-08-11,DE,other,248212.0
2021-08-12,DE,other,231518.0
2021-08-13,DE,other,222339.0
2021-08-14,DE,other,387861.0
2021-08-15,DE,other,382306.0
