date,country,network,market_volume
2021-05-03,DE,AdMob,658908.0
2021-05-04,DE,AdMob,431005.0
2021-05-05,DE,AdMob,763102.0
2021-05-06,DE,AdMob,395595.0
2021-05-07,DE,AdMob,904978.0
2021-05-08,DE,AdMob,822053.0
2021-05-09,DE,AdMob,829817.0
2021-05-10,DE,AdMob,664016.0
2021-05-11,DE,AdMob,1151385.0
2021-05-12,DE,AdMob,611508.0
2021-05-13,DE,AdMob,733566.0
2021-05-14,DE,AdMob,579878.0
2021-05-15,DE,AdMob,656113.0
2021-05-16,DE,AdMob,903510.0
2021-05-17,DE,AdMob,938854.0
2021-05-18,DE,AdMob,1520020.0
2021-05-19,DE,AdMob,1334433.0
2021-05-20,DE,AdMob,155388.0
2021-05-21,DE,AdMob,182536.0
2021-05-22,DE,AdMob,360748.0
2021-05-23,DE,AdMob,451708.0
2021-05-24,DE,AdMob,583523.0
2021-05-25,DE,AdMob,238041.0
2021-05-26,DE,AdMob,395616.0
2021-05-27,DE,AdMob,133339.0
2021-05-28,DE,AdMob,242724.0
2021-05-29,DE,AdMob,204008.0
2021-05-30,DE,AdMob,163707.0
2021-05-31,DE,AdMob,93666.0
2021-06-01,DE,AdMob,167615.0
2021-06-02,DE,AdMob,264329.0
2021-06-03,DE,AdMob,155418.0
2021-06-04,DE,AdMob,137435.0
2021-06-05,DE,AdMob,238537.0
2021-06-06,DE,AdMob,187180.0
2021-06-07,DE,AdMob,25597.0
2021-06-08,DE,AdMob,32112.0
2021-06-09,DE,AdMob,9387.0
2021-06-10,DE,AdMob,12890.0
2021-06-11,DE,AdMob,76878.0
2021-06-12,DE,AdMob,319378.0
2021-06-13,DE,AdMob,353512.0
2021-06-14,DE,AdMob,83067.0
2021-06-15,DE,AdMob,107679.0
2021-06-16,DE,AdMob,114887.0
2021-06-17,DE,AdMob,170780.0
2021-06-18,DE,AdMob,225845.0
2021-06-19,DE,AdMob,285561.0
2021-06-20,DE,AdMob,272671.0
2021-06-21,DE,AdMob,272247.0
2021-06-22,DE,AdMob,107299.0
2021-06-23,DE,AdMob,95892.0
2021-06-24,DE,AdMob,20491.0
2021-06-25,DE,AdMob,180847.0
2021-06-26,DE,AdMob,146793.0
2021-06-27,DE,AdMob,168851.0
2021-06-28,DE,AdMob,27848.0
2021-06-29,DE,AdMob,76885.0
2021-06-30,DE,AdMob,32928.0
2021-07-01,DE,AdMob,98931.0
2021-07-02,DE,AdMob,23883.0
2021-07-03,DE,AdMob,43365.0
2021-07-04,DE,AdMob,210563.0
2021-07-05,DE,AdMob,141180.0
2021-07-06,DE,AdMob,121449.0
2021-07-07,DE,AdMob,93052.0
2021-07-08,DE,AdMob,117076.0
2021-07-09,DE,AdMob,330089.0
2021-07-10,DE,AdMob,189701.0
2021-07-11,DE,AdMob,207159.0
2021-07-12,DE,AdMob,212963.0
2021-07-13,DE,AdMob,244798.0
2021-07-14,DE,AdMob,264903.0
2021-07-15,DE,AdMob,106064.0
2021-07-16,DE,AdMob,278748.0
2021-07-17,DE,AdMob,369446.0
2021-07-18,DE,AdMob,340770.0
2021-07-19,DE,AdMob,199548.0
2021-07-20,DE,AdMob,462901.0
2021-07-21,DE,AdMob,330093.0
2021-07-22,DE,AdMob,423491.0
2021-07-23,DE,AdMob,443439.0
2021-07-24,DE,AdMob,549726.0
2021-07-25,DE,AdMob,603690.0
2021-07-26,DE,AdMob,745569.0
2021-07-27,DE,AdMob,492004.0
2021-07-28,DE,AdMob,686070.0
2021-07-29,DE,AdMob,579406.0
2021-07-30,DE,AdMob,896380.0
2021-07-31,DE,AdMob,1045710.0
2021-08-01,DE,AdMob,1048036.0
2021-08-02,DE,AdMob,1055597.0
2021-08-03,DE,AdMob,1032307.0
2021-08-04,DE,AdMob,899219.0
2021-08-05,DE,AdMob,1135747.0
2021-08-06,DE,AdMob,620340.0
2021-08-07,DE,AdMob,1987660.0
2021-08-08,DE,AdMob,822172.0
2021-08-09,DE,AdMob,557804.0
2021-08-10,DE,AdMob,635106.0
2021-08-11,DE,AdMob,888065.0
2021-08-12,DE,AdMob,623624.0
2021-08-13,DE,AdMob,312757.0
2021-08-14,DE,AdMob,680410.0
2021-08-15,DE,AdMob,1041907.0
