date,country,network,market_volume
2021-05-03,DE,AppLovin,155691.0
2021-05-04,DE,AppLovin,83085.0
2021-05-05,DE,AppLovin,82876.0
2021-05-06,DE,AppLovin,63823.0
2021-05-07,DE,AppLovin,173858.0
2021-05-08,DE,AppLovin,107715.0
2021-05-09,DE,AppLovin,76994.0
2021-05-10,DE,AppLovin,64371.0
2021-05-11,DE,AppLovin,73866.0
2021-05-12,DE,AppLovin,144908.0
2021-05-13,DE,AppLovin,79946.0
2021-05-14,DE,AppLovin,80247.0
2021-05-15,DE,AppLovin,71336.0
2021-05-16,DE,AppLovin,86127.0
2021-05-17,DE,AppLovin,61532.0
2021-05-18,DE,AppLovin,59853.0
2021-05-19,DE,AppLovin,75686.0
2021-05-20,DE,AppLovin,164212.0
2021-05-21,DE,AppLovin,83802.0
2021-05-22,DE,AppLovin,106082.0
2021-05-23,DE,AppLovin,113884.0
2021-05-24,DE,AppLovin,118245.0
2021-05-25,DE,AppLovin,73916.0
2021-05-26,DE,AppLovin,75746.0
2021-05-27,DE,AppLovin,59552.0
2021-05-28,DE,AppLovin,146539.0
2021-05-29,DE,AppLovin,72529.0
2021-05-30,DE,AppLovin,100406.0
2021-05-31,DE,AppLovin,42393.0
2021-06-01,DE,AppLovin,57365.0
2021-06-02,DE,AppLovin,46959.0
2021-06-03,DE,AppLovin,84850.0
2021-06-04,DE,AppLovin,59318.0
2021-06-05,DE,AppLovin,73926.0
2021-06-06,DE,AppLovin,117303.0
2021-06-07,DE,AppLovin,69147.0
2021-06-08,DE,AppLovin,50518.0
2021-06-09,DE,AppLovin,49772.0
2021-06-10,DE,AppLovin,44931.0
2021-06-11,DE,AppLovin,57143.0
2021-06-12,DE,AppLovin,72001.0
2021-06-13,DE,AppLovin,83554.0
2021-06-14,DE,AppLovin,49875.0
2021-06-15,DE,AppLovin,58084.0
2021-06-16,DE,AppLovin,41560.0
2021-06-17,DE,AppLovin,45585.0
2021-06-18,DE,AppLovin,48793.0
2021-06-19,DE,AppLovin,60907.0
2021-06-20,DE,AppLovin,77627.0
2021-06-21,DE,AppLovin,42448.0
2021-06-22,DE,AppLovin,39543.0
2021-06-23,DE,AppLovin,42221.0
2021-06-24,DE,AppLovin,51529.0
2021-06-25,DE,AppLovin,42305.0
2021-06-26,DE,AppLovin,86919.0
2021-06-27,DE,AppLovin,80400.0
2021-06-28,DE,AppLovin,57100.0
2021-06-29,DE,AppLovin,55229.0
2021-06-30,DE,AppLovin,36076.0
2021-07-01,DE,AppLovin,41412.0
2021-07-02,DE,AppLovin,54040.0
2021-07-03,DE,AppLovin,57026.0
2021-07-04,DE,AppLovin,46388.0
2021-07-05,DE,AppLovin,21084.0
2021-07-06,DE,AppLovin,34671.0
2021-07-07,DE,AppLovin,27415.0
2021-07-08,DE,AppLovin,33016.0
2021-07-09,DE,AppLovin,33748.0
2021-07-10,DE,AppLovin,60944.0
2021-07-11,DE,AppLovin,48595.0
2021-07-12,DE,AppLovin,43055.0
2021-07-13,DE,AppLovin,35904.0
2021-07-14,DE,AppLovin,31327.0
2021-07-15,DE,AppLovin,27406.0
2021-07-16,DE,AppLovin,51155.0
2021-07-17,DE,AppLovin,69205.0
2021-07-18,DE,AppLovin,45078.0
2021-07-19,DE,AppLovin,49019.0
2021-07-20,DE,AppLovin,35448.0
2021-07-21,DE,AppLovin,61627.0
2021-07-22,DE,AppLovin,54353.0
2021-07-23,DE,AppLovin,66232.0
2021-07-24,DE,AppLovin,59702.0
2021-07-25,DE,AppLovin,52639.0
2021-07-26,DE,AppLovin,56489.0
2021-07-27,DE,AppLovin,53796.0
2021-07-28,DE,AppLovin,53787.0
2021-07-29,DE,AppLovin,50533.0
2021-07-30,DE,AppLovin,51784.0
2021-07-31,DE,AppLovin,58429.0
2021-08-01,DE,AppLovin,43459.0
2021-08-02,DE,AppLovin,34073.0
2021-08-03,DE,AppLovin,33817.0
2021-08-04,DE,AppLovin,48393.0
2021-08-05,DE,AppLovin,56420.0
2021-08-06,DE,AppLovin,31497.0
2021-08-07,DE,AppLovin,61457.0
2021-08-08,DE,AppLovin,44377.0
2021-08-09,DE,AppLovin,55266.0
2021-08-10,DE,AppLovin,29867.0
2021-08-11,DE,AppLovin,48844.0
2021-08-12,DE,AppLovin,47859.0
2021-08-13,DE,AppLovin,56469.0
2021-08-14,DE,AppLovin,63218.0
2021-08-15,DE,AppLovin,70894.0
