date,country,network,market_volume
2021-05-03,DE,Chartboost,28642.0
2021-05-04,DE,Chartboost,29989.0
2021-05-05,DE,Chartboost,21415.0
2021-05-06,DE,Chartboost,26925.0
2021-05-07,DE,Chartboost,52669.0
2021-05-08,DE,Chartboost,53012.0
2021-05-09,DE,Chartboost,36415.0
2021-05-10,DE,Chartboost,22407.0
2021-05-11,DE,Chartboost,29559.0
2021-05-12,DE,Chartboost,61327.0
2021-05-13,DE,Chartboost,39110.0
2021-05-14,DE,Chartboost,32526.0
2021-05-15,DE,Chartboost,33976.0
2021-05-16,DE,Chartboost,21994.0
2021-05-17,DE,Chartboost,30516.0
2021-05-18,DE,Chartboost,28074.0
2021-05-19,DE,Chartboost,19163.0
2021-05-20,DE,Chartboost,19001.0
2021-05-21,DE,Chartboost,35569.0
2021-05-22,DE,Chartboost,79158.0
2021-05-23,DE,Chartboost,92271.0
2021-05-24,DE,Chartboost,70444.0
2021-05-25,DE,Chartboost,61665.0
2021-05-26,DE,Chartboost,31382.0
2021-05-27,DE,Chartboost,24589.0
2021-05-28,DE,Chartboost,37985.0
2021-05-29,DE,Chartboost,60834.0
2021-05-30,DE,Chartboost,34686.0
2021-05-31,DE,Chartboost,21266.0
2021-06-01,DE,Chartboost,18760.0
2021-06-02,DE,Chartboost,16261.0
2021-06-03,DE,Chartboost,70705.0
2021-06-04,DE,Chartboost,37501.0
2021-06-05,DE,Chartboost,74278.0
2021-06-06,DE,Chartboost,77133.0
2021-06-07,DE,Chartboost,46756.0
2021-06-08,DE,Chartboost,40073.0
2021-06-09,DE,Chartboost,18021.0
2021-06-10,DE,Chartboost,19827.0
2021-06-11,DE,Chartboost,50227.0
2021-06-12,DE,Chartboost,22339.0
2021-06-13,DE,Chartboost,29607.0
2021-06-14,DE,Chartboost,33744.0
2021-06-15,DE,Chartboost,34055.0
2021-06-16,DE,Chartboost,32653.0
2021-06-17,DE,Chartboost,26001.0
2021-06-18,DE,Chartboost,36569.0
2021-06-19,DE,Chartboost,47579.0
2021-06-20,DE,Chartboost,54995.0
2021-06-21,DE,Chartboost,41633.0
2021-06-22,DE,Chartboost,39912.0
2021-06-23,DE,Chartboost,39012.0
2021-06-24,DE,Chartboost,32171.0
2021-06-25,DE,Chartboost,17520.0
2021-06-26,DE,Chartboost,42773.0
2021-06-27,DE,Chartboost,26717.0
2021-06-28,DE,Chartboost,25394.0
2021-06-29,DE,Chartboost,16955.0
2021-06-30,DE,Chartboost,16175.0
2021-07-01,DE,Chartboost,22794.0
2021-07-02,DE,Chartboost,12784.0
2021-07-03,DE,Chartboost,16318.0
2021-07-04,DE,Chartboost,24957.0
2021-07-05,DE,Chartboost,24394.0
2021-07-06,DE,Chartboost,18070.0
2021-07-07,DE,Chartboost,34442.0
2021-07-08,DE,Chartboost,33952.0
2021-07-09,DE,Chartboost,32298.0
2021-07-10,DE,Chartboost,31923.0
2021-07-11,DE,Chartboost,29226.0
2021-07-12,DE,Chartboost,22743.0
2021-07-13,DE,Chartboost,25696.0
2021-07-14,DE,Chartboost,17094.0
2021-07-15,DE,Chartboost,22614.0
2021-07-16,DE,Chartboost,20556.0
2021-07-17,DE,Chartboost,27333.0
2021-07-18,DE,Chartboost,38256.0
2021-07-19,DE,Chartboost,26517.0
2021-07-20,DE,Chartboost,23868.0
2021-07-21,DE,Chartboost,16267.0
2021-07-22,DE,Chartboost,33003.0
2021-07-23,DE,Chartboost,21225.0
2021-07-24,DE,Chartboost,38985.0
2021-07-25,DE,Chartboost,34551.0
2021-07-26,DE,Chartboost,26919.0
2021-07-27,DE,Chartboost,24104.0
2021-07-28,DE,Chartboost,24048.0
2021-07-29,DE,Chartboost,49357.0
2021-07-30,DE,Chartboost,26872.0
2021-07-31,DE,Chartboost,31700.0
2021-08-01,DE,Chartboost,35232.0
2021-08-02,DE,Chartboost,26966.0
2021-08-03,DE,Chartboost,37308.0
2021-08-04,DE,Chartboost,25949.0
2021-08-05,DE,Chartboost,47382.0
2021-08-06,DE,Chartboost,34952.0
2021-08-07,DE,Chartboost,37783.0
2021-08-08,DE,Chartboost,42321.0
2021-08-09,DE,Chartboost,70053.0
2021-08-10,DE,Chartboost,66480.0
2021-08-11,DE,Chartboost,46708.0
2021-08-12,DE,Chartboost,58251.0
2021-08-13,DE,Chartboost,54954.0
2021-08-14,DE,Chartboost,63974.0
2021-08-15,DE,Chartboost,73514.0
