date,country,network,market_volume
2021-05-03,DE,IronSource,102774.0
2021-05-04,DE,IronSource,100128.0
2021-05-05,DE,IronSource,104341.0
2021-05-06,DE,IronSource,103661.0
2021-05-07,DE,IronSource,127960.0
2021-05-08,DE,IronSource,123238.0
2021-05-09,DE,IronSource,111198.0
2021-05-10,DE,IronSource,100031.0
2021-05-11,DE,IronSource,102605.0
2021-05-12,DE,IronSource,110963.0
2021-05-13,DE,IronSource,150140.0
2021-05-14,DE,IronSource,120777.0
2021-05-15,DE,IronSource,119590.0
2021-05-16,DE,IronSource,169371.0
2021-05-17,DE,IronSource,121090.0
2021-05-18,DE,IronSource,102580.0
2021-05-19,DE,IronSource,95741.0
2021-05-20,DE,IronSource,96481.0
2021-05-21,DE,IronSource,107133.0
2021-05-22,DE,IronSource,163238.0
2021-05-23,DE,IronSource,192156.0
2021-05-24,DE,IronSource,159656.0
2021-05-25,DE,IronSource,120429.0
2021-05-26,DE,IronSource,113579.0
2021-05-27,DE,IronSource,124953.0
2021-05-28,DE,IronSource,118457.0
2021-05-29,DE,IronSource,136223.0
2021-05-30,DE,IronSource,150901.0
2021-05-31,DE,IronSource,98102.0
2021-06-01,DE,IronSource,84522.0
2021-06-02,DE,IronSource,126434.0
2021-06-03,DE,IronSource,103808.0
2021-06-04,DE,IronSource,101653.0
2021-06-05,DE,IronSource,125896.0
2021-06-06,DE,IronSource,184166.0
2021-06-07,DE,IronSource,83157.0
2021-06-08,DE,IronSource,74479.0
2021-06-09,DE,IronSource,74085.0
2021-06-10,DE,IronSource,80150.0
2021-06-11,DE,IronSource,87833.0
2021-06-12,DE,IronSource,136087.0
2021-06-13,DE,IronSource,130983.0
2021-06-14,DE,IronSource,76128.0
2021-06-15,DE,IronSource,78546.0
2021-06-16,DE,IronSource,68759.0
2021-06-17,DE,IronSource,80169.0
2021-06-18,DE,IronSource,97806.0
2021-06-19,DE,IronSource,106733.0
2021-06-20,DE,IronSource,124490.0
2021-06-21,DE,IronSource,78528.0
2021-06-22,DE,IronSource,87379.0
2021-06-23,DE,IronSource,90081.0
2021-06-24,DE,IronSource,82190.0
2021-06-25,DE,IronSource,73676.0
2021-06-26,DE,IronSource,118509.0
2021-06-27,DE,IronSource,121226.0
2021-06-28,DE,IronSource,87528.0
2021-06-29,DE,IronSource,93031.0
2021-06-30,DE,IronSource,78269.0
2021-07-01,DE,IronSource,81625.0
2021-07-02,DE,IronSource,88903.0
2021-07-03,DE,IronSource,140453.0
2021-07-04,DE,IronSource,163455.0
2021-07-05,DE,IronSource,103330.0
2021-07-06,DE,IronSource,96025.0
2021-07-07,DE,IronSource,87400.0
2021-07-08,DE,IronSource,100643.0
2021-07-09,DE,IronSource,114821.0
2021-07-10,DE,IronSource,132808.0
2021-07-11,DE,IronSource,142261.0
2021-07-12,DE,IronSource,99561.0
2021-07-13,DE,IronSource,95243.0
2021-07-14,DE,IronSource,80596.0
2021-07-15,DE,IronSource,100833.0
2021-07-16,DE,IronSource,99215.0
2021-07-17,DE,IronSource,135091.0
2021-07-18,DE,IronSource,143587.0
2021-07-19,DE,IronSource,105225.0
2021-07-20,DE,IronSource,148810.0
2021-07-21,DE,IronSource,140760.0
2021-07-22,DE,IronSource,108170.0
2021-07-23,DE,IronSource,103100.0
2021-07-24,DE,IronSource,133065.0
2021-07-25,DE,IronSource,146844.0
2021-07-26,DE,IronSource,114275.0
2021-07-27,DE,IronSource,99592.0
2021-07-28,DE,IronSource,111628.0
2021-07-29,DE,IronSource,104276.0
2021-07-30,DE,IronSource,126038.0
2021-07-31,DE,IronSource,143403.0
2021-08-01,DE,IronSource,192263.0
2021-08-02,DE,IronSource,172879.0
2021-08-03,DE,IronSource,157181.0
2021-08-04,DE,IronSource,131468.0
2021-08-05,DE,IronSource,119487.0
2021-08-06,DE,IronSource,128860.0
2021-08-07,DE,IronSource,154915.0
2021-08-08,DE,IronSource,175453.0
2021-08-09,DE,IronSource,123008.0
2021-08-10,DE,IronSource,114630.0
2021-08-11,DE,IronSource,102593.0
2021-08-12,DE,IronSource,101970.0
2021-08-13,DE,IronSource,109415.0
2021-08-14,DE,IronSource,129938.0
2021-08-15,DE,IronSource,179095.0
