date,country,network,market_volume
2021-05-03,DE,Unity,16654.0
2021-05-04,DE,Unity,19721.0
2021-05-05,DE,Unity,15431.0
2021-05-06,DE,Unity,18171.0
2021-05-07,DE,Unity,34620.0
2021-05-08,DE,Unity,37128.0
2021-05-09,DE,Unity,27435.0
2021-05-10,DE,Unity,20118.0
2021-05-11,DE,Unity,19821.0
2021-05-12,DE,Unity,20210.0
2021-05-13,DE,Unity,25790.0
2021-05-14,DE,Unity,17186.0
2021-05-15,DE,Unity,18913.0
2021-05-16,DE,Unity,22423.0
2021-05-17,DE,Unity,23717.0
2021-05-18,DE,Unity,18441.0
2021-05-19,DE,Unity,17878.0
2021-05-20,DE,Unity,15583.0
2021-05-21,DE,Unity,17137.0
2021-05-22,DE,Unity,22770.0
2021-05-23,DE,Unity,25926.0
2021-05-24,DE,Unity,25520.0
2021-05-25,DE,Unity,17116.0
2021-05-26,DE,Unity,21012.0
2021-05-27,DE,Unity,20301.0
2021-05-28,DE,Unity,20587.0
2021-05-29,DE,Unity,25555.0
2021-05-30,DE,Unity,31062.0
2021-05-31,DE,Unity,14979.0
2021-06-01,DE,Unity,14125.0
2021-06-02,DE,Unity,12684.0
2021-06-03,DE,Unity,19990.0
2021-06-04,DE,Unity,16024.0
2021-06-05,DE,Unity,20058.0
2021-06-06,DE,Unity,27444.0
2021-06-07,DE,Unity,15116.0
2021-06-08,DE,Unity,13340.0
2021-06-09,DE,Unity,13541.0
2021-06-10,DE,Unity,13145.0
2021-06-11,DE,Unity,15098.0
2021-06-12,DE,Unity,22078.0
2021-06-13,DE,Unity,18339.0
2021-06-14,DE,Unity,16165.0
2021-06-15,DE,Unity,15475.0
2021-06-16,DE,Unity,9946.0
2021-06-17,DE,Unity,7405.0
2021-06-18,DE,Unity,7741.0
2021-06-19,DE,Unity,8927.0
2021-06-20,DE,Unity,10606.0
2021-06-21,DE,Unity,8108.0
2021-06-22,DE,Unity,11207.0
2021-06-23,DE,Unity,11701.0
2021-06-24,DE,Unity,13060.0
2021-06-25,DE,Unity,11401.0
2021-06-26,DE,Unity,20848.0
2021-06-27,DE,Unity,20391.0
2021-06-28,DE,Unity,10621.0
2021-06-29,DE,Unity,11321.0
2021-06-30,DE,Unity,7017.0
2021-07-01,DE,Unity,7895.0
2021-07-02,DE,Unity,14267.0
2021-07-03,DE,Unity,11338.0
2021-07-04,DE,Unity,17426.0
2021-07-05,DE,Unity,14364.0
2021-07-06,DE,Unity,11164.0
2021-07-07,DE,Unity,13084.0
2021-07-08,DE,Unity,13441.0
2021-07-09,DE,Unity,23590.0
2021-07-10,DE,Unity,22224.0
2021-07-11,DE,Unity,23225.0
2021-07-12,DE,Unity,11117.0
2021-07-13,DE,Unity,16288.0
2021-07-14,DE,Unity,16313.0
2021-07-15,DE,Unity,17349.0
2021-07-16,DE,Unity,15500.0
2021-07-17,DE,Unity,23580.0
2021-07-18,DE,Unity,22499.0
2021-07-19,DE,Unity,13516.0
2021-07-20,DE,Unity,19439.0
2021-07-21,DE,Unity,16175.0
2021-07-22,DE,Unity,20198.0
2021-07-23,DE,Unity,16673.0
2021-07-24,DE,Unity,12509.0
2021-07-25,DE,Unity,11888.0
2021-07-26,DE,Unity,17531.0
2021-07-27,DE,Unity,14135.0
2021-07-28,DE,Unity,11652.0
2021-07-29,DE,Unity,9453.0
2021-07-30,DE,Unity,11525.0
2021-07-31,DE,Unity,12247.0
2021-08-01,DE,Unity,14720.0
2021-08-02,DE,Unity,11983.0
2021-08-03,DE,Unity,8673.0
2021-08-04,DE,Unity,7447.0
2021-08-05,DE,Unity,9159.0
2021-08-06,DE,Unity,8682.0
2021-08-07,DE,Unity,7142.0
2021-08-08,DE,Unity,9815.0
2021-08-09,DE,Unity,7693.0
2021-08-10,DE,Unity,9215.0
2021-08-11,DE,Unity,9693.0
2021-08-12,DE,Unity,7222.0
2021-08-13,DE,Unity,9149.0
2021-08-14,DE,Unity,12113.0
2021-08-15,DE,Unity,12625.0
