date,country,network,market_volume
2021-05-03,DE,other,44800.0
2021-05-04,DE,other,45281.0
2021-05-05,DE,other,48806.0
2021-05-06,DE,other,47255.0
2021-05-07,DE,other,47697.0
2021-05-08,DE,other,50312.0
2021-05-09,DE,other,54752.0
2021-05-10,DE,other,37132.0
2021-05-11,DE,other,40341.0
2021-05-12,DE,other,48947.0
2021-05-13,DE,other,72821.0
2021-05-14,DE,other,48766.0
2021-05-15,DE,other,53599.0
2021-05-16,DE,other,65090.0
2021-05-17,DE,other,58003.0
2021-05-18,DE,other,45958.0
2021-05-19,DE,other,38769.0
2021-05-20,DE,other,48039.0
2021-05-21,DE,other,45365.0
2021-05-22,DE,other,61195.0
2021-05-23,DE,other,65846.0
2021-05-24,DE,other,53643.0
2021-05-25,DE,other,41415.0
2021-05-26,DE,other,42402.0
2021-05-27,DE,other,43981.0
2021-05-28,DE,other,43435.0
2021-05-29,DE,other,59492.0
2021-05-30,DE,other,57666.0
2021-05-31,DE,other,39884.0
2021-06-01,DE,other,34622.0
2021-06-02,DE,other,41611.0
2021-06-03,DE,other,48254.0
2021-06-04,DE,other,44416.0
2021-06-05,DE,other,64023.0
2021-06-06,DE,other,68350.0
2021-06-07,DE,other,38888.0
2021-06-08,DE,other,30533.0
2021-06-09,DE,other,36513.0
2021-06-10,DE,other,36255.0
2021-06-11,DE,other,31133.0
2021-06-12,DE,other,50921.0
2021-06-13,DE,other,42814.0
2021-06-14,DE,other,33354.0
2021-06-15,DE,other,39932.0
2021-06-16,DE,other,28792.0
2021-06-17,DE,other,27322.0
2021-06-18,DE,other,28694.0
2021-06-19,DE,other,35000.0
2021-06-20,DE,other,52981.0
2021-06-21,DE,other,28576.0
2021-06-22,DE,other,29198.0
2021-06-23,DE,other,33990.0
2021-06-24,DE,other,28356.0
2021-06-25,DE,other,29920.0
2021-06-26,DE,other,52695.0
2021-06-27,DE,other,43931.0
2021-06-28,DE,other,34398.0
2021-06-29,DE,other,33047.0
2021-06-30,DE,other,32994.0
2021-07-01,DE,other,32435.0
2021-07-02,DE,other,35317.0
2021-07-03,DE,other,32636.0
2021-07-04,DE,other,43091.0
2021-07-05,DE,other,22793.0
2021-07-06,DE,other,29419.0
2021-07-07,DE,other,27030.0
2021-07-08,DE,other,34789.0
2021-07-09,DE,other,52035.0
2021-07-10,DE,other,64421.0
2021-07-11,DE,other,32498.0
2021-07-12,DE,other,36589.0
2021-07-13,DE,other,40180.0
2021-07-14,DE,other,38578.0
2021-07-15,DE,other,38234.0
2021-07-16,DE,other,44117.0
2021-07-17,DE,other,52710.0
2021-07-18,DE,other,53368.0
2021-07-19,DE,other,39758.0
2021-07-20,DE,other,32178.0
2021-07-21,DE,other,57248.0
2021-07-22,DE,other,41311.0
2021-07-23,DE,other,45448.0
2021-07-24,DE,other,46776.0
2021-07-25,DE,other,60258.0
2021-07-26,DE,other,54208.0
2021-07-27,DE,other,41028.0
2021-07-28,DE,other,35566.0
2021-07-29,DE,other,46279.0
2021-07-30,DE,other,49578.0
2021-07-31,DE,other,50128.0
2021-08-01,DE,other,63692.0
2021-08-02,DE,other,55296.0
2021-08-03,DE,other,47013.0
2021-08-04,DE,other,41762.0
2021-08-05,DE,other,43562.0
2021-08-06,DE,other,40061.0
2021-08-07,DE,other,59507.0
2021-08-08,DE,other,79838.0
2021-08-09,DE,other,46693.0
2021-08-10,DE,other,41565.0
2021-08-11,DE,other,38876.0
2021-08-12,DE,other,41019.0
2021-08-13,DE,other,46163.0
2021-08-14,DE,other,50517.0
2021-08-15,DE,other,66270.0
