date,country,network,market_volume
2021-05-03,UK,AdMob,2179558.0
2021-05-04,UK,AdMob,851897.0
2021-05-05,UK,AdMob,1028985.0
2021-05-06,UK,AdMob,1042484.0
2021-05-07,UK,AdMob,1298565.0
2021-05-08,UK,AdMob,3019821.0
2021-05-09,UK,AdMob,2227739.0
2021-05-10,UK,AdMob,1186863.0
2021-05-11,UK,AdMob,1215057.0
2021-05-12,UK,AdMob,1002604.0
2021-05-13,UK,AdMob,1009746.0
2021-05-14,UK,AdMob,1033303.0
2021-05-15,UK,AdMob,2302926.0
2021-05-16,UK,AdMob,3033044.0
2021-05-17,UK,AdMob,1551907.0
2021-05-18,UK,AdMob,1963683.0
2021-05-19,UK,AdMob,1525732.0
2021-05-20,UK,AdMob,1529685.0
2021-05-21,UK,AdMob,1288581.0
2021-05-22,UK,AdMob,2376644.0
2021-05-23,UK,AdMob,2143309.0
2021-05-24,UK,AdMob,1225711.0
2021-05-25,UK,AdMob,997225.0
2021-05-26,UK,AdMob,998729.0
2021-05-27,UK,AdMob,945175.0
2021-05-28,UK,AdMob,977612.0
2021-05-29,UK,AdMob,1762945.0
2021-05-30,UK,AdMob,1502013.0
2021-05-31,UK,AdMob,1987613.0
2021-06-01,UK,AdMob,1419205.0
2021-06-02,UK,AdMob,1571197.0
2021-06-03,UK,AdMob,1435110.0
2021-06-04,UK,AdMob,1343501.0
2021-06-05,UK,AdMob,1732180.0
2021-06-06,UK,AdMob,1811559.0
2021-06-07,UK,AdMob,1282775.0
2021-06-08,UK,AdMob,1192192.0
2021-06-09,UK,AdMob,744777.0
2021-06-10,UK,AdMob,786296.0
2021-06-11,UK,AdMob,746566.0
2021-06-12,UK,AdMob,982261.0
2021-06-13,UK,AdMob,1400692.0
2021-06-14,UK,AdMob,665957.0
2021-06-15,UK,AdMob,531669.0
2021-06-16,UK,AdMob,641734.0
2021-06-17,UK,AdMob,666662.0
2021-06-18,UK,AdMob,855072.0
2021-06-19,UK,AdMob,1672525.0
2021-06-20,UK,AdMob,1139467.0
2021-06-21,UK,AdMob,581751.0
2021-06-22,UK,AdMob,917186.0
2021-06-23,UK,AdMob,771605.0
2021-06-24,UK,AdMob,416750.0
2021-06-25,UK,AdMob,1117560.0
2021-06-26,UK,AdMob,572721.0
2021-06-27,UK,AdMob,1112467.0
2021-06-28,UK,AdMob,383849.0
2021-06-29,UK,AdMob,338415.0
2021-06-30,UK,AdMob,703697.0
2021-07-01,UK,AdMob,636196.0
2021-07-02,UK,AdMob,694182.0
2021-07-03,UK,AdMob,1235331.0
2021-07-04,UK,AdMob,2310265.0
2021-07-05,UK,AdMob,718176.0
2021-07-06,UK,AdMob,767279.0
2021-07-07,UK,AdMob,848706.0
2021-07-08,UK,AdMob,1452851.0
2021-07-09,UK,AdMob,1077302.0
2021-07-10,UK,AdMob,1506192.0
2021-07-11,UK,AdMob,1356341.0
2021-07-12,UK,AdMob,1024467.0
2021-07-13,UK,AdMob,924034.0
2021-07-14,UK,AdMob,958995.0
2021-07-15,UK,AdMob,1039360.0
2021-07-16,UK,AdMob,1097131.0
2021-07-17,UK,AdMob,1388374.0
2021-07-18,UK,AdMob,846158.0
2021-07-19,UK,AdMob,966198.0
2021-07-20,UK,AdMob,976829.0
2021-07-21,UK,AdMob,1078911.0
2021-07-22,UK,AdMob,1245795.0
2021-07-23,UK,AdMob,1489697.0
2021-07-24,UK,AdMob,2375636.0
2021-07-25,UK,AdMob,2011024.0
2021-07-26,UK,AdMob,2190309.0
2021-07-27,UK,AdMob,2422135.0
2021-07-28,UK,AdMob,2193453.0
2021-07-29,UK,AdMob,1497924.0
2021-07-30,UK,AdMob,1697072.0
2021-07-31,UK,AdMob,3167851.0
2021-08-01,UK,AdMob,3431903.0
2021-08-02,UK,AdMob,2152535.0
2021-08-03,UK,AdMob,2201429.0
2021-08-04,UK,AdMob,1266913.0
2021-08-05,UK,AdMob,2264591.0
2021-08-06,UK,AdMob,2901158.0
2021-08-07,UK,AdMob,2887599.0
2021-08-08,UK,AdMob,3092058.0
2021-08-09,UK,AdMob,2427040.0
2021-08-10,UK,AdMob,2545597.0
2021-08-11,UK,AdMob,2860964.0
2021-08-12,UK,AdMob,2214700.0
2021-08-13,UK,AdMob,4692737.0
2021-08-14,UK,AdMob,4411017.0
2021-08-15,UK,AdMob,4194660.0
