,date,country,market_volume
0,2021-04-26,UK,411754.42523457884
1,2021-04-27,UK,464786.66810151783
2,2021-04-28,UK,426362.04545890994
3,2021-04-29,UK,380782.0852603372
4,2021-04-30,UK,471583.6739464578
5,2021-05-01,UK,576182.9316793205
6,2021-05-02,UK,564743.3288280979
7,2021-05-03,UK,580656.2393062431
8,2021-05-04,UK,381308.47698373976
9,2021-05-05,UK,324531.3730853308
10,2021-05-06,UK,420410.46387409
11,2021-05-07,UK,409984.09724144725
12,2021-05-08,UK,666274.7759692692
13,2021-05-09,UK,628036.5197586799
14,2021-05-10,UK,386276.4688672408
15,2021-05-11,UK,369277.5465144483
16,2021-05-12,UK,355727.3293482486
17,2021-05-13,UK,414360.69430743426
18,2021-05-14,UK,451303.9916182814
19,2021-05-15,UK,751001.785845933
20,2021-05-16,UK,665024.2498397883
21,2021-05-17,UK,440746.12041481683
22,2021-05-18,UK,419893.8068057315
23,2021-05-19,UK,388195.572458647
24,2021-05-20,UK,447281.80976189114
25,2021-05-21,UK,465386.13538819796
26,2021-05-22,UK,710837.8667058747
27,2021-05-23,UK,645178.4250024686
28,2021-05-24,UK,390988.87753836013
29,2021-05-25,UK,423796.98514013283
30,2021-05-26,UK,442264.26938488055
31,2021-05-27,UK,405395.48478871497
32,2021-05-28,UK,460200.57363405323
33,2021-05-29,UK,639528.8901371327
34,2021-05-30,UK,557432.2666014801
35,2021-05-31,UK,580652.4180756724
36,2021-06-01,UK,520525.21469597064
37,2021-06-02,UK,505601.8915961757
38,2021-06-03,UK,499350.7445154947
39,2021-06-04,UK,510021.18858756486
40,2021-06-05,UK,582418.7813906043
41,2021-06-06,UK,516010.6411252407
42,2021-06-07,UK,381794.8584115025
43,2021-06-08,UK,300040.66736631107
44,2021-06-09,UK,267163.5169169468
45,2021-06-10,UK,298071.9426573869
46,2021-06-11,UK,362946.9708684597
47,2021-06-12,UK,461019.53634989704
48,2021-06-13,UK,510090.7183919126
49,2021-06-14,UK,349371.7914246985
50,2021-06-15,UK,321739.44256215065
51,2021-06-16,UK,309564.8101256175
