date,country,network,market_volume
2021-04-26,UK,Chartboost,199717.0
2021-04-27,UK,Chartboost,155896.0
2021-04-28,UK,Chartboost,132945.0
2021-04-29,UK,Chartboost,119638.0
2021-04-30,UK,Chartboost,123054.0
2021-05-01,UK,Chartboost,161245.0
2021-05-02,UK,Chartboost,179754.0
2021-05-03,UK,Chartboost,194322.0
2021-05-04,UK,Chartboost,111329.0
2021-05-05,UK,Chartboost,106060.0
2021-05-06,UK,Chartboost,104121.0
2021-05-07,UK,Chartboost,95109.0
2021-05-08,UK,Chartboost,173271.0
2021-05-09,UK,Chartboost,169084.0
2021-05-10,UK,Chartboost,120904.0
2021-05-11,UK,Chartboost,113367.0
2021-05-12,UK,Chartboost,99976.0
2021-05-13,UK,Chartboost,167487.0
2021-05-14,UK,Chartboost,118338.0
2021-05-15,UK,Chartboost,194684.0
2021-05-16,UK,Chartboost,197997.0
2021-05-17,UK,Chartboost,174534.0
2021-05-18,UK,Chartboost,136889.0
2021-05-19,UK,Chartboost,148664.0
2021-05-20,UK,Chartboost,148236.0
2021-05-21,UK,Chartboost,259370.0
2021-05-22,UK,Chartboost,250467.0
2021-05-23,UK,Chartboost,207842.0
2021-05-24,UK,Chartboost,123905.0
2021-05-25,UK,Chartboost,105556.0
2021-05-26,UK,Chartboost,121156.0
2021-05-27,UK,Chartboost,143558.0
2021-05-28,UK,Chartboost,193248.0
2021-05-29,UK,Chartboost,172536.0
2021-05-30,UK,Chartboost,173061.0
2021-05-31,UK,Chartboost,176835.0
2021-06-01,UK,Chartboost,170928.0
2021-06-02,UK,Chartboost,265450.0
2021-06-03,UK,Chartboost,149707.0
2021-06-04,UK,Chartboost,314101.0
2021-06-05,UK,Chartboost,359777.0
2021-06-06,UK,Chartboost,343797.0
2021-06-07,UK,Chartboost,218959.0
2021-06-08,UK,Chartboost,174642.0
2021-06-09,UK,Chartboost,119904.0
2021-06-10,UK,Chartboost,186845.0
2021-06-11,UK,Chartboost,191696.0
2021-06-12,UK,Chartboost,293105.0
2021-06-13,UK,Chartboost,219516.0
2021-06-14,UK,Chartboost,215540.0
2021-06-15,UK,Chartboost,138995.0
2021-06-16,UK,Chartboost,200041.0
2021-06-17,UK,Chartboost,189531.0
2021-06-18,UK,Chartboost,237238.0
2021-06-19,UK,Chartboost,278671.0
2021-06-20,UK,Chartboost,317753.0
2021-06-21,UK,Chartboost,205761.0
2021-06-22,UK,Chartboost,173992.0
2021-06-23,UK,Chartboost,148310.0
2021-06-24,UK,Chartboost,192215.0
2021-06-25,UK,Chartboost,172212.0
2021-06-26,UK,Chartboost,293957.0
2021-06-27,UK,Chartboost,218639.0
2021-06-28,UK,Chartboost,157834.0
2021-06-29,UK,Chartboost,139545.0
2021-06-30,UK,Chartboost,101824.0
2021-07-01,UK,Chartboost,116324.0
2021-07-02,UK,Chartboost,143164.0
2021-07-03,UK,Chartboost,200373.0
2021-07-04,UK,Chartboost,247650.0
2021-07-05,UK,Chartboost,122696.0
2021-07-06,UK,Chartboost,127279.0
2021-07-07,UK,Chartboost,113055.0
2021-07-08,UK,Chartboost,164695.0
2021-07-09,UK,Chartboost,150729.0
2021-07-10,UK,Chartboost,270382.0
2021-07-11,UK,Chartboost,231968.0
2021-07-12,UK,Chartboost,175375.0
2021-07-13,UK,Chartboost,156123.0
2021-07-14,UK,Chartboost,98108.0
2021-07-15,UK,Chartboost,106720.0
2021-07-16,UK,Chartboost,98396.0
2021-07-17,UK,Chartboost,192130.0
2021-07-18,UK,Chartboost,155500.0
2021-07-19,UK,Chartboost,125911.0
2021-07-20,UK,Chartboost,129962.0
2021-07-21,UK,Chartboost,162937.0
2021-07-22,UK,Chartboost,186916.0
2021-07-23,UK,Chartboost,222144.0
2021-07-24,UK,Chartboost,155164.0
2021-07-25,UK,Chartboost,177246.0
2021-07-26,UK,Chartboost,204473.0
2021-07-27,UK,Chartboost,142299.0
2021-07-28,UK,Chartboost,150373.0
2021-07-29,UK,Chartboost,183619.0
2021-07-30,UK,Chartboost,148803.0
2021-07-31,UK,Chartboost,187322.0
2021-08-01,UK,Chartboost,211606.0
2021-08-02,UK,Chartboost,253841.0
2021-08-03,UK,Chartboost,210388.0
2021-08-04,UK,Chartboost,201619.0
